packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 delay: 1239264
packet id 004 delay: 1292904
packet id 005 delay: 1313416
packet id 006 delay: 1234264
packet id 007 delay: 1462576
packet id 008 delay: 1268000
packet id 009 delay: 1250904
packet id 010 delay: 1279152
packet id 011 delay: 1361096
packet id 012 delay: 1331304
packet id 013 delay: 1147752
packet id 014 delay: 1217432
packet id 015 delay: 1330624
packet id 016 delay: 1209264
packet id 017 delay: 1379152
packet id 018 delay: 1297624
packet id 019 delay: 1401192
packet id 020 delay: 1497832
packet id 021 delay: 1320832
packet id 022 loss!!!
packet id 023 delay: 1273248
packet id 024 delay: 1412416
packet id 025 delay: 1324208
packet id 026 delay: 1394304
packet id 027 delay: 1357944
packet id 028 delay: 1270680
packet id 029 delay: 1227544
packet id 030 delay: 1257416
packet id 031 delay: 1329416
packet id 032 delay: 1145600
packet id 033 delay: 1129376
packet id 034 delay: 1130376
packet id 035 delay: 1468680
packet id 036 loss!!!
packet id 037 loss!!!
packet id 038 delay: 1342568
packet id 039 delay: 1299248
packet id 040 loss!!!
packet id 041 delay: 2743584
packet id 042 delay: 1339472
packet id 043 delay: 1239528
packet id 044 delay: 2772248
packet id 045 delay: 1372360
packet id 046 delay: 1348304
packet id 047 delay: 1120320
packet id 048 delay: 1272568
packet id 049 delay: 1297472
packet id 050 delay: 1266112
packet id 051 delay: 1463264
packet id 052 delay: 1245944
packet id 053 delay: 1248000
packet id 054 delay: 1275248
packet id 055 delay: 1344512
packet id 056 delay: 1423776
packet id 057 delay: 1262472
packet id 058 delay: 1307056
packet id 059 delay: 1304624
packet id 060 delay: 1333152
packet id 061 delay: 1331568
packet id 062 delay: 1265376
packet id 063 delay: 1229320
packet id 064 delay: 1317304
packet id 065 delay: 1228000
packet id 066 delay: 1434640
packet id 067 delay: 1582360
packet id 068 delay: 1241384
packet id 069 delay: 1348736
packet id 070 delay: 1247584
packet id 071 delay: 1191528
packet id 072 delay: 1364304
packet id 073 delay: 1308680
packet id 074 delay: 1391360
packet id 075 loss!!!
packet id 076 delay: 1373568
packet id 077 delay: 1290944
packet id 078 delay: 1374416
packet id 079 delay: 1476512
packet id 080 delay: 1160280
packet id 081 delay: 1373888
packet id 082 delay: 1199432
packet id 083 delay: 1196904
packet id 084 delay: 1380264
packet id 085 delay: 1256376
packet id 086 delay: 1289056
packet id 087 delay: 1334304
packet id 088 delay: 1367360
packet id 089 delay: 1154320
packet id 090 delay: 1394816
packet id 091 delay: 1175792
packet id 092 delay: 1361752
packet id 093 delay: 1151320
packet id 094 delay: 1425264
packet id 095 delay: 1313584
packet id 096 delay: 1415096
packet id 097 delay: 1506192
packet id 098 delay: 1433568
packet id 099 delay: 1280152
packet id 100 loss!!!
packet id 101 delay: 1923336
packet id 102 delay: 1239320
packet id 103 delay: 1174320
packet id 104 delay: 1259680
packet id 105 delay: 1262640
packet id 106 delay: 1174432
packet id 107 delay: 2625496
packet id 108 delay: 1298112
packet id 109 delay: 1277208
packet id 110 delay: 1176792
packet id 111 delay: 1877488
packet id 112 delay: 1449360
packet id 113 delay: 1400944
packet id 114 loss!!!
packet id 115 delay: 1277360
packet id 116 delay: 1118488
packet id 117 delay: 1197432
packet id 118 delay: 1249584
packet id 119 delay: 1258296
packet id 120 delay: 2999288
packet id 121 delay: 1205264
packet id 122 delay: 1129432
packet id 123 delay: 1298416
packet id 124 delay: 1354416
packet id 125 delay: 1743552
packet id 126 delay: 1288280
packet id 127 delay: 1173696
packet id 128 delay: 1319472
packet id 129 delay: 1252848
packet id 130 delay: 1252376
packet id 131 delay: 1268152
packet id 132 delay: 1267624
packet id 133 delay: 1284232
packet id 134 delay: 1260640
packet id 135 delay: 2180040
packet id 136 delay: 1294152
packet id 137 delay: 1312568
packet id 138 delay: 1285528
packet id 139 delay: 1324304
packet id 140 delay: 1994536
packet id 141 delay: 1274528
packet id 142 delay: 1290624
packet id 143 delay: 1387888
packet id 144 delay: 1282488
packet id 145 delay: 4284744
packet id 146 delay: 1206472
packet id 147 loss!!!
packet id 148 delay: 1328624
packet id 149 delay: 1384776
packet id 150 loss!!!
packet id 151 delay: 1265208
packet id 152 delay: 1218944
packet id 153 delay: 1283528
packet id 154 delay: 1214624
packet id 155 delay: 1702056
packet id 156 delay: 1323720
packet id 157 delay: 1348944
packet id 158 delay: 1212584
packet id 159 loss!!!
packet id 160 delay: 1232320
packet id 161 delay: 1103280
packet id 162 delay: 1398096
packet id 163 delay: 1387088
packet id 164 loss!!!
packet id 165 delay: 1436472
packet id 166 delay: 1259152
packet id 167 delay: 1195112
packet id 168 delay: 1262680
packet id 169 delay: 1242312
packet id 170 delay: 1311224
packet id 171 delay: 1197112
packet id 172 delay: 1426096
packet id 173 delay: 1281096
packet id 174 delay: 1710952
packet id 175 delay: 1081712
packet id 176 delay: 1927152
packet id 177 delay: 1447152
packet id 178 delay: 1361568
packet id 179 loss!!!
packet id 180 loss!!!
packet id 181 delay: 1373888
packet id 182 delay: 2582056
packet id 183 delay: 1150848
packet id 184 loss!!!
packet id 185 delay: 1290512
packet id 186 delay: 1333040
packet id 187 delay: 1279264
packet id 188 loss!!!
packet id 189 delay: 1232112
packet id 190 delay: 1359568
packet id 191 delay: 1289832
packet id 192 delay: 1347944
packet id 193 delay: 1502456
packet id 194 delay: 1236944
packet id 195 delay: 1315360
packet id 196 delay: 1335320
packet id 197 delay: 1616720
packet id 198 delay: 2173232
packet id 199 delay: 1560888
packet id 200 delay: 1294040
packet id 201 loss!!!
packet id 202 delay: 1274888
packet id 203 delay: 1236152
packet id 204 delay: 1477832
packet id 205 delay: 1236416
packet id 206 delay: 1206472
packet id 207 delay: 1308416
packet id 208 delay: 1115864
packet id 209 delay: 2057432
packet id 210 delay: 1401360
packet id 211 loss!!!
packet id 212 loss!!!
packet id 213 delay: 1074168
packet id 214 delay: 1535280
packet id 215 delay: 1259736
packet id 216 delay: 1317736
packet id 217 delay: 1299584
packet id 218 delay: 1437096
packet id 219 delay: 1070448
packet id 220 delay: 1245056
packet id 221 delay: 1216944
packet id 222 delay: 1175376
packet id 223 delay: 2615824
packet id 224 delay: 1213472
packet id 225 delay: 1866136
packet id 226 delay: 1183208
packet id 227 loss!!!
packet id 228 delay: 1324056
packet id 229 loss!!!
packet id 230 delay: 1388624
packet id 231 delay: 1313624
packet id 232 delay: 1346512
packet id 233 delay: 1224584
packet id 234 delay: 1333224
packet id 235 delay: 1173016
packet id 236 delay: 1349472
packet id 237 delay: 1297528
packet id 238 delay: 1374568
