MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: 84.49% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 85.98% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 13740000
MONITORED: % | ON: 1.51% | TX: 0.03% | RX: 0.10% | INT: 0.00% | ONL: 22.95% | TXL: 1.92% | RXL: 6.54% | INTL: 1.50% | Energy: 405923440
MONITORED: % | ON: 0.53% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 13.94% | TXL: 0.63% | RXL: 2.44% | INTL: 0.44% | Energy: 1098718800
MONITORED: % | ON: 0.34% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 12.39% | TXL: 0.41% | RXL: 1.62% | INTL: 0.30% | Energy: 1583913440
MONITORED: % | ON: 0.26% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 11.75% | TXL: 0.34% | RXL: 1.24% | INTL: 0.23% | Energy: 2059634320
MONITORED: % | ON: 0.20% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 11.33% | TXL: 0.29% | RXL: 1.00% | INTL: 0.19% | Energy: 2600772720
MONITORED: % | ON: 0.17% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 11.11% | TXL: 0.26% | RXL: 0.88% | INTL: 0.17% | Energy: 3017048800
MONITORED: % | ON: 0.15% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 10.92% | TXL: 0.23% | RXL: 0.77% | INTL: 0.16% | Energy: 3536696720
MONITORED: % | ON: 0.13% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 10.78% | TXL: 0.22% | RXL: 0.69% | INTL: 0.14% | Energy: 4028410160
MONITORED: % | ON: 0.12% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 10.69% | TXL: 0.21% | RXL: 0.64% | INTL: 0.13% | Energy: 4524421440
MONITORED: % | ON: 0.11% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 10.60% | TXL: 0.19% | RXL: 0.59% | INTL: 0.13% | Energy: 5049381280
MONITORED: % | ON: 0.10% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 10.54% | TXL: 0.19% | RXL: 0.56% | INTL: 0.12% | Energy: 5512544480
