MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 0
MONITORED: % | ON: 41.93% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 47.50% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 7700000
MONITORED: % | ON: 6.64% | TX: 0.05% | RX: 0.14% | INT: 0.00% | ONL: 29.73% | TXL: 2.75% | RXL: 9.41% | INTL: 0.97% | Energy: 30530640
MONITORED: % | ON: 5.26% | TX: 0.10% | RX: 0.10% | INT: 0.00% | ONL: 31.29% | TXL: 3.37% | RXL: 11.11% | INTL: 1.22% | Energy: 46044480
MONITORED: % | ON: 4.47% | TX: 0.10% | RX: 0.09% | INT: 0.00% | ONL: 32.38% | TXL: 2.54% | RXL: 11.62% | INTL: 1.28% | Energy: 62055840
MONITORED: % | ON: 4.05% | TX: 0.13% | RX: 0.09% | INT: 0.00% | ONL: 33.10% | TXL: 2.60% | RXL: 12.11% | INTL: 1.24% | Energy: 78869920
MONITORED: % | ON: 3.93% | TX: 0.11% | RX: 0.10% | INT: 0.00% | ONL: 32.90% | TXL: 2.72% | RXL: 11.98% | INTL: 1.15% | Energy: 88377120
MONITORED: % | ON: 3.72% | TX: 0.13% | RX: 0.08% | INT: 0.00% | ONL: 33.85% | TXL: 2.43% | RXL: 12.18% | INTL: 1.66% | Energy: 104584400
MONITORED: % | ON: 3.61% | TX: 0.12% | RX: 0.07% | INT: 0.00% | ONL: 33.50% | TXL: 2.21% | RXL: 12.25% | INTL: 1.77% | Energy: 115353520
MONITORED: % | ON: 3.59% | TX: 0.14% | RX: 0.08% | INT: 0.00% | ONL: 33.41% | TXL: 2.65% | RXL: 12.21% | INTL: 1.69% | Energy: 127006560
MONITORED: % | ON: 3.36% | TX: 0.12% | RX: 0.08% | INT: 0.00% | ONL: 33.33% | TXL: 2.41% | RXL: 12.30% | INTL: 1.77% | Energy: 141707680
MONITORED: % | ON: 3.30% | TX: 0.12% | RX: 0.07% | INT: 0.00% | ONL: 33.25% | TXL: 2.71% | RXL: 12.33% | INTL: 1.73% | Energy: 157193600
MONITORED: % | ON: 2.95% | TX: 0.13% | RX: 0.06% | INT: 0.00% | ONL: 31.57% | TXL: 2.75% | RXL: 11.49% | INTL: 1.52% | Energy: 174339440
MONITORED: % | ON: 2.82% | TX: 0.13% | RX: 0.06% | INT: 0.00% | ONL: 31.49% | TXL: 2.68% | RXL: 11.18% | INTL: 1.46% | Energy: 189257760
MONITORED: % | ON: 2.76% | TX: 0.13% | RX: 0.05% | INT: 0.00% | ONL: 31.72% | TXL: 2.63% | RXL: 11.02% | INTL: 1.47% | Energy: 203892080
MONITORED: % | ON: 2.68% | TX: 0.12% | RX: 0.05% | INT: 0.00% | ONL: 32.04% | TXL: 2.47% | RXL: 11.06% | INTL: 1.42% | Energy: 218333840
MONITORED: % | ON: 2.63% | TX: 0.12% | RX: 0.05% | INT: 0.00% | ONL: 31.49% | TXL: 2.30% | RXL: 11.03% | INTL: 1.36% | Energy: 231195760
MONITORED: % | ON: 2.64% | TX: 0.11% | RX: 0.05% | INT: 0.00% | ONL: 31.15% | TXL: 2.21% | RXL: 10.95% | INTL: 1.32% | Energy: 239467760
MONITORED: % | ON: 2.58% | TX: 0.10% | RX: 0.04% | INT: 0.00% | ONL: 31.21% | TXL: 2.15% | RXL: 10.99% | INTL: 1.34% | Energy: 255657360
MONITORED: % | ON: 2.54% | TX: 0.11% | RX: 0.05% | INT: 0.00% | ONL: 31.11% | TXL: 2.23% | RXL: 10.84% | INTL: 1.32% | Energy: 272015120
MONITORED: % | ON: 2.52% | TX: 0.11% | RX: 0.05% | INT: 0.00% | ONL: 31.35% | TXL: 2.24% | RXL: 10.93% | INTL: 1.32% | Energy: 286410240
MONITORED: % | ON: 2.50% | TX: 0.10% | RX: 0.05% | INT: 0.00% | ONL: 30.99% | TXL: 2.14% | RXL: 10.89% | INTL: 1.36% | Energy: 297297840
MONITORED: % | ON: 2.39% | TX: 0.10% | RX: 0.05% | INT: 0.00% | ONL: 31.10% | TXL: 2.10% | RXL: 10.62% | INTL: 1.38% | Energy: 321982640
MONITORED: % | ON: 2.28% | TX: 0.11% | RX: 0.05% | INT: 0.00% | ONL: 30.30% | TXL: 2.13% | RXL: 10.24% | INTL: 1.35% | Energy: 338357440
MONITORED: % | ON: 2.24% | TX: 0.11% | RX: 0.04% | INT: 0.00% | ONL: 29.72% | TXL: 2.13% | RXL: 10.00% | INTL: 1.29% | Energy: 348082320
MONITORED: % | ON: 2.19% | TX: 0.11% | RX: 0.04% | INT: 0.00% | ONL: 29.08% | TXL: 2.03% | RXL: 9.80% | INTL: 1.24% | Energy: 356770080
MONITORED: % | ON: 2.17% | TX: 0.11% | RX: 0.04% | INT: 0.00% | ONL: 28.59% | TXL: 2.03% | RXL: 9.63% | INTL: 1.20% | Energy: 366940560
MONITORED: % | ON: 2.11% | TX: 0.10% | RX: 0.04% | INT: 0.00% | ONL: 27.91% | TXL: 1.93% | RXL: 9.37% | INTL: 1.16% | Energy: 374721280
MONITORED: % | ON: 2.01% | TX: 0.10% | RX: 0.04% | INT: 0.00% | ONL: 27.42% | TXL: 1.88% | RXL: 9.04% | INTL: 1.16% | Energy: 393952880
MONITORED: % | ON: 1.98% | TX: 0.10% | RX: 0.04% | INT: 0.00% | ONL: 27.42% | TXL: 1.81% | RXL: 9.01% | INTL: 1.19% | Energy: 411182560
MONITORED: % | ON: 1.97% | TX: 0.10% | RX: 0.04% | INT: 0.00% | ONL: 27.26% | TXL: 1.82% | RXL: 8.95% | INTL: 1.17% | Energy: 422112640
MONITORED: % | ON: 1.90% | TX: 0.10% | RX: 0.03% | INT: 0.00% | ONL: 26.65% | TXL: 1.73% | RXL: 8.72% | INTL: 1.15% | Energy: 435990160
MONITORED: % | ON: 1.90% | TX: 0.10% | RX: 0.03% | INT: 0.00% | ONL: 26.38% | TXL: 1.68% | RXL: 8.70% | INTL: 1.14% | Energy: 444160960
MONITORED: % | ON: 1.90% | TX: 0.09% | RX: 0.04% | INT: 0.00% | ONL: 26.51% | TXL: 1.64% | RXL: 8.78% | INTL: 1.14% | Energy: 458734480
MONITORED: % | ON: 1.90% | TX: 0.09% | RX: 0.04% | INT: 0.00% | ONL: 26.23% | TXL: 1.60% | RXL: 8.73% | INTL: 1.12% | Energy: 466572000
MONITORED: % | ON: 1.89% | TX: 0.09% | RX: 0.04% | INT: 0.00% | ONL: 26.02% | TXL: 1.56% | RXL: 8.68% | INTL: 1.09% | Energy: 475198640
MONITORED: % | ON: 1.90% | TX: 0.09% | RX: 0.04% | INT: 0.00% | ONL: 25.91% | TXL: 1.54% | RXL: 8.70% | INTL: 1.07% | Energy: 482780880
MONITORED: % | ON: 1.89% | TX: 0.09% | RX: 0.04% | INT: 0.00% | ONL: 25.65% | TXL: 1.50% | RXL: 8.64% | INTL: 1.06% | Energy: 492786000
MONITORED: % | ON: 1.85% | TX: 0.09% | RX: 0.04% | INT: 0.00% | ONL: 25.35% | TXL: 1.44% | RXL: 8.54% | INTL: 1.05% | Energy: 505982720
MONITORED: % | ON: 1.83% | TX: 0.09% | RX: 0.03% | INT: 0.00% | ONL: 25.15% | TXL: 1.40% | RXL: 8.49% | INTL: 1.05% | Energy: 517512320
MONITORED: % | ON: 1.82% | TX: 0.08% | RX: 0.03% | INT: 0.00% | ONL: 24.78% | TXL: 1.35% | RXL: 8.36% | INTL: 1.02% | Energy: 527267920
MONITORED: % | ON: 1.74% | TX: 0.08% | RX: 0.03% | INT: 0.00% | ONL: 24.04% | TXL: 1.27% | RXL: 8.01% | INTL: 0.96% | Energy: 546392480
MONITORED: % | ON: 1.61% | TX: 0.08% | RX: 0.03% | INT: 0.00% | ONL: 22.91% | TXL: 1.17% | RXL: 7.44% | INTL: 0.90% | Energy: 568779680
MONITORED: % | ON: 1.47% | TX: 0.07% | RX: 0.03% | INT: 0.00% | ONL: 21.67% | TXL: 1.05% | RXL: 6.80% | INTL: 0.81% | Energy: 600966240
MONITORED: % | ON: 1.33% | TX: 0.06% | RX: 0.02% | INT: 0.00% | ONL: 20.37% | TXL: 0.93% | RXL: 6.11% | INTL: 0.73% | Energy: 637262960
MONITORED: % | ON: 1.08% | TX: 0.05% | RX: 0.02% | INT: 0.00% | ONL: 18.33% | TXL: 0.75% | RXL: 5.01% | INTL: 0.61% | Energy: 707870320
MONITORED: % | ON: 1.03% | TX: 0.05% | RX: 0.02% | INT: 0.00% | ONL: 17.87% | TXL: 0.71% | RXL: 4.79% | INTL: 0.58% | Energy: 734835920
MONITORED: % | ON: 0.92% | TX: 0.05% | RX: 0.02% | INT: 0.00% | ONL: 17.02% | TXL: 0.63% | RXL: 4.32% | INTL: 0.53% | Energy: 787574640
MONITORED: % | ON: 0.90% | TX: 0.05% | RX: 0.02% | INT: 0.00% | ONL: 16.75% | TXL: 0.61% | RXL: 4.20% | INTL: 0.51% | Energy: 807788240
MONITORED: % | ON: 0.89% | TX: 0.05% | RX: 0.02% | INT: 0.00% | ONL: 16.67% | TXL: 0.59% | RXL: 4.16% | INTL: 0.51% | Energy: 822600560
MONITORED: % | ON: 0.89% | TX: 0.05% | RX: 0.02% | INT: 0.00% | ONL: 16.67% | TXL: 0.59% | RXL: 4.19% | INTL: 0.51% | Energy: 835585120
MONITORED: % | ON: 0.87% | TX: 0.05% | RX: 0.01% | INT: 0.00% | ONL: 16.48% | TXL: 0.57% | RXL: 4.09% | INTL: 0.49% | Energy: 858180720
