MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: 15.14% | TX: 0.04% | RX: 0.06% | INT: 0.00% | ONL: 34.06% | TXL: 1.09% | RXL: 8.94% | INTL: 0.89% | Energy: 40240240
MONITORED: % | ON: 10.97% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 32.92% | TXL: 0.76% | RXL: 10.11% | INTL: 1.28% | Energy: 53312400
MONITORED: % | ON: 8.70% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 32.97% | TXL: 0.70% | RXL: 10.81% | INTL: 1.38% | Energy: 68407600
MONITORED: % | ON: 7.33% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 32.08% | TXL: 1.06% | RXL: 10.61% | INTL: 1.53% | Energy: 81919040
MONITORED: % | ON: 6.89% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 31.09% | TXL: 0.94% | RXL: 10.81% | INTL: 1.41% | Energy: 88988160
MONITORED: % | ON: 6.23% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 30.49% | TXL: 0.81% | RXL: 10.89% | INTL: 1.53% | Energy: 100095440
MONITORED: % | ON: 5.88% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 30.94% | TXL: 0.72% | RXL: 11.16% | INTL: 1.52% | Energy: 111559760
MONITORED: % | ON: 6.02% | TX: 0.02% | RX: 0.05% | INT: 0.00% | ONL: 31.01% | TXL: 0.67% | RXL: 11.34% | INTL: 1.46% | Energy: 123804880
MONITORED: % | ON: 5.97% | TX: 0.03% | RX: 0.05% | INT: 0.00% | ONL: 30.21% | TXL: 0.82% | RXL: 11.03% | INTL: 1.55% | Energy: 136840720
MONITORED: % | ON: 5.64% | TX: 0.03% | RX: 0.06% | INT: 0.00% | ONL: 30.18% | TXL: 0.95% | RXL: 11.10% | INTL: 1.57% | Energy: 150491120
MONITORED: % | ON: 4.97% | TX: 0.03% | RX: 0.06% | INT: 0.00% | ONL: 28.70% | TXL: 0.85% | RXL: 10.39% | INTL: 1.43% | Energy: 165585680
MONITORED: % | ON: 4.67% | TX: 0.03% | RX: 0.07% | INT: 0.00% | ONL: 28.49% | TXL: 0.82% | RXL: 10.25% | INTL: 1.34% | Energy: 178269600
MONITORED: % | ON: 4.52% | TX: 0.02% | RX: 0.07% | INT: 0.00% | ONL: 28.90% | TXL: 0.80% | RXL: 10.26% | INTL: 1.36% | Energy: 192661680
MONITORED: % | ON: 4.35% | TX: 0.03% | RX: 0.06% | INT: 0.00% | ONL: 28.98% | TXL: 0.90% | RXL: 10.25% | INTL: 1.34% | Energy: 205097280
MONITORED: % | ON: 4.17% | TX: 0.03% | RX: 0.07% | INT: 0.00% | ONL: 28.43% | TXL: 0.87% | RXL: 10.22% | INTL: 1.34% | Energy: 216545120
MONITORED: % | ON: 4.11% | TX: 0.03% | RX: 0.06% | INT: 0.00% | ONL: 28.10% | TXL: 0.83% | RXL: 10.22% | INTL: 1.31% | Energy: 223929520
MONITORED: % | ON: 3.96% | TX: 0.02% | RX: 0.08% | INT: 0.00% | ONL: 27.87% | TXL: 0.88% | RXL: 10.05% | INTL: 1.30% | Energy: 236628480
MONITORED: % | ON: 4.02% | TX: 0.04% | RX: 0.09% | INT: 0.00% | ONL: 28.04% | TXL: 1.16% | RXL: 10.07% | INTL: 1.27% | Energy: 255372720
MONITORED: % | ON: 3.94% | TX: 0.03% | RX: 0.09% | INT: 0.00% | ONL: 28.09% | TXL: 1.11% | RXL: 10.24% | INTL: 1.27% | Energy: 266736960
MONITORED: % | ON: 3.84% | TX: 0.04% | RX: 0.09% | INT: 0.00% | ONL: 27.79% | TXL: 1.19% | RXL: 10.09% | INTL: 1.23% | Energy: 277197200
MONITORED: % | ON: 4.02% | TX: 0.04% | RX: 0.09% | INT: 0.00% | ONL: 27.23% | TXL: 1.21% | RXL: 9.82% | INTL: 1.27% | Energy: 297050800
MONITORED: % | ON: 3.81% | TX: 0.04% | RX: 0.09% | INT: 0.00% | ONL: 26.75% | TXL: 1.33% | RXL: 9.54% | INTL: 1.20% | Energy: 313950240
MONITORED: % | ON: 3.69% | TX: 0.04% | RX: 0.10% | INT: 0.00% | ONL: 26.30% | TXL: 1.27% | RXL: 9.39% | INTL: 1.16% | Energy: 322719360
MONITORED: % | ON: 3.57% | TX: 0.04% | RX: 0.09% | INT: 0.00% | ONL: 25.81% | TXL: 1.21% | RXL: 9.22% | INTL: 1.11% | Energy: 331435680
MONITORED: % | ON: 3.49% | TX: 0.03% | RX: 0.09% | INT: 0.00% | ONL: 25.47% | TXL: 1.16% | RXL: 9.13% | INTL: 1.07% | Energy: 341067600
MONITORED: % | ON: 3.37% | TX: 0.03% | RX: 0.09% | INT: 0.00% | ONL: 24.89% | TXL: 1.11% | RXL: 8.89% | INTL: 1.02% | Energy: 348477520
MONITORED: % | ON: 3.19% | TX: 0.03% | RX: 0.09% | INT: 0.00% | ONL: 24.50% | TXL: 1.19% | RXL: 8.61% | INTL: 1.00% | Energy: 366878400
MONITORED: % | ON: 3.10% | TX: 0.03% | RX: 0.08% | INT: 0.00% | ONL: 24.59% | TXL: 1.15% | RXL: 8.61% | INTL: 1.01% | Energy: 383521520
MONITORED: % | ON: 3.05% | TX: 0.03% | RX: 0.08% | INT: 0.00% | ONL: 24.34% | TXL: 1.11% | RXL: 8.56% | INTL: 0.98% | Energy: 391433840
MONITORED: % | ON: 2.93% | TX: 0.03% | RX: 0.08% | INT: 0.00% | ONL: 23.91% | TXL: 1.09% | RXL: 8.30% | INTL: 1.00% | Energy: 405806480
MONITORED: % | ON: 2.91% | TX: 0.03% | RX: 0.09% | INT: 0.00% | ONL: 23.85% | TXL: 1.10% | RXL: 8.31% | INTL: 0.99% | Energy: 416691040
MONITORED: % | ON: 2.88% | TX: 0.03% | RX: 0.08% | INT: 0.00% | ONL: 23.96% | TXL: 1.14% | RXL: 8.31% | INTL: 1.00% | Energy: 430120960
