packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 loss!!!
packet id 007 loss!!!
packet id 008 loss!!!
packet id 009 loss!!!
packet id 010 loss!!!
packet id 011 delay: 548128
packet id 012 loss!!!
packet id 013 delay: 578976
packet id 014 delay: 507168
packet id 015 delay: 406032
packet id 016 delay: 503952
packet id 017 loss!!!
packet id 018 delay: 400856
packet id 019 delay: 480104
packet id 020 delay: 520336
packet id 021 delay: 640280
packet id 022 delay: 406336
packet id 023 delay: 352728
packet id 024 delay: 467032
packet id 025 delay: 652600
packet id 026 delay: 541440
packet id 027 delay: 594528
packet id 028 delay: 345256
packet id 029 delay: 438520
packet id 030 delay: 469088
packet id 031 loss!!!
packet id 032 delay: 430104
packet id 033 delay: 546128
packet id 034 delay: 562032
packet id 035 delay: 494768
packet id 036 delay: 644208
packet id 037 delay: 560056
packet id 038 delay: 580392
packet id 039 delay: 538240
packet id 040 loss!!!
packet id 041 delay: 361064
packet id 042 delay: 466576
packet id 043 delay: 456728
packet id 044 delay: 558352
packet id 045 delay: 540752
packet id 046 delay: 430880
packet id 047 delay: 502904
packet id 048 delay: 961024
packet id 049 delay: 629280
packet id 050 delay: 578864
packet id 051 loss!!!
packet id 052 delay: 488808
packet id 053 delay: 535392
packet id 054 delay: 1395336
packet id 055 delay: 567336
packet id 056 delay: 753432
packet id 057 delay: 551072
packet id 058 delay: 479904
packet id 059 delay: 523168
packet id 060 delay: 539368
packet id 061 delay: 465072
packet id 062 delay: 476088
packet id 063 delay: 1525888
packet id 064 delay: 443296
packet id 065 delay: 512536
packet id 066 delay: 323736
packet id 067 delay: 393648
packet id 068 delay: 497048
packet id 069 delay: 545632
packet id 070 delay: 607016
packet id 071 delay: 593472
packet id 072 delay: 568752
packet id 073 delay: 416712
packet id 074 delay: 391616
packet id 075 delay: 533664
packet id 076 delay: 721336
packet id 077 delay: 632960
packet id 078 delay: 1871976
packet id 079 delay: 363088
packet id 080 delay: 610696
packet id 081 delay: 604264
packet id 082 delay: 443688
packet id 083 delay: 490768
packet id 084 delay: 528168
packet id 085 delay: 393048
packet id 086 delay: 567280
packet id 087 delay: 635280
packet id 088 delay: 487744
packet id 089 delay: 404688
packet id 090 delay: 456488
packet id 091 delay: 1416552
packet id 092 delay: 597144
packet id 093 delay: 565808
packet id 094 loss!!!
packet id 095 delay: 586384
packet id 096 delay: 425312
packet id 097 delay: 1023760
packet id 098 delay: 527600
packet id 099 delay: 502488
packet id 100 delay: 427608
packet id 101 delay: 468536
packet id 102 delay: 745776
packet id 103 delay: 406200
packet id 104 delay: 997232
packet id 105 delay: 446864
packet id 106 delay: 2079624
packet id 107 loss!!!
packet id 108 delay: 555376
packet id 109 delay: 966616
packet id 110 delay: 1459136
packet id 111 delay: 510752
packet id 112 delay: 478072
packet id 113 delay: 558864
packet id 114 delay: 538392
packet id 115 delay: 528808
