packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 delay: 1099616
packet id 005 delay: 1144208
packet id 006 delay: 975000
packet id 007 delay: 540208
packet id 008 delay: 625328
packet id 009 delay: 700368
packet id 010 delay: 905448
packet id 011 delay: 1116928
packet id 012 delay: 637648
packet id 013 delay: 683288
packet id 014 delay: 690448
packet id 015 delay: 650368
packet id 016 delay: 886376
packet id 017 delay: 701280
packet id 018 delay: 743696
packet id 019 delay: 613088
packet id 020 delay: 648960
packet id 021 delay: 714688
packet id 022 delay: 716280
packet id 023 delay: 624752
packet id 024 delay: 635816
packet id 025 delay: 750720
packet id 026 delay: 515520
packet id 027 delay: 584600
packet id 028 delay: 463768
packet id 029 delay: 494952
packet id 030 delay: 593664
packet id 031 delay: 752496
packet id 032 delay: 699056
packet id 033 delay: 680760
packet id 034 delay: 658400
packet id 035 delay: 586904
packet id 036 delay: 540424
packet id 037 delay: 555832
packet id 038 delay: 700040
packet id 039 delay: 574072
packet id 040 delay: 734552
packet id 041 delay: 701488
packet id 042 delay: 689024
packet id 043 loss!!!
packet id 044 delay: 654112
packet id 045 delay: 579192
packet id 046 delay: 622960
packet id 047 delay: 870232
packet id 048 delay: 682384
packet id 049 delay: 655168
packet id 050 delay: 788432
packet id 051 delay: 498568
packet id 052 delay: 557440
packet id 053 delay: 630232
packet id 054 delay: 595904
packet id 055 delay: 689752
packet id 056 delay: 889968
packet id 057 delay: 648480
packet id 058 delay: 683376
packet id 059 delay: 779456
packet id 060 delay: 474480
packet id 061 delay: 652720
packet id 062 delay: 756552
packet id 063 delay: 529560
packet id 064 delay: 679360
packet id 065 delay: 662680
packet id 066 delay: 710176
packet id 067 delay: 601984
packet id 068 delay: 587040
packet id 069 delay: 550880
packet id 070 delay: 636080
packet id 071 delay: 731960
packet id 072 delay: 651344
packet id 073 delay: 745960
packet id 074 delay: 779344
packet id 075 delay: 999768
packet id 076 delay: 800912
packet id 077 delay: 576336
packet id 078 delay: 2855088
packet id 079 delay: 599840
packet id 080 delay: 662432
packet id 081 delay: 950872
packet id 082 delay: 697224
packet id 083 delay: 678320
packet id 084 delay: 599904
packet id 085 delay: 713320
packet id 086 delay: 610752
packet id 087 delay: 2168120
packet id 088 delay: 805264
packet id 089 delay: 861440
packet id 090 delay: 849304
packet id 091 delay: 443296
packet id 092 delay: 642888
packet id 093 delay: 610664
packet id 094 delay: 599960
packet id 095 delay: 740232
packet id 096 loss!!!
packet id 097 delay: 594688
packet id 098 delay: 600776
packet id 099 delay: 771512
packet id 100 delay: 3629184
packet id 101 delay: 747176
packet id 102 delay: 613816
packet id 103 delay: 628304
packet id 104 loss!!!
packet id 105 delay: 682552
packet id 106 delay: 469272
packet id 107 delay: 632088
packet id 108 delay: 567472
packet id 109 delay: 652024
packet id 110 delay: 760904
packet id 111 delay: 808120
packet id 112 delay: 813432
packet id 113 delay: 706552
packet id 114 delay: 810872
packet id 115 delay: 2490200
packet id 116 delay: 1390208
packet id 117 delay: 630792
packet id 118 delay: 711400
packet id 119 delay: 645648
packet id 120 delay: 673608
packet id 121 delay: 617560
packet id 122 delay: 675832
packet id 123 delay: 570384
packet id 124 delay: 614136
packet id 125 delay: 697816
packet id 126 delay: 685560
packet id 127 delay: 693136
packet id 128 delay: 815496
packet id 129 loss!!!
packet id 130 delay: 691440
packet id 131 delay: 627128
packet id 132 delay: 2292904
packet id 133 delay: 580600
packet id 134 delay: 670112
packet id 135 delay: 636320
packet id 136 delay: 812496
packet id 137 delay: 694080
packet id 138 delay: 559192
packet id 139 delay: 510552
packet id 140 delay: 577784
packet id 141 delay: 788720
packet id 142 delay: 651656
