MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 0
MONITORED: % | ON: 74.70% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 77.13% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 7500000
MONITORED: % | ON: 42.46% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 47.99% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 7860000
MONITORED: % | ON: 1.07% | TX: 0.02% | RX: 0.08% | INT: 0.00% | ONL: 19.92% | TXL: 1.23% | RXL: 5.37% | INTL: 1.13% | Energy: 267497120
MONITORED: % | ON: 0.52% | TX: 0.01% | RX: 0.05% | INT: 0.00% | ONL: 14.15% | TXL: 0.59% | RXL: 2.57% | INTL: 0.43% | Energy: 723554800
MONITORED: % | ON: 0.32% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 12.39% | TXL: 0.43% | RXL: 1.57% | INTL: 0.24% | Energy: 1158875280
MONITORED: % | ON: 2.45% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 9.63% | TXL: 0.39% | RXL: 1.22% | INTL: 0.19% | Energy: 1434141920
MONITORED: % | ON: 4.08% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 7.49% | TXL: 0.34% | RXL: 0.94% | INTL: 0.14% | Energy: 1780391040
MONITORED: % | ON: 5.29% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 5.92% | TXL: 0.30% | RXL: 0.74% | INTL: 0.11% | Energy: 2204766000
MONITORED: % | ON: 5.95% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 5.06% | TXL: 0.28% | RXL: 0.63% | INTL: 0.10% | Energy: 2560470720
MONITORED: % | ON: 6.33% | TX: 0.00% | RX: 0.02% | INT: 0.00% | ONL: 4.57% | TXL: 0.27% | RXL: 0.56% | INTL: 0.09% | Energy: 2830074240
MONITORED: % | ON: 6.74% | TX: 0.00% | RX: 0.02% | INT: 0.00% | ONL: 4.02% | TXL: 0.25% | RXL: 0.49% | INTL: 0.07% | Energy: 3200719600
MONITORED: % | ON: 7.03% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 3.64% | TXL: 0.24% | RXL: 0.44% | INTL: 0.07% | Energy: 3527770880
MONITORED: % | ON: 7.25% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 3.34% | TXL: 0.23% | RXL: 0.40% | INTL: 0.06% | Energy: 3836148960
MONITORED: % | ON: 7.46% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 3.06% | TXL: 0.22% | RXL: 0.37% | INTL: 0.06% | Energy: 4183383520
MONITORED: % | ON: 7.65% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 2.82% | TXL: 0.21% | RXL: 0.34% | INTL: 0.05% | Energy: 4561874000
MONITORED: % | ON: 7.79% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 2.63% | TXL: 0.21% | RXL: 0.31% | INTL: 0.05% | Energy: 4911699600
