packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 loss!!!
packet id 007 loss!!!
packet id 008 loss!!!
packet id 009 loss!!!
packet id 010 loss!!!
packet id 011 loss!!!
packet id 012 loss!!!
packet id 013 loss!!!
packet id 014 delay: 290736
packet id 015 delay: 323456
packet id 016 delay: 470104
packet id 017 delay: 272472
packet id 018 delay: 405608
packet id 019 delay: 418272
packet id 020 delay: 364816
packet id 021 loss!!!
packet id 022 delay: 642696
packet id 023 delay: 341408
packet id 024 delay: 386896
packet id 025 delay: 479240
packet id 026 delay: 432896
packet id 027 delay: 291208
packet id 028 delay: 242640
packet id 029 delay: 290320
packet id 030 delay: 474328
packet id 031 delay: 374856
packet id 032 delay: 342584
packet id 033 delay: 409120
packet id 034 delay: 441880
packet id 035 delay: 379680
packet id 036 delay: 434744
packet id 037 delay: 422176
packet id 038 delay: 238696
packet id 039 delay: 395448
packet id 040 delay: 372304
packet id 041 delay: 401328
packet id 042 delay: 417152
packet id 043 delay: 478152
packet id 044 delay: 447216
packet id 045 delay: 341904
packet id 046 delay: 565008
packet id 047 delay: 523880
packet id 048 delay: 407968
packet id 049 delay: 391592
packet id 050 delay: 385368
packet id 051 delay: 348608
packet id 052 delay: 312888
packet id 053 delay: 220680
packet id 054 delay: 302288
packet id 055 delay: 355344
packet id 056 delay: 379648
packet id 057 delay: 392800
packet id 058 delay: 396040
packet id 059 delay: 321016
packet id 060 delay: 372648
packet id 061 delay: 325568
packet id 062 delay: 297216
packet id 063 delay: 422368
packet id 064 delay: 398496
packet id 065 delay: 367008
packet id 066 delay: 310416
packet id 067 delay: 351688
packet id 068 delay: 1106400
packet id 069 delay: 689120
packet id 070 delay: 324056
packet id 071 delay: 506512
packet id 072 delay: 316600
packet id 073 delay: 345960
packet id 074 delay: 454424
packet id 075 delay: 371120
packet id 076 delay: 309080
packet id 077 delay: 244280
packet id 078 delay: 563376
packet id 079 delay: 278960
packet id 080 delay: 414856
packet id 081 delay: 366216
packet id 082 delay: 397232
packet id 083 delay: 276040
packet id 084 delay: 460312
packet id 085 delay: 546016
packet id 086 delay: 429424
packet id 087 delay: 365536
packet id 088 delay: 472416
packet id 089 delay: 378480
packet id 090 loss!!!
packet id 091 delay: 413632
packet id 092 delay: 320528
packet id 093 delay: 406192
packet id 094 delay: 316208
packet id 095 delay: 450576
packet id 096 delay: 463224
packet id 097 delay: 347368
packet id 098 delay: 423384
packet id 099 delay: 325720
packet id 100 delay: 453968
packet id 101 delay: 326064
packet id 102 delay: 301528
packet id 103 delay: 467592
packet id 104 delay: 300152
packet id 105 delay: 302000
packet id 106 delay: 290680
packet id 107 delay: 385760
packet id 108 delay: 393832
packet id 109 delay: 410592
packet id 110 delay: 455784
packet id 111 delay: 373208
packet id 112 delay: 332400
packet id 113 delay: 431992
packet id 114 delay: 301136
packet id 115 delay: 429048
packet id 116 delay: 278608
packet id 117 delay: 391840
packet id 118 delay: 351736
packet id 119 delay: 468840
packet id 120 delay: 346696
packet id 121 delay: 318320
packet id 122 delay: 505000
packet id 123 delay: 416368
packet id 124 delay: 290080
packet id 125 delay: 435160
packet id 126 delay: 389744
packet id 127 delay: 625424
packet id 128 delay: 525592
packet id 129 delay: 587720
packet id 130 delay: 578760
packet id 131 delay: 419520
packet id 132 delay: 266696
packet id 133 delay: 370112
packet id 134 delay: 354400
packet id 135 delay: 405120
packet id 136 delay: 395480
packet id 137 delay: 394216
packet id 138 delay: 1425848
packet id 139 delay: 372720
packet id 140 delay: 223720
packet id 141 delay: 384232
packet id 142 delay: 278184
packet id 143 delay: 373088
packet id 144 delay: 649632
packet id 145 delay: 480048
packet id 146 delay: 332848
packet id 147 delay: 427368
packet id 148 delay: 377888
packet id 149 delay: 464648
packet id 150 delay: 446216
packet id 151 delay: 338440
packet id 152 delay: 518520
packet id 153 delay: 434968
packet id 154 delay: 1010872
packet id 155 delay: 385360
packet id 156 delay: 323192
packet id 157 delay: 402520
packet id 158 delay: 419592
packet id 159 delay: 347288
packet id 160 delay: 396608
packet id 161 delay: 341040
packet id 162 delay: 375440
packet id 163 delay: 426000
packet id 164 delay: 423112
packet id 165 delay: 354008
packet id 166 delay: 440696
packet id 167 delay: 441744
packet id 168 delay: 303640
packet id 169 delay: 418784
packet id 170 delay: 384880
packet id 171 loss!!!
packet id 172 delay: 344120
packet id 173 delay: 324288
packet id 174 delay: 372424
packet id 175 delay: 361968
packet id 176 delay: 507312
packet id 177 delay: 247928
packet id 178 delay: 269608
packet id 179 delay: 405120
packet id 180 loss!!!
packet id 181 delay: 313496
packet id 182 delay: 445576
packet id 183 delay: 369288
packet id 184 delay: 424176
packet id 185 delay: 311800
packet id 186 delay: 337808
packet id 187 delay: 726080
packet id 188 delay: 332800
packet id 189 delay: 684200
packet id 190 delay: 399552
packet id 191 delay: 420792
packet id 192 delay: 294456
packet id 193 delay: 359536
packet id 194 delay: 468328
packet id 195 delay: 352000
packet id 196 delay: 342360
packet id 197 delay: 331496
packet id 198 delay: 238736
packet id 199 delay: 348400
packet id 200 delay: 331000
packet id 201 delay: 392136
packet id 202 delay: 342032
packet id 203 delay: 375800
packet id 204 delay: 341320
packet id 205 delay: 314624
packet id 206 delay: 306944
packet id 207 delay: 381272
packet id 208 delay: 408040
packet id 209 delay: 341480
packet id 210 delay: 304720
packet id 211 delay: 424216
packet id 212 delay: 440568
packet id 213 delay: 268200
packet id 214 delay: 644600
packet id 215 delay: 318496
packet id 216 delay: 487104
packet id 217 delay: 578464
packet id 218 delay: 177752
packet id 219 delay: 357200
packet id 220 delay: 435000
packet id 221 delay: 373496
packet id 222 delay: 425256
packet id 223 delay: 348760
packet id 224 delay: 434112
packet id 225 delay: 370984
packet id 226 delay: 408704
packet id 227 delay: 342080
packet id 228 delay: 385496
packet id 229 delay: 330168
packet id 230 delay: 416896
packet id 231 delay: 208120
packet id 232 delay: 431592
packet id 233 delay: 237680
packet id 234 delay: 375888
packet id 235 delay: 306248
packet id 236 delay: 427936
packet id 237 delay: 287168
packet id 238 delay: 429424
packet id 239 delay: 317328
packet id 240 delay: 364208
packet id 241 delay: 307800
packet id 242 loss!!!
packet id 243 delay: 338208
packet id 244 delay: 406040
packet id 245 delay: 304960
packet id 246 delay: 383232
packet id 247 delay: 337944
packet id 248 delay: 508008
packet id 249 delay: 429216
packet id 250 delay: 457576
packet id 251 delay: 312832
packet id 252 delay: 403304
packet id 253 delay: 450792
packet id 254 delay: 471208
packet id 255 delay: 371904
packet id 256 delay: 465048
packet id 257 delay: 325208
packet id 258 delay: 366592
packet id 259 delay: 402216
packet id 260 delay: 333568
packet id 261 delay: 258640
packet id 262 delay: 361304
packet id 263 delay: 794568
packet id 264 delay: 392272
packet id 265 delay: 322480
packet id 266 loss!!!
packet id 267 delay: 454256
packet id 268 delay: 321264
packet id 269 delay: 461848
packet id 270 delay: 364744
packet id 271 delay: 500568
packet id 272 delay: 421424
packet id 273 delay: 193400
packet id 274 delay: 334568
packet id 275 delay: 618640
packet id 276 delay: 323272
packet id 277 delay: 274944
packet id 278 loss!!!
packet id 279 delay: 337688
packet id 280 delay: 437248
packet id 281 delay: 318496
packet id 282 delay: 372272
packet id 283 delay: 619720
packet id 284 delay: 361152
packet id 285 delay: 393360
packet id 286 delay: 250096
packet id 287 delay: 408512
packet id 288 delay: 249472
packet id 289 delay: 382968
packet id 290 delay: 384040
packet id 291 delay: 397952
packet id 292 delay: 343680
packet id 293 delay: 309912
packet id 294 delay: 305040
packet id 295 delay: 379952
packet id 296 delay: 382760
packet id 297 delay: 571992
packet id 298 delay: 426296
packet id 299 delay: 339456
packet id 300 delay: 519696
packet id 301 delay: 371424
packet id 302 delay: 543680
packet id 303 delay: 418160
packet id 304 delay: 333536
packet id 305 delay: 311760
packet id 306 delay: 361816
packet id 307 delay: 388688
packet id 308 delay: 319800
packet id 309 delay: 348152
packet id 310 delay: 329736
packet id 311 delay: 363928
packet id 312 delay: 300320
packet id 313 delay: 336640
packet id 314 delay: 431040
packet id 315 delay: 312440
packet id 316 delay: 319080
packet id 317 delay: 319264
packet id 318 delay: 360288
packet id 319 delay: 336472
packet id 320 delay: 372096
packet id 321 delay: 487928
packet id 322 delay: 371776
packet id 323 delay: 419912
packet id 324 delay: 694280
packet id 325 delay: 386440
packet id 326 delay: 277080
packet id 327 delay: 1333648
packet id 328 delay: 313480
packet id 329 delay: 272400
packet id 330 delay: 399272
packet id 331 delay: 291736
packet id 332 delay: 519160
packet id 333 delay: 446592
packet id 334 delay: 404368
packet id 335 delay: 237384
packet id 336 delay: 384120
packet id 337 delay: 420896
packet id 338 delay: 295872
packet id 339 loss!!!
packet id 340 delay: 311928
packet id 341 delay: 445536
packet id 342 delay: 277584
packet id 343 delay: 268232
packet id 344 delay: 417856
packet id 345 delay: 679592
packet id 346 delay: 209720
packet id 347 delay: 341152
packet id 348 delay: 361888
packet id 349 delay: 381512
packet id 350 delay: 326400
packet id 351 delay: 459376
packet id 352 delay: 291848
packet id 353 delay: 763624
packet id 354 delay: 336440
packet id 355 delay: 251000
packet id 356 delay: 479936
