packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 delay: 46320
packet id 004 loss!!!
packet id 005 delay: 69672
packet id 006 delay: 172000
packet id 007 delay: 95176
packet id 008 delay: 65176
packet id 009 delay: 100104
packet id 010 delay: 45920
packet id 011 delay: 62704
packet id 012 delay: 54920
packet id 013 delay: 39176
packet id 014 delay: 21704
packet id 015 delay: 105920
packet id 016 delay: 28920
packet id 017 delay: 41176
packet id 018 delay: 36176
packet id 019 delay: 102696
packet id 020 delay: 30168
packet id 021 delay: 25176
packet id 022 delay: 93704
packet id 023 delay: 25176
packet id 024 delay: 30520
packet id 025 delay: 42704
packet id 026 delay: 25176
packet id 027 delay: 108920
packet id 028 delay: 119704
packet id 029 delay: 37176
packet id 030 delay: 95920
packet id 031 delay: 43920
packet id 032 delay: 27704
packet id 033 delay: 35704
packet id 034 delay: 91920
packet id 035 delay: 83176
packet id 036 delay: 93856
packet id 037 delay: 108176
packet id 038 delay: 124520
packet id 039 delay: 55176
packet id 040 delay: 53176
packet id 041 delay: 74176
packet id 042 delay: 107448
packet id 043 delay: 21704
packet id 044 delay: 50176
packet id 045 delay: 25176
packet id 046 delay: 116176
packet id 047 delay: 48224
packet id 048 delay: 35176
packet id 049 delay: 25176
packet id 050 delay: 49920
packet id 051 delay: 21704
packet id 052 delay: 73448
packet id 053 delay: 69920
packet id 054 delay: 24920
packet id 055 delay: 101176
packet id 056 delay: 108440
packet id 057 delay: 123920
packet id 058 delay: 61176
packet id 059 delay: 102256
packet id 060 delay: 44448
packet id 061 delay: 92920
packet id 062 delay: 93448
packet id 063 delay: 31176
packet id 064 delay: 25176
packet id 065 delay: 89696
packet id 066 delay: 65176
packet id 067 delay: 113920
packet id 068 delay: 96176
packet id 069 delay: 28704
packet id 070 delay: 91448
packet id 071 delay: 159176
packet id 072 delay: 24864
packet id 073 delay: 20768
packet id 074 delay: 36648
packet id 075 delay: 93176
packet id 076 delay: 50080
packet id 077 delay: 37920
packet id 078 delay: 141176
packet id 079 delay: 21448
packet id 080 delay: 118968
packet id 081 delay: 100176
packet id 082 delay: 71704
packet id 083 delay: 101920
packet id 084 delay: 437200
packet id 085 delay: 21704
packet id 086 delay: 95176
