packet id 001 loss!!!
packet id 002 delay: 20638272
packet id 003 loss!!!
packet id 004 delay: 5175664
packet id 005 delay: 3215000
packet id 006 delay: 222280
packet id 007 delay: 278720
packet id 008 delay: 228640
packet id 009 delay: 289400
packet id 010 delay: 400800
packet id 011 delay: 199680
packet id 012 delay: 285080
packet id 013 delay: 198640
packet id 014 delay: 854920
packet id 015 delay: 194960
packet id 016 loss!!!
packet id 017 delay: 267360
packet id 018 delay: 556680
packet id 019 delay: 104240
packet id 020 delay: 1557600
packet id 021 delay: 195240
packet id 022 delay: 428520
packet id 023 delay: 1633640
packet id 024 delay: 374200
packet id 025 delay: 174200
packet id 026 delay: 245320
packet id 027 delay: 246320
packet id 028 delay: 191560
packet id 029 delay: 255000
packet id 030 delay: 274320
packet id 031 delay: 132240
packet id 032 delay: 198240
packet id 033 delay: 719400
packet id 034 delay: 235640
packet id 035 delay: 1754400
packet id 036 delay: 234640
packet id 037 delay: 373000
packet id 038 delay: 232440
packet id 039 delay: 427680
packet id 040 delay: 177880
packet id 041 delay: 271040
packet id 042 delay: 671040
packet id 043 delay: 199360
packet id 044 delay: 216280
packet id 045 delay: 200920
packet id 046 delay: 270360
packet id 047 delay: 286880
packet id 048 delay: 557560
packet id 049 delay: 259680
packet id 050 delay: 253000
packet id 051 delay: 209920
packet id 052 delay: 241320
packet id 053 delay: 215600
packet id 054 delay: 287400
packet id 055 delay: 210600
packet id 056 delay: 193240
packet id 057 delay: 226960
packet id 058 delay: 172920
packet id 059 delay: 3389640
packet id 060 delay: 331920
packet id 061 delay: 88880
packet id 062 delay: 210480
packet id 063 delay: 191000
packet id 064 delay: 277720
packet id 065 delay: 652960
packet id 066 delay: 302200
packet id 067 delay: 222320
packet id 068 delay: 194240
packet id 069 delay: 449800
packet id 070 delay: 209720
packet id 071 delay: 1663600
packet id 072 delay: 169200
packet id 073 delay: 204440
packet id 074 delay: 173360
packet id 075 delay: 713296
packet id 076 delay: 680680
packet id 077 delay: 206440
packet id 078 delay: 226960
packet id 079 delay: 268360
packet id 080 delay: 219400
packet id 081 delay: 290400
packet id 082 delay: 224960
packet id 083 delay: 81200
packet id 084 delay: 187560
packet id 085 delay: 2708360
packet id 086 delay: 2055216
packet id 087 delay: 242320
packet id 088 delay: 180880
packet id 089 delay: 168200
packet id 090 delay: 188720
packet id 091 delay: 243320
packet id 092 delay: 233640
packet id 093 delay: 292760
packet id 094 delay: 142640
packet id 095 delay: 178560
packet id 096 delay: 349320
packet id 097 delay: 245320
packet id 098 delay: 216800
packet id 099 delay: 217280
packet id 100 delay: 383360
packet id 101 delay: 243480
packet id 102 delay: 246320
packet id 103 delay: 243080
packet id 104 delay: 283720
packet id 105 delay: 137920
packet id 106 delay: 351760
packet id 107 delay: 236640
packet id 108 delay: 261680
packet id 109 delay: 271040
packet id 110 delay: 266360
packet id 111 delay: 896080
packet id 112 delay: 2547560
packet id 113 delay: 605400
packet id 114 delay: 127280
packet id 115 delay: 294080
packet id 116 delay: 460040
packet id 117 delay: 202920
packet id 118 delay: 221280
packet id 119 delay: 927120
packet id 120 delay: 4391832
packet id 121 delay: 248680
packet id 122 delay: 186880
packet id 123 loss!!!
packet id 124 delay: 798640
packet id 125 loss!!!
packet id 126 delay: 187560
packet id 127 delay: 371080
packet id 128 delay: 251000
packet id 129 delay: 255680
packet id 130 delay: 192560
packet id 131 delay: 192000
packet id 132 delay: 353640
packet id 133 delay: 171200
packet id 134 delay: 260680
packet id 135 delay: 1408080
packet id 136 delay: 233640
packet id 137 delay: 195240
packet id 138 delay: 561480
packet id 139 delay: 187560
packet id 140 delay: 203920
packet id 141 loss!!!
packet id 142 delay: 217280
packet id 143 loss!!!
packet id 144 delay: 217280
packet id 145 delay: 261680
packet id 146 delay: 505480
packet id 147 delay: 192560
packet id 148 delay: 279680
packet id 149 delay: 199000
packet id 150 delay: 269720
packet id 151 delay: 177200
packet id 152 delay: 266360
packet id 153 delay: 285080
packet id 154 delay: 178200
packet id 155 delay: 242320
packet id 156 delay: 267360
packet id 157 delay: 228000
packet id 158 delay: 183880
packet id 159 delay: 270800
packet id 160 delay: 623720
packet id 161 delay: 192560
packet id 162 delay: 1144640
packet id 163 delay: 187560
packet id 164 delay: 187560
packet id 165 delay: 911000
packet id 166 delay: 273040
packet id 167 delay: 283720
packet id 168 loss!!!
packet id 169 delay: 255000
packet id 170 delay: 569760
packet id 171 delay: 119600
packet id 172 delay: 898360
packet id 173 delay: 334200
packet id 174 delay: 280720
packet id 175 delay: 1673560
packet id 176 delay: 174200
packet id 177 delay: 483720
packet id 178 loss!!!
packet id 179 delay: 244320
packet id 180 delay: 516520
packet id 181 delay: 235680
packet id 182 delay: 205280
packet id 183 delay: 241320
packet id 184 delay: 195680
packet id 185 delay: 413600
packet id 186 delay: 836080
packet id 187 delay: 551640
packet id 188 delay: 617400
packet id 189 delay: 272040
packet id 190 delay: 248320
packet id 191 delay: 158000
packet id 192 delay: 217280
packet id 193 delay: 283720
packet id 194 delay: 220960
packet id 195 delay: 252000
packet id 196 delay: 266720
packet id 197 loss!!!
