packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 delay: 859312
packet id 005 loss!!!
packet id 006 delay: 4103696
packet id 007 delay: 938840
packet id 008 delay: 867368
packet id 009 delay: 827368
packet id 010 delay: 933880
packet id 011 delay: 741688
packet id 012 delay: 766064
packet id 013 delay: 948440
packet id 014 delay: 1695120
packet id 015 delay: 803312
packet id 016 delay: 887216
packet id 017 delay: 1026992
packet id 018 delay: 1464680
packet id 019 delay: 775104
packet id 020 delay: 1023632
packet id 021 delay: 918576
packet id 022 delay: 919576
packet id 023 delay: 1487224
packet id 024 delay: 920632
packet id 025 delay: 805048
packet id 026 delay: 865048
packet id 027 delay: 3325688
packet id 028 delay: 918520
packet id 029 delay: 904144
packet id 030 delay: 906408
packet id 031 delay: 771688
packet id 032 delay: 834312
packet id 033 loss!!!
packet id 034 delay: 630176
packet id 035 delay: 763368
packet id 036 delay: 879824
packet id 037 loss!!!
packet id 038 delay: 804160
packet id 039 delay: 725840
packet id 040 delay: 812144
packet id 041 delay: 874192
packet id 042 delay: 921408
packet id 043 delay: 767952
packet id 044 delay: 768688
packet id 045 delay: 936672
packet id 046 delay: 915256
packet id 047 delay: 751160
packet id 048 delay: 684272
packet id 049 delay: 899992
packet id 050 delay: 1333952
packet id 051 delay: 1135656
packet id 052 delay: 1219200
packet id 053 delay: 875144
packet id 054 delay: 1037256
packet id 055 delay: 911200
packet id 056 delay: 775216
packet id 057 delay: 2522016
packet id 058 delay: 790008
packet id 059 delay: 858728
packet id 060 delay: 2005200
packet id 061 delay: 1178856
packet id 062 delay: 1031200
packet id 063 delay: 826840
packet id 064 delay: 790160
packet id 065 delay: 828728
packet id 066 delay: 856088
packet id 067 delay: 823144
packet id 068 delay: 875312
packet id 069 delay: 736840
packet id 070 delay: 821048
packet id 071 delay: 636800
packet id 072 delay: 1905664
packet id 073 delay: 3252832
packet id 074 delay: 919936
packet id 075 delay: 883088
packet id 076 delay: 774744
packet id 077 delay: 1065144
packet id 078 delay: 780992
packet id 079 delay: 2732072
packet id 080 delay: 628064
packet id 081 delay: 775896
packet id 082 delay: 1608648
packet id 083 delay: 775632
packet id 084 delay: 680272
packet id 085 delay: 794104
packet id 086 delay: 850256
packet id 087 delay: 716480
packet id 088 delay: 828104
packet id 089 delay: 848368
packet id 090 delay: 843632
packet id 091 delay: 1137392
packet id 092 delay: 4882968
packet id 093 delay: 849520
packet id 094 delay: 890576
packet id 095 loss!!!
packet id 096 delay: 994672
packet id 097 delay: 1590392
packet id 098 delay: 944936
packet id 099 delay: 858464
packet id 100 loss!!!
packet id 101 delay: 994464
packet id 102 delay: 1745184
packet id 103 loss!!!
packet id 104 delay: 1042088
packet id 105 delay: 961032
packet id 106 delay: 886688
packet id 107 delay: 1001296
packet id 108 delay: 1024464
packet id 109 delay: 946352
packet id 110 delay: 886672
packet id 111 delay: 1191256
packet id 112 delay: 901256
packet id 113 delay: 821216
packet id 114 delay: 896256
packet id 115 delay: 1058408
packet id 116 delay: 943480
packet id 117 delay: 792784
packet id 118 delay: 635008
packet id 119 delay: 981272
packet id 120 delay: 960408
packet id 121 delay: 775104
packet id 122 delay: 819576
packet id 123 delay: 820256
packet id 124 delay: 991856
packet id 125 delay: 1001048
packet id 126 delay: 683160
packet id 127 loss!!!
packet id 128 delay: 836160
packet id 129 delay: 651536
packet id 130 delay: 877256
packet id 131 delay: 762312
packet id 132 delay: 806104
packet id 133 delay: 853200
packet id 134 delay: 779992
packet id 135 delay: 899992
packet id 136 loss!!!
packet id 137 delay: 870824
packet id 138 delay: 930256
packet id 139 delay: 1404376
packet id 140 delay: 842160
packet id 141 delay: 1237952
packet id 142 delay: 911216
packet id 143 delay: 893840
packet id 144 delay: 830568
packet id 145 delay: 964672
packet id 146 loss!!!
packet id 147 delay: 1056992
packet id 148 delay: 3394992
packet id 149 delay: 829256
packet id 150 delay: 1007880
packet id 151 delay: 611232
