MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 0
MONITORED: % | ON: 58.96% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 58.96% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 9740000
MONITORED: % | ON: 9.10% | TX: 0.19% | RX: 0.19% | INT: 0.00% | ONL: 19.18% | TXL: 1.66% | RXL: 5.35% | INTL: 0.92% | Energy: 484020240
MONITORED: % | ON: 9.38% | TX: 0.06% | RX: 0.08% | INT: 0.00% | ONL: 12.77% | TXL: 0.54% | RXL: 1.99% | INTL: 0.29% | Energy: 1461760960
MONITORED: % | ON: 9.43% | TX: 0.05% | RX: 0.07% | INT: 0.00% | ONL: 12.21% | TXL: 0.46% | RXL: 1.65% | INTL: 0.25% | Energy: 1780791200
MONITORED: % | ON: 9.47% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 11.39% | TXL: 0.33% | RXL: 1.15% | INTL: 0.18% | Energy: 2653992640
MONITORED: % | ON: 9.48% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 11.20% | TXL: 0.30% | RXL: 1.02% | INTL: 0.16% | Energy: 2996686880
MONITORED: % | ON: 9.50% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 10.90% | TXL: 0.26% | RXL: 0.85% | INTL: 0.13% | Energy: 3822836000
MONITORED: % | ON: 9.50% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 10.82% | TXL: 0.25% | RXL: 0.80% | INTL: 0.13% | Energy: 4182984080
MONITORED: % | ON: 9.51% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 10.65% | TXL: 0.22% | RXL: 0.68% | INTL: 0.12% | Energy: 5016558160
MONITORED: % | ON: 9.52% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 10.59% | TXL: 0.21% | RXL: 0.65% | INTL: 0.11% | Energy: 5399358800
MONITORED: % | ON: 9.52% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 10.52% | TXL: 0.22% | RXL: 0.60% | INTL: 0.10% | Energy: 6191852480
MONITORED: % | ON: 9.52% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 10.48% | TXL: 0.21% | RXL: 0.57% | INTL: 0.10% | Energy: 6641680480
