MONITORED: % | ON: 59.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 59.06% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 3260000
MONITORED: % | ON: 35.55% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 35.55% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 3740000
MONITORED: % | ON: 9.26% | TX: 0.15% | RX: 0.27% | INT: 0.00% | ONL: 19.86% | TXL: 1.59% | RXL: 5.75% | INTL: 1.01% | Energy: 71996560
MONITORED: % | ON: 9.61% | TX: 0.09% | RX: 0.13% | INT: 0.00% | ONL: 17.17% | TXL: 1.78% | RXL: 3.45% | INTL: 0.56% | Energy: 841697520
MONITORED: % | ON: 9.66% | TX: 0.04% | RX: 0.06% | INT: 0.00% | ONL: 13.32% | TXL: 0.94% | RXL: 1.70% | INTL: 0.30% | Energy: 1766707200
MONITORED: % | ON: 9.65% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 12.43% | TXL: 0.73% | RXL: 1.32% | INTL: 0.25% | Energy: 2672342400
MONITORED: % | ON: 9.65% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 11.92% | TXL: 0.63% | RXL: 1.09% | INTL: 0.22% | Energy: 3494749440
MONITORED: % | ON: 9.66% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 11.65% | TXL: 0.57% | RXL: 0.97% | INTL: 0.20% | Energy: 4242134480
MONITORED: % | ON: 9.67% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 11.44% | TXL: 0.54% | RXL: 0.86% | INTL: 0.19% | Energy: 5087262240
MONITORED: % | ON: 9.67% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 11.30% | TXL: 0.52% | RXL: 0.78% | INTL: 0.18% | Energy: 5951772160
MONITORED: % | ON: 9.67% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 11.17% | TXL: 0.49% | RXL: 0.71% | INTL: 0.17% | Energy: 6735863200
MONITORED: % | ON: 9.67% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 11.02% | TXL: 0.45% | RXL: 0.64% | INTL: 0.16% | Energy: 7741968800
MONITORED: % | ON: 9.66% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 10.94% | TXL: 0.43% | RXL: 0.61% | INTL: 0.15% | Energy: 8466249920
MONITORED: % | ON: 9.66% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 10.85% | TXL: 0.41% | RXL: 0.57% | INTL: 0.14% | Energy: 9334517920
MONITORED: % | ON: 9.66% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 10.78% | TXL: 0.39% | RXL: 0.55% | INTL: 0.14% | Energy: 10254002880
MONITORED: % | ON: 9.66% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 10.73% | TXL: 0.38% | RXL: 0.53% | INTL: 0.13% | Energy: 10923155200
MONITORED: % | ON: 9.66% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 10.69% | TXL: 0.37% | RXL: 0.50% | INTL: 0.13% | Energy: 11832982800
