packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 loss!!!
packet id 007 loss!!!
packet id 008 loss!!!
packet id 009 loss!!!
packet id 010 loss!!!
packet id 011 loss!!!
packet id 012 loss!!!
packet id 013 delay: 463056
packet id 014 delay: 525384
packet id 015 delay: 324040
packet id 016 loss!!!
packet id 017 delay: 460360
packet id 018 delay: 487880
packet id 019 delay: 341840
packet id 020 loss!!!
packet id 021 delay: 333680
packet id 022 delay: 544600
packet id 023 delay: 429440
packet id 024 delay: 535160
packet id 025 delay: 532248
packet id 026 delay: 557320
packet id 027 delay: 611560
packet id 028 delay: 341920
packet id 029 delay: 296240
packet id 030 delay: 593920
packet id 031 loss!!!
packet id 032 delay: 492768
packet id 033 delay: 380048
packet id 034 delay: 494936
packet id 035 delay: 384928
packet id 036 delay: 350736
packet id 037 delay: 479296
packet id 038 delay: 425576
packet id 039 delay: 465288
packet id 040 loss!!!
packet id 041 delay: 1571976
packet id 042 delay: 434408
packet id 043 delay: 447088
packet id 044 delay: 474728
packet id 045 delay: 426048
packet id 046 delay: 471048
packet id 047 delay: 388728
packet id 048 delay: 480576
packet id 049 delay: 435928
packet id 050 delay: 280208
packet id 051 delay: 378928
packet id 052 loss!!!
packet id 053 delay: 360688
packet id 054 delay: 428768
packet id 055 delay: 458688
packet id 056 delay: 936216
packet id 057 delay: 331216
packet id 058 delay: 407048
packet id 059 delay: 404648
packet id 060 delay: 293128
packet id 061 delay: 343856
packet id 062 delay: 397728
packet id 063 delay: 436248
packet id 064 delay: 582768
packet id 065 delay: 333216
packet id 066 delay: 344776
packet id 067 delay: 429968
packet id 068 delay: 300608
packet id 069 delay: 484936
packet id 070 delay: 418568
packet id 071 delay: 478616
packet id 072 delay: 455408
packet id 073 delay: 390248
packet id 074 delay: 332968
packet id 075 delay: 468768
packet id 076 delay: 422328
packet id 077 delay: 455216
packet id 078 delay: 342408
packet id 079 delay: 359592
packet id 080 delay: 441792
packet id 081 delay: 422928
packet id 082 delay: 456048
packet id 083 delay: 547368
packet id 084 delay: 405008
packet id 085 delay: 429536
packet id 086 delay: 411048
packet id 087 delay: 466648
packet id 088 delay: 397408
packet id 089 delay: 362368
packet id 090 delay: 319416
packet id 091 delay: 403688
packet id 092 delay: 435048
packet id 093 delay: 397216
packet id 094 delay: 501048
packet id 095 delay: 465728
packet id 096 delay: 492936
packet id 097 delay: 426248
packet id 098 delay: 464728
packet id 099 delay: 466088
packet id 100 loss!!!
packet id 101 delay: 398608
packet id 102 delay: 517368
packet id 103 delay: 434936
packet id 104 delay: 397728
packet id 105 loss!!!
packet id 106 delay: 698568
packet id 107 delay: 193736
packet id 108 delay: 513728
packet id 109 delay: 527408
packet id 110 delay: 435256
packet id 111 delay: 462816
packet id 112 delay: 565088
packet id 113 delay: 377776
packet id 114 delay: 430728
packet id 115 delay: 459368
packet id 116 delay: 552408
packet id 117 delay: 377616
packet id 118 delay: 433896
packet id 119 delay: 446528
packet id 120 delay: 419048
packet id 121 delay: 431408
packet id 122 delay: 473328
packet id 123 delay: 451408
packet id 124 delay: 452368
packet id 125 delay: 557408
packet id 126 delay: 312568
packet id 127 delay: 418408
packet id 128 delay: 456768
packet id 129 loss!!!
packet id 130 delay: 374008
packet id 131 delay: 492048
packet id 132 delay: 432408
packet id 133 delay: 314608
packet id 134 delay: 506448
packet id 135 delay: 408408
packet id 136 delay: 466088
packet id 137 delay: 343056
packet id 138 delay: 636248
packet id 139 delay: 291368
packet id 140 delay: 405896
packet id 141 delay: 362216
packet id 142 delay: 426536
packet id 143 delay: 532896
packet id 144 delay: 430296
packet id 145 delay: 432256
packet id 146 delay: 503728
packet id 147 loss!!!
packet id 148 delay: 1427456
packet id 149 delay: 469728
packet id 150 delay: 376576
packet id 151 delay: 379048
packet id 152 delay: 461048
packet id 153 delay: 406576
packet id 154 delay: 310968
packet id 155 delay: 333776
packet id 156 delay: 520368
packet id 157 delay: 441816
packet id 158 delay: 603168
packet id 159 delay: 441896
packet id 160 delay: 361248
packet id 161 delay: 423408
packet id 162 delay: 339288
packet id 163 delay: 464688
packet id 164 delay: 384048
packet id 165 delay: 348008
packet id 166 delay: 568088
packet id 167 delay: 475000
packet id 168 delay: 543728
packet id 169 delay: 466496
packet id 170 delay: 313856
packet id 171 delay: 408888
packet id 172 delay: 474616
packet id 173 delay: 414328
packet id 174 delay: 414888
packet id 175 delay: 391408
