packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 loss!!!
packet id 007 loss!!!
packet id 008 loss!!!
packet id 009 delay: 379520
packet id 010 delay: 396200
packet id 011 delay: 295680
packet id 012 delay: 1074560
packet id 013 delay: 374160
packet id 014 delay: 268800
packet id 015 delay: 367800
packet id 016 delay: 407880
packet id 017 loss!!!
packet id 018 delay: 577616
packet id 019 delay: 468840
packet id 020 delay: 354080
packet id 021 delay: 410760
packet id 022 delay: 392520
packet id 023 delay: 483560
packet id 024 delay: 462880
packet id 025 delay: 431840
packet id 026 delay: 367480
packet id 027 delay: 735200
packet id 028 delay: 351040
packet id 029 delay: 421560
packet id 030 delay: 467520
packet id 031 delay: 297360
packet id 032 delay: 388840
packet id 033 delay: 328400
packet id 034 delay: 428840
packet id 035 delay: 472480
packet id 036 delay: 568360
packet id 037 delay: 413520
packet id 038 loss!!!
packet id 039 delay: 363440
packet id 040 delay: 382360
packet id 041 loss!!!
packet id 042 loss!!!
packet id 043 loss!!!
packet id 044 delay: 445840
packet id 045 delay: 327120
packet id 046 delay: 402200
packet id 047 delay: 843080
packet id 048 delay: 447560
packet id 049 delay: 420520
packet id 050 delay: 398520
packet id 051 delay: 284000
packet id 052 delay: 426240
packet id 053 delay: 373480
packet id 054 delay: 271800
packet id 055 delay: 398200
packet id 056 delay: 367480
packet id 057 delay: 1498320
packet id 058 delay: 417560
packet id 059 delay: 409880
packet id 060 delay: 412840
packet id 061 delay: 373360
packet id 062 delay: 473880
packet id 063 delay: 483880
packet id 064 delay: 816080
packet id 065 delay: 288120
packet id 066 delay: 1501720
packet id 067 delay: 410880
packet id 068 delay: 370480
packet id 069 delay: 412520
packet id 070 delay: 584920
packet id 071 delay: 396400
packet id 072 delay: 386720
packet id 073 delay: 411840
packet id 074 delay: 458840
packet id 075 delay: 465560
packet id 076 loss!!!
packet id 077 delay: 438840
packet id 078 delay: 375160
packet id 079 delay: 445160
packet id 080 delay: 479520
packet id 081 delay: 298360
packet id 082 delay: 355040
packet id 083 delay: 434840
packet id 084 delay: 380840
packet id 085 delay: 455520
packet id 086 delay: 689560
packet id 087 delay: 456160
packet id 088 delay: 350360
packet id 089 delay: 485520
packet id 090 delay: 355080
packet id 091 delay: 403840
packet id 092 delay: 219680
packet id 093 delay: 104240
packet id 094 delay: 214280
packet id 095 delay: 226360
packet id 096 delay: 261200
packet id 097 delay: 233680
packet id 098 delay: 158000
packet id 099 loss!!!
packet id 100 delay: 261680
packet id 101 delay: 102880
packet id 102 delay: 243680
packet id 103 delay: 257680
packet id 104 delay: 224680
packet id 105 delay: 213040
packet id 106 delay: 238680
packet id 107 delay: 203680
packet id 108 delay: 218680
packet id 109 delay: 179200
packet id 110 delay: 198680
packet id 111 delay: 192680
packet id 112 delay: 251680
packet id 113 delay: 238360
packet id 114 delay: 204680
packet id 115 delay: 309680
packet id 116 delay: 210680
packet id 117 delay: 165960
packet id 118 delay: 491640
packet id 119 delay: 235040
packet id 120 delay: 233680
packet id 121 delay: 251680
packet id 122 delay: 457640
packet id 123 delay: 211960
packet id 124 delay: 181040
packet id 125 delay: 158000
packet id 126 delay: 230400
packet id 127 delay: 341040
packet id 128 delay: 172880
packet id 129 delay: 178680
packet id 130 loss!!!
packet id 131 delay: 182624
packet id 132 delay: 245680
packet id 133 delay: 142640
packet id 134 delay: 231680
packet id 135 delay: 209040
packet id 136 delay: 254680
packet id 137 delay: 175680
packet id 138 delay: 96560
packet id 139 delay: 130560
packet id 140 delay: 539400
packet id 141 delay: 253680
packet id 142 delay: 174200
packet id 143 delay: 167600
packet id 144 delay: 165680
packet id 145 delay: 266400
packet id 146 delay: 234680
packet id 147 delay: 158000
packet id 148 delay: 265360
packet id 149 delay: 204720
packet id 150 delay: 222680
packet id 151 delay: 165680
packet id 152 delay: 239680
packet id 153 delay: 128880
packet id 154 delay: 542400
packet id 155 delay: 248680
packet id 156 delay: 115880
packet id 157 delay: 186680
packet id 158 delay: 158000
packet id 159 delay: 227680
packet id 160 delay: 169680
packet id 161 delay: 263680
packet id 162 delay: 262040
packet id 163 delay: 230680
packet id 164 delay: 169680
packet id 165 delay: 252680
packet id 166 delay: 234680
packet id 167 delay: 165680
packet id 168 delay: 181680
packet id 169 delay: 161200
packet id 170 delay: 150320
packet id 171 delay: 165680
packet id 172 delay: 158000
packet id 173 delay: 155240
packet id 174 delay: 170680
packet id 175 delay: 237680
packet id 176 delay: 265400
packet id 177 delay: 183680
packet id 178 delay: 93200
packet id 179 delay: 258680
packet id 180 delay: 150320
packet id 181 delay: 210680
packet id 182 loss!!!
packet id 183 delay: 256680
packet id 184 delay: 200680
packet id 185 delay: 165680
