MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 0
MONITORED: % | ON: 2.16% | TX: 0.03% | RX: 0.09% | INT: 0.00% | ONL: 19.87% | TXL: 1.41% | RXL: 4.87% | INTL: 0.72% | Energy: 190411840
MONITORED: % | ON: 0.83% | TX: 0.01% | RX: 0.04% | INT: 0.00% | ONL: 14.50% | TXL: 0.67% | RXL: 2.73% | INTL: 0.40% | Energy: 503797200
MONITORED: % | ON: 0.55% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 12.99% | TXL: 0.53% | RXL: 1.99% | INTL: 0.30% | Energy: 764305280
MONITORED: % | ON: 0.48% | TX: 0.00% | RX: 0.03% | INT: 0.00% | ONL: 12.59% | TXL: 0.50% | RXL: 1.76% | INTL: 0.28% | Energy: 871589440
MONITORED: % | ON: 0.38% | TX: 0.00% | RX: 0.02% | INT: 0.00% | ONL: 12.06% | TXL: 0.46% | RXL: 1.48% | INTL: 0.24% | Energy: 1104537120
MONITORED: % | ON: 0.31% | TX: 0.00% | RX: 0.02% | INT: 0.00% | ONL: 11.73% | TXL: 0.44% | RXL: 1.28% | INTL: 0.22% | Energy: 1344431520
MONITORED: % | ON: 0.28% | TX: 0.00% | RX: 0.02% | INT: 0.00% | ONL: 11.55% | TXL: 0.42% | RXL: 1.19% | INTL: 0.20% | Energy: 1501376720
MONITORED: % | ON: 0.26% | TX: 0.00% | RX: 0.02% | INT: 0.00% | ONL: 11.42% | TXL: 0.42% | RXL: 1.11% | INTL: 0.20% | Energy: 1678714960
MONITORED: % | ON: 0.24% | TX: 0.00% | RX: 0.02% | INT: 0.00% | ONL: 11.26% | TXL: 0.40% | RXL: 1.03% | INTL: 0.19% | Energy: 1912951040
MONITORED: % | ON: 0.23% | TX: 0.00% | RX: 0.02% | INT: 0.00% | ONL: 11.17% | TXL: 0.40% | RXL: 0.98% | INTL: 0.18% | Energy: 2126901440
MONITORED: % | ON: 0.22% | TX: 0.00% | RX: 0.02% | INT: 0.00% | ONL: 11.12% | TXL: 0.39% | RXL: 0.95% | INTL: 0.17% | Energy: 2247171440
MONITORED: % | ON: 0.20% | TX: 0.00% | RX: 0.02% | INT: 0.00% | ONL: 11.09% | TXL: 0.41% | RXL: 0.90% | INTL: 0.17% | Energy: 2495898480
