NODE2	<AVG delay: 111550 us>	<Energy 97.900 %>	<PRR: 99.700 %>	<Collision ratio: 16.900 %>
NODE3	<AVG delay: 117671 us>	<Energy 96.700 %>	<PRR: 98.800 %>	<Collision ratio: 18.600 %>
NODE4	<AVG delay: 129723 us>	<Energy 96.800 %>	<PRR: 99.200 %>	<Collision ratio: 25.800 %>
NODE5	<AVG delay: 129244 us>	<Energy 99.100 %>	<PRR: 99.400 %>	<Collision ratio: 16.100 %>
NODE6	<AVG delay: 315437 us>	<Energy 98.800 %>	<PRR: 96.200 %>	<Collision ratio: 23.500 %>
NODE7	<AVG delay: 90604 us>	<Energy 97.400 %>	<PRR: 98.500 %>	<Collision ratio: 8.300 %>
NODE8	<AVG delay: 128433 us>	<Energy 97.300 %>	<PRR: 99.100 %>	<Collision ratio: 23.600 %>
NODE9	<AVG delay: 129521 us>	<Energy 99.300 %>	<PRR: 98.700 %>	<Collision ratio: 19.900 %>
NODE10	<AVG delay: 148400 us>	<Energy 99.400 %>	<PRR: 99.000 %>	<Collision ratio: 22.900 %>
NODE11	<AVG delay: 134047 us>	<Energy 98.800 %>	<PRR: 98.500 %>	<Collision ratio: 18.600 %>
NODE12	<AVG delay: 275698 us>	<Energy 98.900 %>	<PRR: 8.800 %>	<Collision ratio: 31.000 %>
NODE13	<AVG delay: 134764 us>	<Energy 99.000 %>	<PRR: 99.500 %>	<Collision ratio: 16.200 %>
NODE14	<AVG delay: 137334 us>	<Energy 96.800 %>	<PRR: 99.300 %>	<Collision ratio: 36.800 %>
NODE15	<AVG delay: 133201 us>	<Energy 96.900 %>	<PRR: 99.300 %>	<Collision ratio: 29.800 %>
NODE16	<AVG delay: 155250 us>	<Energy 99.400 %>	<PRR: 99.500 %>	<Collision ratio: 22.100 %>
NODE17	<AVG delay: 136039 us>	<Energy 99.000 %>	<PRR: 99.300 %>	<Collision ratio: 18.100 %>
NODE18	<AVG delay: 414455 us>	<Energy 98.900 %>	<PRR: 6.200 %>	<Collision ratio: 35.200 %>
NODE19	<AVG delay: 133197 us>	<Energy 96.600 %>	<PRR: 99.000 %>	<Collision ratio: 26.000 %>
NODE20	<AVG delay: 143933 us>	<Energy 96.800 %>	<PRR: 99.300 %>	<Collision ratio: 32.600 %>
NODE21	<AVG delay: 148007 us>	<Energy 96.900 %>	<PRR: 99.500 %>	<Collision ratio: 36.000 %>
NODE22	<AVG delay: 138153 us>	<Energy 97.100 %>	<PRR: 99.300 %>	<Collision ratio: 27.500 %>
NODE23	<AVG delay: 295532 us>	<Energy 100.000 %>	<PRR: 91.500 %>	<Collision ratio: 35.400 %>
NODE24	<AVG delay: 360864 us>	<Energy 98.800 %>	<PRR: 98.600 %>	<Collision ratio: 39.000 %>
NODE25	<AVG delay: 112746 us>	<Energy 96.400 %>	<PRR: 99.200 %>	<Collision ratio: 22.200 %>
NODE26	<AVG delay: 130510 us>	<Energy 98.900 %>	<PRR: 99.000 %>	<Collision ratio: 16.200 %>
NODE27	<AVG delay: 136042 us>	<Energy 98.600 %>	<PRR: 99.300 %>	<Collision ratio: 22.500 %>
NODE28	<AVG delay: 142081 us>	<Energy 99.000 %>	<PRR: 99.200 %>	<Collision ratio: 17.400 %>
NODE29	<AVG delay: 331214 us>	<Energy 99.900 %>	<PRR: 98.900 %>	<Collision ratio: 44.800 %>
NODE30	<AVG delay: 350133 us>	<Energy 98.500 %>	<PRR: 98.600 %>	<Collision ratio: 33.100 %>
NODE31	<AVG delay: 117530 us>	<Energy 96.300 %>	<PRR: 97.700 %>	<Collision ratio: 19.500 %>
NODE32	<AVG delay: 376352 us>	<Energy 98.900 %>	<PRR: 3.700 %>	<Collision ratio: 30.500 %>
NODE33	<AVG delay: 371015 us>	<Energy 98.900 %>	<PRR: 25.700 %>	<Collision ratio: 30.900 %>
NODE34	<AVG delay: 358637 us>	<Energy 98.900 %>	<PRR: 5.300 %>	<Collision ratio: 33.600 %>
NODE35	<AVG delay: 327795 us>	<Energy 98.400 %>	<PRR: 98.300 %>	<Collision ratio: 33.300 %>
NODE36	<AVG delay: 339755 us>	<Energy 98.500 %>	<PRR: 96.700 %>	<Collision ratio: 28.300 %>
