NODE2	<AVG delay: 124520 us>	<Energy 72.500 %>	<PRR: 99.400 %>	<Collision ratio: 8.900 %>
NODE3	<AVG delay: 311948 us>	<Energy 100.000 %>	<PRR: 96.800 %>	<Collision ratio: 7.700 %>
NODE4	<AVG delay: 472965 us>	<Energy 81.600 %>	<PRR: 96.200 %>	<Collision ratio: 13.700 %>
NODE5	<AVG delay: 551729 us>	<Energy 74.000 %>	<PRR: 93.000 %>	<Collision ratio: 7.300 %>
NODE6	<AVG delay: 684073 us>	<Energy 71.400 %>	<PRR: 92.700 %>	<Collision ratio: 6.000 %>
NODE7	<AVG delay: 84746 us>	<Energy 72.400 %>	<PRR: 98.900 %>	<Collision ratio: 4.600 %>
NODE8	<AVG delay: 332908 us>	<Energy 80.900 %>	<PRR: 97.500 %>	<Collision ratio: 13.600 %>
NODE9	<AVG delay: 533593 us>	<Energy 79.200 %>	<PRR: 96.000 %>	<Collision ratio: 22.500 %>
NODE10	<AVG delay: 565532 us>	<Energy 66.900 %>	<PRR: 95.000 %>	<Collision ratio: 23.900 %>
NODE11	<AVG delay: 638331 us>	<Energy 64.400 %>	<PRR: 93.700 %>	<Collision ratio: 23.800 %>
NODE12	<AVG delay: 736284 us>	<Energy 69.100 %>	<PRR: 92.900 %>	<Collision ratio: 6.200 %>
NODE13	<AVG delay: 264492 us>	<Energy 83.300 %>	<PRR: 98.100 %>	<Collision ratio: 6.600 %>
NODE14	<AVG delay: 498771 us>	<Energy 78.600 %>	<PRR: 96.300 %>	<Collision ratio: 17.900 %>
NODE15	<AVG delay: 645902 us>	<Energy 76.800 %>	<PRR: 94.200 %>	<Collision ratio: 15.600 %>
NODE16	<AVG delay: 745071 us>	<Energy 69.200 %>	<PRR: 93.400 %>	<Collision ratio: 12.000 %>
NODE17	<AVG delay: 814080 us>	<Energy 66.800 %>	<PRR: 91.100 %>	<Collision ratio: 7.800 %>
NODE18	<AVG delay: 885732 us>	<Energy 66.700 %>	<PRR: 91.100 %>	<Collision ratio: 8.300 %>
NODE19	<AVG delay: 416699 us>	<Energy 81.000 %>	<PRR: 96.500 %>	<Collision ratio: 8.800 %>
NODE20	<AVG delay: 587068 us>	<Energy 76.400 %>	<PRR: 94.900 %>	<Collision ratio: 15.400 %>
NODE21	<AVG delay: 738986 us>	<Energy 66.900 %>	<PRR: 92.300 %>	<Collision ratio: 24.400 %>
NODE22	<AVG delay: 778188 us>	<Energy 64.500 %>	<PRR: 90.300 %>	<Collision ratio: 21.000 %>
NODE23	<AVG delay: 925595 us>	<Energy 64.400 %>	<PRR: 91.300 %>	<Collision ratio: 14.900 %>
NODE24	<AVG delay: 1002037 us>	<Energy 64.300 %>	<PRR: 95.500 %>	<Collision ratio: 8.600 %>
NODE25	<AVG delay: 544433 us>	<Energy 78.900 %>	<PRR: 96.000 %>	<Collision ratio: 9.800 %>
NODE26	<AVG delay: 758027 us>	<Energy 74.100 %>	<PRR: 95.900 %>	<Collision ratio: 15.100 %>
NODE27	<AVG delay: 842217 us>	<Energy 71.700 %>	<PRR: 93.300 %>	<Collision ratio: 12.200 %>
NODE28	<AVG delay: 936002 us>	<Energy 69.200 %>	<PRR: 91.100 %>	<Collision ratio: 10.400 %>
NODE29	<AVG delay: 1068547 us>	<Energy 66.800 %>	<PRR: 90.600 %>	<Collision ratio: 10.100 %>
NODE30	<AVG delay: 1148831 us>	<Energy 64.300 %>	<PRR: 90.300 %>	<Collision ratio: 7.500 %>
NODE31	<AVG delay: 629257 us>	<Energy 76.300 %>	<PRR: 93.600 %>	<Collision ratio: 7.000 %>
NODE32	<AVG delay: 766802 us>	<Energy 74.000 %>	<PRR: 95.800 %>	<Collision ratio: 9.100 %>
NODE33	<AVG delay: 901657 us>	<Energy 71.600 %>	<PRR: 93.600 %>	<Collision ratio: 8.000 %>
NODE34	<AVG delay: 996712 us>	<Energy 69.200 %>	<PRR: 94.200 %>	<Collision ratio: 7.700 %>
NODE35	<AVG delay: 1129374 us>	<Energy 66.700 %>	<PRR: 95.000 %>	<Collision ratio: 5.700 %>
NODE36	<AVG delay: 1172371 us>	<Energy 64.200 %>	<PRR: 94.300 %>	<Collision ratio: 4.300 %>
