MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 0
MONITORED: % | ON: 61.46% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 65.16% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 12320000
MONITORED: % | ON: 2.09% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 24.72% | TXL: 0.72% | RXL: 8.39% | INTL: 3.00% | Energy: 317118560
MONITORED: % | ON: 0.91% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 15.71% | TXL: 0.33% | RXL: 3.90% | INTL: 1.06% | Energy: 717042000
MONITORED: % | ON: 0.60% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 13.68% | TXL: 0.25% | RXL: 2.69% | INTL: 0.74% | Energy: 976375920
MONITORED: % | ON: 0.52% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 13.14% | TXL: 0.23% | RXL: 2.37% | INTL: 0.66% | Energy: 1089803200
MONITORED: % | ON: 0.39% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 12.25% | TXL: 0.17% | RXL: 1.88% | INTL: 0.52% | Energy: 1441636400
MONITORED: % | ON: 0.34% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 11.95% | TXL: 0.17% | RXL: 1.68% | INTL: 0.48% | Energy: 1610020320
MONITORED: % | ON: 0.30% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 11.68% | TXL: 0.16% | RXL: 1.52% | INTL: 0.44% | Energy: 1809386640
MONITORED: % | ON: 0.27% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 11.44% | TXL: 0.15% | RXL: 1.38% | INTL: 0.40% | Energy: 2158209760
