packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 delay: 1358392
packet id 006 delay: 606600
packet id 007 delay: 659080
packet id 008 delay: 485680
packet id 009 delay: 486720
packet id 010 delay: 692440
packet id 011 delay: 496624
packet id 012 delay: 502760
packet id 013 delay: 544880
packet id 014 delay: 568960
packet id 015 delay: 511400
packet id 016 delay: 490760
packet id 017 delay: 411360
packet id 018 delay: 488800
packet id 019 delay: 506120
packet id 020 delay: 571280
packet id 021 delay: 637320
packet id 022 delay: 460720
packet id 023 delay: 554240
packet id 024 delay: 599320
packet id 025 delay: 781360
packet id 026 delay: 535920
packet id 027 delay: 561440
packet id 028 delay: 560080
packet id 029 delay: 601920
packet id 030 delay: 617560
packet id 031 delay: 620680
packet id 032 delay: 410080
packet id 033 delay: 778080
packet id 034 delay: 526520
packet id 035 delay: 568240
packet id 036 delay: 707400
packet id 037 delay: 524040
packet id 038 delay: 521520
packet id 039 delay: 732800
packet id 040 delay: 551520
packet id 041 delay: 516840
packet id 042 delay: 661000
packet id 043 delay: 588000
packet id 044 delay: 539720
packet id 045 delay: 455720
packet id 046 delay: 530560
packet id 047 delay: 483760
packet id 048 delay: 452040
packet id 049 delay: 475440
packet id 050 delay: 456280
packet id 051 delay: 557480
packet id 052 delay: 442040
packet id 053 delay: 485120
packet id 054 delay: 744440
packet id 055 delay: 588840
packet id 056 delay: 451600
packet id 057 delay: 561920
packet id 058 delay: 589544
packet id 059 delay: 514584
packet id 060 delay: 584704
packet id 061 delay: 1247104
packet id 062 delay: 451864
packet id 063 delay: 409784
packet id 064 delay: 2137144
packet id 065 delay: 481384
packet id 066 delay: 431784
packet id 067 delay: 483584
packet id 068 delay: 473824
packet id 069 delay: 865160
packet id 070 delay: 471144
packet id 071 delay: 500864
packet id 072 delay: 575304
packet id 073 delay: 468264
packet id 074 delay: 540504
packet id 075 delay: 456424
packet id 076 delay: 385664
packet id 077 delay: 508744
packet id 078 delay: 407784
packet id 079 delay: 2876928
packet id 080 delay: 557544
packet id 081 delay: 441504
packet id 082 delay: 655624
packet id 083 delay: 491464
packet id 084 delay: 595544
packet id 085 delay: 450464
packet id 086 delay: 798504
packet id 087 delay: 462064
packet id 088 delay: 474784
packet id 089 delay: 360864
packet id 090 delay: 531664
packet id 091 delay: 639024
packet id 092 delay: 570064
packet id 093 loss!!!
packet id 094 delay: 592264
packet id 095 delay: 634344
packet id 096 delay: 371824
packet id 097 delay: 491104
packet id 098 delay: 613224
packet id 099 delay: 592704
packet id 100 delay: 433744
packet id 101 delay: 601504
packet id 102 delay: 492224
packet id 103 delay: 610904
packet id 104 delay: 761784
packet id 105 delay: 648704
packet id 106 delay: 403504
packet id 107 delay: 468224
packet id 108 delay: 648384
packet id 109 delay: 349464
packet id 110 delay: 493464
packet id 111 delay: 480904
packet id 112 delay: 532664
packet id 113 delay: 273664
packet id 114 delay: 1549584
packet id 115 delay: 494824
packet id 116 delay: 511504
packet id 117 delay: 648384
packet id 118 delay: 584384
