packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 loss!!!
packet id 007 loss!!!
packet id 008 delay: 609280
packet id 009 delay: 494760
packet id 010 delay: 529360
packet id 011 delay: 1304600
packet id 012 delay: 539720
packet id 013 delay: 806720
packet id 014 delay: 591000
packet id 015 delay: 2336720
packet id 016 delay: 509640
packet id 017 delay: 730040
packet id 018 delay: 822760
packet id 019 delay: 490640
packet id 020 delay: 566000
packet id 021 delay: 925840
packet id 022 delay: 572600
packet id 023 delay: 531920
packet id 024 delay: 427320
packet id 025 delay: 463920
packet id 026 delay: 550400
packet id 027 delay: 908520
packet id 028 delay: 536720
packet id 029 delay: 529040
packet id 030 delay: 717360
packet id 031 delay: 658960
packet id 032 delay: 669480
packet id 033 delay: 591720
packet id 034 delay: 462240
packet id 035 delay: 524000
packet id 036 delay: 507160
packet id 037 delay: 529120
packet id 038 delay: 676640
packet id 039 delay: 1512120
packet id 040 delay: 739032
packet id 041 delay: 965040
packet id 042 delay: 643560
packet id 043 delay: 512000
packet id 044 delay: 455960
packet id 045 delay: 514680
packet id 046 delay: 647400
packet id 047 delay: 1314280
packet id 048 delay: 688760
packet id 049 delay: 735960
packet id 050 delay: 739320
packet id 051 delay: 787920
packet id 052 delay: 588120
packet id 053 delay: 614080
packet id 054 delay: 691520
packet id 055 delay: 750600
packet id 056 delay: 633160
packet id 057 delay: 764000
packet id 058 delay: 577480
packet id 059 delay: 939600
packet id 060 delay: 669240
packet id 061 delay: 637240
packet id 062 delay: 600080
packet id 063 delay: 608880
packet id 064 delay: 915440
packet id 065 delay: 878640
packet id 066 delay: 656560
packet id 067 delay: 828440
packet id 068 delay: 569080
packet id 069 delay: 610560
packet id 070 delay: 736720
packet id 071 delay: 1161840
packet id 072 delay: 710240
packet id 073 delay: 633840
packet id 074 delay: 486080
packet id 075 delay: 581760
packet id 076 delay: 631200
packet id 077 delay: 740720
packet id 078 delay: 476840
packet id 079 delay: 534080
packet id 080 delay: 649240
packet id 081 delay: 487080
packet id 082 delay: 535720
packet id 083 delay: 700920
packet id 084 delay: 634720
packet id 085 delay: 673200
packet id 086 delay: 735720
packet id 087 delay: 669280
packet id 088 delay: 616040
packet id 089 delay: 560760
packet id 090 delay: 646320
packet id 091 loss!!!
packet id 092 delay: 765600
packet id 093 delay: 667560
packet id 094 delay: 573920
packet id 095 delay: 593000
packet id 096 delay: 662840
packet id 097 delay: 768120
packet id 098 delay: 556280
packet id 099 delay: 743680
packet id 100 delay: 3870880
packet id 101 delay: 513000
packet id 102 delay: 665768
packet id 103 delay: 688240
packet id 104 delay: 660320
packet id 105 delay: 584040
packet id 106 delay: 518680
packet id 107 delay: 553320
packet id 108 delay: 545080
packet id 109 delay: 469920
packet id 110 delay: 598080
packet id 111 delay: 548720
packet id 112 delay: 500040
packet id 113 delay: 692920
packet id 114 delay: 690720
packet id 115 delay: 557608
packet id 116 delay: 1776960
packet id 117 delay: 803440
packet id 118 delay: 651920
packet id 119 delay: 583240
packet id 120 delay: 484280
packet id 121 delay: 525640
packet id 122 delay: 562080
packet id 123 delay: 481880
packet id 124 delay: 694240
packet id 125 delay: 768720
packet id 126 delay: 1374720
packet id 127 delay: 649920
packet id 128 delay: 484120
packet id 129 delay: 655440
packet id 130 delay: 776360
packet id 131 delay: 627760
packet id 132 delay: 492040
packet id 133 delay: 582760
packet id 134 delay: 548240
packet id 135 delay: 669240
packet id 136 loss!!!
packet id 137 delay: 630440
packet id 138 delay: 543200
packet id 139 delay: 717280
packet id 140 delay: 630200
packet id 141 delay: 719640
packet id 142 delay: 462040
packet id 143 delay: 705080
packet id 144 delay: 568400
packet id 145 delay: 593040
packet id 146 delay: 474760
packet id 147 delay: 627160
packet id 148 delay: 681960
packet id 149 delay: 494600
packet id 150 delay: 505120
packet id 151 delay: 575440
packet id 152 delay: 473560
packet id 153 delay: 480600
packet id 154 delay: 528720
packet id 155 delay: 652240
packet id 156 delay: 524520
packet id 157 delay: 583840
packet id 158 delay: 613480
packet id 159 delay: 593760
packet id 160 delay: 631720
packet id 161 delay: 615360
packet id 162 delay: 491760
packet id 163 delay: 618000
packet id 164 delay: 581040
packet id 165 delay: 672000
packet id 166 delay: 644280
packet id 167 delay: 612600
packet id 168 delay: 580240
packet id 169 delay: 474720
packet id 170 delay: 646120
packet id 171 delay: 712600
packet id 172 delay: 750760
packet id 173 delay: 615800
packet id 174 delay: 655080
packet id 175 delay: 537840
packet id 176 loss!!!
packet id 177 delay: 482560
packet id 178 delay: 810360
packet id 179 delay: 647680
packet id 180 delay: 520360
packet id 181 delay: 616920
packet id 182 delay: 676000
packet id 183 delay: 621080
packet id 184 delay: 612360
packet id 185 delay: 390560
packet id 186 delay: 582800
packet id 187 delay: 641080
packet id 188 delay: 613280
packet id 189 delay: 1074840
packet id 190 delay: 2254552
packet id 191 delay: 785640
packet id 192 delay: 467600
packet id 193 delay: 539840
packet id 194 delay: 647200
packet id 195 delay: 829480
packet id 196 delay: 568440
packet id 197 delay: 588560
packet id 198 delay: 476560
packet id 199 delay: 845320
packet id 200 delay: 514680
packet id 201 delay: 524680
packet id 202 delay: 646480
packet id 203 delay: 601840
packet id 204 delay: 528280
packet id 205 delay: 559720
packet id 206 delay: 633560
packet id 207 delay: 596760
packet id 208 delay: 615920
packet id 209 delay: 590760
packet id 210 delay: 726080
packet id 211 delay: 554920
packet id 212 delay: 680200
