MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: 4.45% | TX: 0.02% | RX: 0.05% | INT: 0.00% | ONL: 31.84% | TXL: 0.95% | RXL: 11.27% | INTL: 3.58% | Energy: 171173200
MONITORED: % | ON: 1.40% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 18.06% | TXL: 0.31% | RXL: 5.16% | INTL: 0.97% | Energy: 580727440
MONITORED: % | ON: 0.65% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 13.54% | TXL: 0.20% | RXL: 2.53% | INTL: 0.44% | Energy: 1060259520
MONITORED: % | ON: 0.47% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 12.44% | TXL: 0.16% | RXL: 1.88% | INTL: 0.32% | Energy: 1429583920
MONITORED: % | ON: 0.34% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 11.67% | TXL: 0.13% | RXL: 1.41% | INTL: 0.24% | Energy: 1898682720
MONITORED: % | ON: 0.28% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 11.33% | TXL: 0.11% | RXL: 1.20% | INTL: 0.20% | Energy: 2321306400
MONITORED: % | ON: 0.24% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 11.09% | TXL: 0.11% | RXL: 1.06% | INTL: 0.18% | Energy: 2676279680
MONITORED: % | ON: 0.21% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.92% | TXL: 0.10% | RXL: 0.95% | INTL: 0.17% | Energy: 3091112640
MONITORED: % | ON: 0.19% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.80% | TXL: 0.10% | RXL: 0.88% | INTL: 0.16% | Energy: 3526714640
MONITORED: % | ON: 0.17% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.71% | TXL: 0.09% | RXL: 0.83% | INTL: 0.15% | Energy: 3918391120
MONITORED: % | ON: 0.16% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.62% | TXL: 0.09% | RXL: 0.77% | INTL: 0.14% | Energy: 4344150240
MONITORED: % | ON: 0.14% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.53% | TXL: 0.09% | RXL: 0.71% | INTL: 0.13% | Energy: 4785693280
MONITORED: % | ON: 0.13% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.49% | TXL: 0.09% | RXL: 0.68% | INTL: 0.13% | Energy: 5181389600
MONITORED: % | ON: 0.12% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.43% | TXL: 0.08% | RXL: 0.64% | INTL: 0.13% | Energy: 5583394960
MONITORED: % | ON: 0.12% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.38% | TXL: 0.08% | RXL: 0.61% | INTL: 0.12% | Energy: 5988423760
MONITORED: % | ON: 0.11% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.35% | TXL: 0.08% | RXL: 0.59% | INTL: 0.12% | Energy: 6384175360
MONITORED: % | ON: 0.10% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.32% | TXL: 0.08% | RXL: 0.57% | INTL: 0.11% | Energy: 6797100240
MONITORED: % | ON: 0.10% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.30% | TXL: 0.08% | RXL: 0.56% | INTL: 0.11% | Energy: 7166140560
