packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 loss!!!
packet id 007 delay: 188720
packet id 008 delay: 119600
packet id 009 delay: 243040
packet id 010 delay: 183680
packet id 011 delay: 197680
packet id 012 delay: 222680
packet id 013 delay: 862840
packet id 014 delay: 142640
packet id 015 delay: 229680
packet id 016 delay: 302240
packet id 017 delay: 158560
packet id 018 delay: 225680
packet id 019 delay: 230680
packet id 020 delay: 212680
packet id 021 delay: 237680
packet id 022 delay: 196720
packet id 023 delay: 217680
packet id 024 delay: 270080
packet id 025 delay: 171680
packet id 026 delay: 213680
packet id 027 delay: 165680
packet id 028 delay: 217080
packet id 029 delay: 142640
packet id 030 delay: 118200
packet id 031 delay: 239720
packet id 032 delay: 142640
packet id 033 delay: 150320
packet id 034 delay: 176680
packet id 035 delay: 158000
packet id 036 delay: 178680
packet id 037 delay: 255680
packet id 038 delay: 254400
packet id 039 delay: 158000
packet id 040 delay: 468240
packet id 041 delay: 266360
packet id 042 delay: 240680
packet id 043 delay: 175280
packet id 044 delay: 237200
packet id 045 delay: 204680
packet id 046 delay: 142640
packet id 047 delay: 150320
packet id 048 delay: 212680
packet id 049 delay: 650680
packet id 050 delay: 174680
packet id 051 delay: 187680
packet id 052 delay: 150320
packet id 053 delay: 229680
packet id 054 delay: 101200
packet id 055 delay: 183680
packet id 056 delay: 190240
packet id 057 delay: 221680
packet id 058 delay: 234680
packet id 059 delay: 166680
packet id 060 delay: 896320
packet id 061 delay: 234680
packet id 062 delay: 465720
packet id 063 delay: 183680
packet id 064 delay: 252680
packet id 065 delay: 188720
packet id 066 delay: 219680
packet id 067 delay: 194680
packet id 068 delay: 226680
packet id 069 delay: 250680
packet id 070 delay: 255680
packet id 071 delay: 209680
packet id 072 delay: 281720
packet id 073 delay: 227680
packet id 074 delay: 175680
packet id 075 delay: 201680
packet id 076 delay: 186680
packet id 077 delay: 210680
packet id 078 delay: 239040
packet id 079 delay: 256680
packet id 080 delay: 143880
packet id 081 delay: 185680
packet id 082 delay: 248680
packet id 083 delay: 205400
packet id 084 delay: 259680
packet id 085 delay: 294400
packet id 086 delay: 199240
packet id 087 delay: 262400
packet id 088 delay: 167680
packet id 089 delay: 207680
