packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 delay: 29336
packet id 004 delay: 28592
packet id 005 delay: 47592
packet id 006 delay: 28592
packet id 007 delay: 121552
packet id 008 delay: 27776
packet id 009 delay: 65656
packet id 010 delay: 65592
packet id 011 delay: 28592
packet id 012 delay: 36040
packet id 013 delay: 1100112
packet id 014 delay: 77592
packet id 015 delay: 56592
packet id 016 delay: 118592
packet id 017 delay: 110592
packet id 018 delay: 49856
packet id 019 delay: 72592
packet id 020 delay: 262312
packet id 021 delay: 41592
packet id 022 delay: 28592
packet id 023 delay: 43336
packet id 024 delay: 97552
packet id 025 delay: 43592
packet id 026 delay: 28592
packet id 027 delay: 355864
packet id 028 delay: 97696
packet id 029 delay: 57592
packet id 030 delay: 85272
packet id 031 delay: 71336
packet id 032 delay: 496592
packet id 033 delay: 55592
packet id 034 delay: 98336
packet id 035 delay: 28592
packet id 036 delay: 90592
packet id 037 delay: 38592
packet id 038 delay: 47336
packet id 039 delay: 28592
packet id 040 delay: 58592
packet id 041 delay: 75336
packet id 042 delay: 101592
packet id 043 delay: 120832
packet id 044 delay: 264472
packet id 045 delay: 68336
packet id 046 delay: 49592
packet id 047 delay: 45592
packet id 048 delay: 71336
packet id 049 delay: 41336
packet id 050 delay: 101912
packet id 051 delay: 225632
packet id 052 delay: 28592
packet id 053 delay: 28336
packet id 054 delay: 122336
packet id 055 delay: 28592
packet id 056 delay: 201112
packet id 057 delay: 94592
packet id 058 delay: 62112
packet id 059 delay: 110592
packet id 060 delay: 79336
packet id 061 delay: 28592
packet id 062 delay: 35592
packet id 063 delay: 102592
packet id 064 delay: 28336
packet id 065 delay: 94336
packet id 066 delay: 86336
packet id 067 delay: 76336
packet id 068 delay: 48592
packet id 069 delay: 119592
packet id 070 delay: 28592
packet id 071 delay: 115992
packet id 072 delay: 442952
packet id 073 delay: 30592
packet id 074 delay: 111376
packet id 075 delay: 1169600
packet id 076 delay: 174160
packet id 077 delay: 41592
packet id 078 delay: 28592
packet id 079 delay: 28592
packet id 080 loss!!!
packet id 081 delay: 1972288
packet id 082 delay: 4193600
packet id 083 delay: 2796568
packet id 084 delay: 82832
packet id 085 delay: 876856
packet id 086 delay: 121320
packet id 087 delay: 2071096
packet id 088 delay: 5353712
packet id 089 delay: 101672
packet id 090 delay: 2531696
packet id 091 delay: 901032
packet id 092 delay: 516504
packet id 093 delay: 232112
packet id 094 delay: 3804448
packet id 095 delay: 77592
packet id 096 delay: 106592
packet id 097 delay: 684984
packet id 098 delay: 248792
packet id 099 delay: 3052704
packet id 100 delay: 353944
packet id 101 delay: 1168672
packet id 102 delay: 32592
packet id 103 delay: 28592
packet id 104 delay: 116592
packet id 105 delay: 74184
packet id 106 delay: 2812480
packet id 107 delay: 2288104
packet id 108 delay: 5595560
packet id 109 delay: 1368624
packet id 110 delay: 1293536
packet id 111 delay: 572792
packet id 112 delay: 244744
packet id 113 delay: 54592
packet id 114 delay: 114384
packet id 115 delay: 7880904
packet id 116 delay: 6222952
packet id 117 delay: 4401112
packet id 118 delay: 7991248
packet id 119 delay: 2678464
packet id 120 delay: 3876360
packet id 121 delay: 1738000
packet id 122 delay: 87912
packet id 123 delay: 2324312
packet id 124 delay: 1044944
packet id 125 delay: 39592
packet id 126 delay: 331232
packet id 127 delay: 5340904
packet id 128 delay: 3281944
packet id 129 delay: 2154312
packet id 130 loss!!!
packet id 131 delay: 84552
packet id 132 delay: 1634144
packet id 133 loss!!!
packet id 134 delay: 50592
packet id 135 delay: 233392
packet id 136 delay: 113592
packet id 137 delay: 91592
packet id 138 delay: 920904
packet id 139 delay: 5500224
packet id 140 delay: 2865496
packet id 141 delay: 9231760
packet id 142 delay: 28592
packet id 143 delay: 2116568
packet id 144 delay: 12965360
packet id 145 delay: 1901296
packet id 146 delay: 1089104
packet id 147 delay: 47592
packet id 148 loss!!!
packet id 149 delay: 339448
packet id 150 delay: 2424840
packet id 151 loss!!!
packet id 152 delay: 5980208
packet id 153 loss!!!
packet id 154 delay: 85792
packet id 155 loss!!!
packet id 156 delay: 60592
packet id 157 loss!!!
packet id 158 delay: 6413896
packet id 159 delay: 3182096
packet id 160 loss!!!
packet id 161 delay: 8423944
packet id 162 delay: 261632
packet id 163 delay: 3595688
packet id 164 delay: 1716072
packet id 165 delay: 28592
packet id 166 delay: 94592
packet id 167 delay: 15305440
packet id 168 delay: 3496512
packet id 169 delay: 60592
packet id 170 delay: 231704
packet id 171 delay: 5011912
packet id 172 delay: 182408
