MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 0
MONITORED: % | ON: 26.47% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 33.53% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 3060000
MONITORED: % | ON: 15.25% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 23.39% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 3420000
MONITORED: % | ON: 2.42% | TX: 0.02% | RX: 0.05% | INT: 0.00% | ONL: 45.56% | TXL: 0.58% | RXL: 17.56% | INTL: 1.78% | Energy: 231532720
MONITORED: % | ON: 1.83% | TX: 0.01% | RX: 0.04% | INT: 0.00% | ONL: 37.19% | TXL: 0.29% | RXL: 14.01% | INTL: 1.03% | Energy: 548628480
MONITORED: % | ON: 1.49% | TX: 0.00% | RX: 0.03% | INT: 0.00% | ONL: 31.93% | TXL: 0.19% | RXL: 11.26% | INTL: 0.84% | Energy: 883483040
MONITORED: % | ON: 1.31% | TX: 0.00% | RX: 0.02% | INT: 0.00% | ONL: 30.17% | TXL: 0.16% | RXL: 10.26% | INTL: 0.79% | Energy: 1172463840
MONITORED: % | ON: 1.21% | TX: 0.00% | RX: 0.02% | INT: 0.00% | ONL: 28.25% | TXL: 0.14% | RXL: 9.43% | INTL: 0.71% | Energy: 1401856320
MONITORED: % | ON: 1.13% | TX: 0.00% | RX: 0.02% | INT: 0.00% | ONL: 26.93% | TXL: 0.13% | RXL: 8.84% | INTL: 0.64% | Energy: 1611471920
MONITORED: % | ON: 1.09% | TX: 0.00% | RX: 0.02% | INT: 0.00% | ONL: 26.40% | TXL: 0.12% | RXL: 8.56% | INTL: 0.63% | Energy: 1845862160
MONITORED: % | ON: 1.01% | TX: 0.00% | RX: 0.02% | INT: 0.00% | ONL: 25.54% | TXL: 0.11% | RXL: 8.07% | INTL: 0.59% | Energy: 2087951120
MONITORED: % | ON: 0.93% | TX: 0.00% | RX: 0.02% | INT: 0.00% | ONL: 24.11% | TXL: 0.11% | RXL: 7.40% | INTL: 0.55% | Energy: 2295393680
MONITORED: % | ON: 0.81% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 22.22% | TXL: 0.10% | RXL: 6.48% | INTL: 0.51% | Energy: 2461782720
MONITORED: % | ON: 0.71% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 20.65% | TXL: 0.10% | RXL: 5.71% | INTL: 0.47% | Energy: 2626085840
MONITORED: % | ON: 0.64% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 19.46% | TXL: 0.10% | RXL: 5.13% | INTL: 0.43% | Energy: 2778441760
MONITORED: % | ON: 0.57% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 18.48% | TXL: 0.09% | RXL: 4.66% | INTL: 0.41% | Energy: 2929508000
MONITORED: % | ON: 0.52% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 17.74% | TXL: 0.10% | RXL: 4.29% | INTL: 0.38% | Energy: 3083654080
MONITORED: % | ON: 0.51% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 17.54% | TXL: 0.10% | RXL: 4.20% | INTL: 0.38% | Energy: 3140669040
MONITORED: % | ON: 0.50% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 17.32% | TXL: 0.10% | RXL: 4.09% | INTL: 0.37% | Energy: 3189628880
MONITORED: % | ON: 0.48% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 17.11% | TXL: 0.09% | RXL: 3.99% | INTL: 0.37% | Energy: 3239432480
MONITORED: % | ON: 0.47% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 16.91% | TXL: 0.09% | RXL: 3.89% | INTL: 0.36% | Energy: 3288868560
MONITORED: % | ON: 0.46% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 16.74% | TXL: 0.09% | RXL: 3.80% | INTL: 0.36% | Energy: 3335088480
MONITORED: % | ON: 0.45% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 16.54% | TXL: 0.09% | RXL: 3.71% | INTL: 0.35% | Energy: 3388351600
MONITORED: % | ON: 0.44% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 16.38% | TXL: 0.09% | RXL: 3.63% | INTL: 0.35% | Energy: 3436300560
MONITORED: % | ON: 0.43% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 16.23% | TXL: 0.09% | RXL: 3.56% | INTL: 0.34% | Energy: 3481887600
