MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: 86.97% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 88.22% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 16800000
MONITORED: % | ON: 3.59% | TX: 0.04% | RX: 0.07% | INT: 0.00% | ONL: 51.28% | TXL: 2.09% | RXL: 18.13% | INTL: 2.96% | Energy: 268954160
MONITORED: % | ON: 2.18% | TX: 0.03% | RX: 0.06% | INT: 0.00% | ONL: 43.83% | TXL: 1.56% | RXL: 15.46% | INTL: 2.51% | Energy: 655366000
MONITORED: % | ON: 1.68% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 38.73% | TXL: 1.70% | RXL: 13.10% | INTL: 1.74% | Energy: 1087886240
MONITORED: % | ON: 1.54% | TX: 0.04% | RX: 0.04% | INT: 0.00% | ONL: 37.76% | TXL: 1.78% | RXL: 12.69% | INTL: 1.54% | Energy: 1493389600
MONITORED: % | ON: 1.41% | TX: 0.04% | RX: 0.04% | INT: 0.00% | ONL: 35.82% | TXL: 1.84% | RXL: 11.91% | INTL: 1.37% | Energy: 1811651840
MONITORED: % | ON: 1.40% | TX: 0.04% | RX: 0.04% | INT: 0.00% | ONL: 34.86% | TXL: 1.84% | RXL: 11.76% | INTL: 1.23% | Energy: 2129756720
MONITORED: % | ON: 1.40% | TX: 0.04% | RX: 0.04% | INT: 0.00% | ONL: 34.71% | TXL: 1.86% | RXL: 11.68% | INTL: 1.16% | Energy: 2482594560
MONITORED: % | ON: 1.48% | TX: 0.04% | RX: 0.04% | INT: 0.00% | ONL: 34.21% | TXL: 1.91% | RXL: 11.46% | INTL: 1.11% | Energy: 2875273360
MONITORED: % | ON: 1.41% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 32.75% | TXL: 1.83% | RXL: 10.88% | INTL: 1.00% | Energy: 3208273360
MONITORED: % | ON: 1.23% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 29.87% | TXL: 1.63% | RXL: 9.56% | INTL: 0.89% | Energy: 3404780160
MONITORED: % | ON: 1.08% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 27.53% | TXL: 1.49% | RXL: 8.47% | INTL: 0.80% | Energy: 3601756960
MONITORED: % | ON: 0.97% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 25.69% | TXL: 1.36% | RXL: 7.62% | INTL: 0.73% | Energy: 3770316080
MONITORED: % | ON: 0.87% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 24.17% | TXL: 1.27% | RXL: 6.90% | INTL: 0.68% | Energy: 3937439600
MONITORED: % | ON: 0.80% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 23.01% | TXL: 1.19% | RXL: 6.37% | INTL: 0.63% | Energy: 4109497920
MONITORED: % | ON: 0.82% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 23.17% | TXL: 1.17% | RXL: 6.47% | INTL: 0.62% | Energy: 4262845760
MONITORED: % | ON: 0.84% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 23.28% | TXL: 1.15% | RXL: 6.54% | INTL: 0.61% | Energy: 4406593840
MONITORED: % | ON: 0.85% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 23.55% | TXL: 1.14% | RXL: 6.65% | INTL: 0.60% | Energy: 4587050000
MONITORED: % | ON: 0.87% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 23.70% | TXL: 1.13% | RXL: 6.73% | INTL: 0.59% | Energy: 4742752080
MONITORED: % | ON: 0.88% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 23.81% | TXL: 1.11% | RXL: 6.80% | INTL: 0.59% | Energy: 4883275520
MONITORED: % | ON: 0.90% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 23.89% | TXL: 1.09% | RXL: 6.85% | INTL: 0.58% | Energy: 5037251600
MONITORED: % | ON: 0.91% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 24.01% | TXL: 1.08% | RXL: 6.93% | INTL: 0.57% | Energy: 5189101520
MONITORED: % | ON: 0.92% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 24.13% | TXL: 1.09% | RXL: 7.00% | INTL: 0.57% | Energy: 5336432720
MONITORED: % | ON: 0.94% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 24.19% | TXL: 1.07% | RXL: 7.07% | INTL: 0.56% | Energy: 5472763120
MONITORED: % | ON: 0.95% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 24.26% | TXL: 1.07% | RXL: 7.12% | INTL: 0.55% | Energy: 5630143920
MONITORED: % | ON: 0.96% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 24.39% | TXL: 1.07% | RXL: 7.18% | INTL: 0.56% | Energy: 5762278560
MONITORED: % | ON: 0.98% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 24.89% | TXL: 1.09% | RXL: 7.40% | INTL: 0.60% | Energy: 5965769680
MONITORED: % | ON: 1.00% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 25.13% | TXL: 1.09% | RXL: 7.53% | INTL: 0.61% | Energy: 6074293680
