MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: 4.16% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 42.53% | TXL: 2.00% | RXL: 12.89% | INTL: 4.94% | Energy: 149802960
MONITORED: % | ON: 1.36% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 29.43% | TXL: 1.57% | RXL: 8.58% | INTL: 3.98% | Energy: 368040160
MONITORED: % | ON: 1.58% | TX: 0.01% | RX: 0.06% | INT: 0.00% | ONL: 27.37% | TXL: 2.17% | RXL: 7.63% | INTL: 3.25% | Energy: 599190400
MONITORED: % | ON: 1.18% | TX: 0.01% | RX: 0.05% | INT: 0.00% | ONL: 24.64% | TXL: 1.94% | RXL: 6.79% | INTL: 2.97% | Energy: 765611760
MONITORED: % | ON: 1.27% | TX: 0.01% | RX: 0.06% | INT: 0.00% | ONL: 25.24% | TXL: 2.16% | RXL: 6.87% | INTL: 3.15% | Energy: 1019169760
MONITORED: % | ON: 1.10% | TX: 0.01% | RX: 0.05% | INT: 0.00% | ONL: 25.23% | TXL: 2.22% | RXL: 6.84% | INTL: 3.18% | Energy: 1240508960
MONITORED: % | ON: 0.98% | TX: 0.01% | RX: 0.04% | INT: 0.00% | ONL: 24.32% | TXL: 2.10% | RXL: 6.62% | INTL: 3.09% | Energy: 1407157920
MONITORED: % | ON: 0.88% | TX: 0.01% | RX: 0.04% | INT: 0.00% | ONL: 23.41% | TXL: 1.95% | RXL: 6.33% | INTL: 2.93% | Energy: 1544766560
MONITORED: % | ON: 0.81% | TX: 0.01% | RX: 0.04% | INT: 0.00% | ONL: 22.30% | TXL: 1.81% | RXL: 5.93% | INTL: 2.74% | Energy: 1646580640
MONITORED: % | ON: 0.73% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 21.26% | TXL: 1.71% | RXL: 5.52% | INTL: 2.57% | Energy: 1743883360
MONITORED: % | ON: 0.67% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 20.68% | TXL: 1.61% | RXL: 5.32% | INTL: 2.46% | Energy: 1864923120
MONITORED: % | ON: 0.64% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 20.31% | TXL: 1.57% | RXL: 5.19% | INTL: 2.38% | Energy: 1998302240
MONITORED: % | ON: 0.60% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 19.73% | TXL: 1.50% | RXL: 4.96% | INTL: 2.27% | Energy: 2099951200
MONITORED: % | ON: 0.58% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 19.48% | TXL: 1.47% | RXL: 4.86% | INTL: 2.23% | Energy: 2150224720
MONITORED: % | ON: 0.54% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 18.98% | TXL: 1.42% | RXL: 4.67% | INTL: 2.14% | Energy: 2244313120
MONITORED: % | ON: 0.51% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 18.61% | TXL: 1.37% | RXL: 4.54% | INTL: 2.08% | Energy: 2340320480
MONITORED: % | ON: 0.49% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 18.28% | TXL: 1.31% | RXL: 4.42% | INTL: 2.01% | Energy: 2440078000
MONITORED: % | ON: 0.53% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 18.07% | TXL: 1.30% | RXL: 4.34% | INTL: 1.95% | Energy: 2545017520
MONITORED: % | ON: 1.02% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 17.18% | TXL: 1.26% | RXL: 4.11% | INTL: 1.85% | Energy: 2631639600
MONITORED: % | ON: 1.41% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 16.45% | TXL: 1.24% | RXL: 3.93% | INTL: 1.76% | Energy: 2710788800
MONITORED: % | ON: 1.81% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 15.69% | TXL: 1.20% | RXL: 3.74% | INTL: 1.68% | Energy: 2791822240
MONITORED: % | ON: 2.17% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 15.01% | TXL: 1.17% | RXL: 3.56% | INTL: 1.60% | Energy: 2876144960
MONITORED: % | ON: 2.51% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 14.38% | TXL: 1.14% | RXL: 3.41% | INTL: 1.53% | Energy: 2961742160
MONITORED: % | ON: 2.80% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 13.87% | TXL: 1.14% | RXL: 3.27% | INTL: 1.47% | Energy: 3059437360
MONITORED: % | ON: 3.10% | TX: 0.00% | RX: 0.02% | INT: 0.00% | ONL: 13.36% | TXL: 1.13% | RXL: 3.13% | INTL: 1.40% | Energy: 3160244880
MONITORED: % | ON: 3.35% | TX: 0.00% | RX: 0.02% | INT: 0.00% | ONL: 12.88% | TXL: 1.11% | RXL: 3.01% | INTL: 1.35% | Energy: 3250731280
MONITORED: % | ON: 3.58% | TX: 0.00% | RX: 0.02% | INT: 0.00% | ONL: 12.45% | TXL: 1.09% | RXL: 2.91% | INTL: 1.31% | Energy: 3334461600
MONITORED: % | ON: 3.70% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 12.24% | TXL: 1.08% | RXL: 2.85% | INTL: 1.28% | Energy: 3385845680
MONITORED: % | ON: 3.91% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 11.85% | TXL: 1.08% | RXL: 2.75% | INTL: 1.23% | Energy: 3480485520
