MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 0
MONITORED: % | ON: 42.46% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 47.99% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 7860000
MONITORED: % | ON: 2.68% | TX: 0.03% | RX: 0.06% | INT: 0.00% | ONL: 22.81% | TXL: 2.00% | RXL: 6.46% | INTL: 0.76% | Energy: 83225760
MONITORED: % | ON: 1.03% | TX: 0.03% | RX: 0.05% | INT: 0.00% | ONL: 22.14% | TXL: 2.35% | RXL: 5.04% | INTL: 0.74% | Energy: 283775360
MONITORED: % | ON: 0.78% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 21.09% | TXL: 2.30% | RXL: 4.80% | INTL: 0.64% | Energy: 459224160
MONITORED: % | ON: 0.64% | TX: 0.04% | RX: 0.04% | INT: 0.00% | ONL: 20.38% | TXL: 2.33% | RXL: 4.46% | INTL: 0.62% | Energy: 633973040
MONITORED: % | ON: 0.57% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 19.86% | TXL: 2.19% | RXL: 4.33% | INTL: 0.65% | Energy: 795117680
MONITORED: % | ON: 0.55% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 19.94% | TXL: 2.06% | RXL: 4.54% | INTL: 0.65% | Energy: 973180240
MONITORED: % | ON: 0.64% | TX: 0.03% | RX: 0.05% | INT: 0.00% | ONL: 20.02% | TXL: 2.23% | RXL: 4.51% | INTL: 0.64% | Energy: 1162829760
MONITORED: % | ON: 0.63% | TX: 0.03% | RX: 0.05% | INT: 0.00% | ONL: 20.13% | TXL: 2.49% | RXL: 4.35% | INTL: 0.62% | Energy: 1345329120
MONITORED: % | ON: 0.61% | TX: 0.02% | RX: 0.06% | INT: 0.00% | ONL: 19.93% | TXL: 2.48% | RXL: 4.22% | INTL: 0.60% | Energy: 1493743200
MONITORED: % | ON: 0.57% | TX: 0.02% | RX: 0.05% | INT: 0.00% | ONL: 19.25% | TXL: 2.30% | RXL: 4.03% | INTL: 0.57% | Energy: 1600560240
MONITORED: % | ON: 0.56% | TX: 0.02% | RX: 0.05% | INT: 0.00% | ONL: 18.92% | TXL: 2.25% | RXL: 3.89% | INTL: 0.56% | Energy: 1733739280
MONITORED: % | ON: 0.59% | TX: 0.02% | RX: 0.05% | INT: 0.00% | ONL: 18.71% | TXL: 2.25% | RXL: 3.75% | INTL: 0.55% | Energy: 1877863120
MONITORED: % | ON: 0.60% | TX: 0.02% | RX: 0.05% | INT: 0.00% | ONL: 18.39% | TXL: 2.22% | RXL: 3.61% | INTL: 0.55% | Energy: 2002017600
MONITORED: % | ON: 0.58% | TX: 0.02% | RX: 0.05% | INT: 0.00% | ONL: 18.11% | TXL: 2.14% | RXL: 3.53% | INTL: 0.54% | Energy: 2043284160
MONITORED: % | ON: 0.58% | TX: 0.03% | RX: 0.05% | INT: 0.00% | ONL: 17.75% | TXL: 2.08% | RXL: 3.40% | INTL: 0.52% | Energy: 2149410720
MONITORED: % | ON: 0.58% | TX: 0.03% | RX: 0.05% | INT: 0.00% | ONL: 17.66% | TXL: 2.10% | RXL: 3.33% | INTL: 0.51% | Energy: 2279249360
MONITORED: % | ON: 0.56% | TX: 0.03% | RX: 0.05% | INT: 0.00% | ONL: 17.37% | TXL: 2.03% | RXL: 3.25% | INTL: 0.50% | Energy: 2379700400
MONITORED: % | ON: 0.54% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 17.17% | TXL: 1.99% | RXL: 3.17% | INTL: 0.49% | Energy: 2472138960
MONITORED: % | ON: 0.51% | TX: 0.04% | RX: 0.04% | INT: 0.00% | ONL: 16.95% | TXL: 1.97% | RXL: 3.08% | INTL: 0.48% | Energy: 2577928880
MONITORED: % | ON: 0.50% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 16.86% | TXL: 1.96% | RXL: 3.04% | INTL: 0.47% | Energy: 2689002320
MONITORED: % | ON: 0.48% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 16.75% | TXL: 1.94% | RXL: 2.99% | INTL: 0.47% | Energy: 2806614240
MONITORED: % | ON: 0.46% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 16.60% | TXL: 1.93% | RXL: 2.92% | INTL: 0.46% | Energy: 2916212000
MONITORED: % | ON: 0.44% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 16.47% | TXL: 1.91% | RXL: 2.86% | INTL: 0.46% | Energy: 3030709120
MONITORED: % | ON: 0.42% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 16.29% | TXL: 1.88% | RXL: 2.81% | INTL: 0.46% | Energy: 3133166080
MONITORED: % | ON: 0.40% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 16.15% | TXL: 1.86% | RXL: 2.76% | INTL: 0.45% | Energy: 3246947040
MONITORED: % | ON: 0.39% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 16.04% | TXL: 1.84% | RXL: 2.72% | INTL: 0.45% | Energy: 3359772000
MONITORED: % | ON: 0.37% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 15.90% | TXL: 1.82% | RXL: 2.67% | INTL: 0.44% | Energy: 3456225520
MONITORED: % | ON: 0.37% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 15.83% | TXL: 1.80% | RXL: 2.65% | INTL: 0.44% | Energy: 3512708400
MONITORED: % | ON: 0.35% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 16.05% | TXL: 1.95% | RXL: 2.63% | INTL: 0.45% | Energy: 3708847440
MONITORED: % | ON: 0.34% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 16.28% | TXL: 2.10% | RXL: 2.62% | INTL: 0.47% | Energy: 3911554320
MONITORED: % | ON: 0.33% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 16.55% | TXL: 2.27% | RXL: 2.61% | INTL: 0.48% | Energy: 4135351840
