NODE2	<AVG delay: 304172 us>	<Energy 35.300 %>	<PRR: 97.900 %>	<Collision ratio: 12.900 %>
NODE3	<AVG delay: 1015560 us>	<Energy 30.400 %>		<Collision ratio: 133.700 %>
NODE4	<AVG delay: 1471105 us>	<Energy 70.900 %>		<Collision ratio: 355.700 %>
NODE5	<AVG delay: 9523318 us>	<Energy 56.400 %>		<Collision ratio: 686.900 %>
NODE6	<AVG delay: 3172500 us>	<Energy 38.100 %>		<Collision ratio: 901.000 %>
NODE7	<AVG delay: 122408 us>	<Energy 32.200 %>		<Collision ratio: 12.200 %>
NODE8	<AVG delay: 447000 us>	<Energy 25.600 %>		<Collision ratio: 94.900 %>
NODE9	<AVG delay: 1774876 us>	<Energy 38.400 %>		<Collision ratio: 249.900 %>
NODE10	<AVG delay: 5672015 us>	<Energy 38.800 %>		<Collision ratio: 659.200 %>
NODE11	<AVG delay: 1524254 us>	<Energy 29.700 %>		<Collision ratio: 251.400 %>
NODE12	<AVG delay: 10802674 us>	<Energy 29.800 %>		<Collision ratio: 192.300 %>
NODE13	<AVG delay: 441790 us>	<Energy 26.100 %>		<Collision ratio: 117.500 %>
NODE14	<AVG delay: 1762434 us>	<Energy 43.100 %>		<Collision ratio: 227.100 %>
NODE15	<AVG delay: 2591254 us>	<Energy 35.100 %>		<Collision ratio: 432.200 %>
NODE16	<AVG delay: 3888623 us>	<Energy 27.900 %>		<Collision ratio: 161.900 %>
NODE17	<AVG delay: 3397095 us>	<Energy 36.400 %>		<Collision ratio: 378.200 %>
NODE18	<AVG delay: 14069231 us>	<Energy 77.700 %>		<Collision ratio: 1024.100 %>
NODE19	<AVG delay: 1104336 us>	<Energy 31.200 %>		<Collision ratio: 208.700 %>
NODE20	<AVG delay: 4613939 us>	<Energy 44.500 %>		<Collision ratio: 590.500 %>
NODE21	<AVG delay: 3406878 us>	<Energy 30.800 %>		<Collision ratio: 397.100 %>
NODE22	<AVG delay: 5295687 us>	<Energy 35.400 %>		<Collision ratio: 573.100 %>
NODE23	<AVG delay: 6710365 us>	<Energy 35.700 %>		<Collision ratio: 410.000 %>
NODE24	<AVG delay: 16535760 us>	<Energy 33.000 %>		<Collision ratio: 260.600 %>
NODE25	<AVG delay: 2758399 us>	<Energy 100.000 %>		<Collision ratio: 314.100 %>
NODE26	<AVG delay: 2487772 us>	<Energy 31.100 %>		<Collision ratio: 273.500 %>
NODE27	<AVG delay: 3602932 us>	<Energy 33.100 %>		<Collision ratio: 366.100 %>
NODE28	<AVG delay: 14012542 us>	<Energy 51.100 %>		<Collision ratio: 1132.500 %>
NODE29	<AVG delay: 17860431 us>	<Energy 32.900 %>		<Collision ratio: 354.300 %>
NODE30	<AVG delay: 18726543 us>	<Energy 60.300 %>		<Collision ratio: 846.400 %>
NODE31	<AVG delay: 3645638 us>	<Energy 29.200 %>		<Collision ratio: 140.000 %>
NODE32	<AVG delay: 3540455 us>	<Energy 29.400 %>		<Collision ratio: 197.200 %>
NODE33	<AVG delay: 4396286 us>	<Energy 30.500 %>		<Collision ratio: 235.000 %>
NODE34	<AVG delay: 17595590 us>	<Energy 31.900 %>		<Collision ratio: 240.000 %>
NODE35	<AVG delay: 13684026 us>	<Energy 30.400 %>		<Collision ratio: 207.500 %>
NODE36	<AVG delay: 13818999 us>	<Energy 30.500 %>		<Collision ratio: 150.800 %>
