MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 0
MONITORED: % | ON: 2.82% | TX: 0.06% | RX: 0.06% | INT: 0.00% | ONL: 35.11% | TXL: 2.72% | RXL: 9.97% | INTL: 2.46% | Energy: 179553600
MONITORED: % | ON: 2.16% | TX: 0.04% | RX: 0.10% | INT: 0.00% | ONL: 34.20% | TXL: 3.64% | RXL: 9.74% | INTL: 1.91% | Energy: 554422000
MONITORED: % | ON: 1.59% | TX: 0.04% | RX: 0.08% | INT: 0.00% | ONL: 33.53% | TXL: 4.12% | RXL: 9.11% | INTL: 1.70% | Energy: 878284240
MONITORED: % | ON: 1.64% | TX: 0.04% | RX: 0.07% | INT: 0.00% | ONL: 30.96% | TXL: 4.25% | RXL: 7.92% | INTL: 1.37% | Energy: 1124767600
MONITORED: % | ON: 1.90% | TX: 0.04% | RX: 0.07% | INT: 0.00% | ONL: 31.26% | TXL: 4.70% | RXL: 7.64% | INTL: 1.34% | Energy: 1445208000
MONITORED: % | ON: 1.65% | TX: 0.04% | RX: 0.07% | INT: 0.00% | ONL: 30.90% | TXL: 4.73% | RXL: 7.45% | INTL: 1.29% | Energy: 1733113360
MONITORED: % | ON: 1.48% | TX: 0.04% | RX: 0.06% | INT: 0.00% | ONL: 30.85% | TXL: 4.89% | RXL: 7.40% | INTL: 1.27% | Energy: 2016166400
MONITORED: % | ON: 1.34% | TX: 0.04% | RX: 0.05% | INT: 0.00% | ONL: 30.31% | TXL: 4.88% | RXL: 7.11% | INTL: 1.23% | Energy: 2251444400
MONITORED: % | ON: 1.21% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 29.67% | TXL: 4.86% | RXL: 6.80% | INTL: 1.20% | Energy: 2471515040
MONITORED: % | ON: 1.10% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 28.68% | TXL: 4.76% | RXL: 6.40% | INTL: 1.13% | Energy: 2647904320
MONITORED: % | ON: 1.00% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 27.90% | TXL: 4.71% | RXL: 6.07% | INTL: 1.06% | Energy: 2824091920
MONITORED: % | ON: 0.93% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 27.30% | TXL: 4.66% | RXL: 5.81% | INTL: 1.01% | Energy: 3001254480
MONITORED: % | ON: 0.89% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 27.06% | TXL: 4.69% | RXL: 5.68% | INTL: 0.99% | Energy: 3101066000
MONITORED: % | ON: 0.83% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 26.62% | TXL: 4.69% | RXL: 5.47% | INTL: 0.95% | Energy: 3279498160
MONITORED: % | ON: 0.78% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 26.20% | TXL: 4.68% | RXL: 5.26% | INTL: 0.93% | Energy: 3454570000
MONITORED: % | ON: 0.76% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 25.95% | TXL: 4.64% | RXL: 5.20% | INTL: 0.91% | Energy: 3644702080
MONITORED: % | ON: 0.85% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 25.99% | TXL: 4.70% | RXL: 5.19% | INTL: 0.92% | Energy: 3891886400
MONITORED: % | ON: 0.84% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 25.65% | TXL: 4.68% | RXL: 5.05% | INTL: 0.89% | Energy: 4064468080
MONITORED: % | ON: 0.83% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 25.38% | TXL: 4.66% | RXL: 4.91% | INTL: 0.86% | Energy: 4240382160
MONITORED: % | ON: 0.83% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 25.02% | TXL: 4.62% | RXL: 4.78% | INTL: 0.84% | Energy: 4403600480
MONITORED: % | ON: 0.84% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 24.89% | TXL: 4.61% | RXL: 4.72% | INTL: 0.83% | Energy: 4603429440
MONITORED: % | ON: 0.85% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 24.73% | TXL: 4.62% | RXL: 4.64% | INTL: 0.82% | Energy: 4791991440
MONITORED: % | ON: 0.84% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 24.60% | TXL: 4.65% | RXL: 4.55% | INTL: 0.80% | Energy: 4977921600
MONITORED: % | ON: 0.83% | TX: 0.01% | RX: 0.05% | INT: 0.00% | ONL: 24.48% | TXL: 4.67% | RXL: 4.47% | INTL: 0.79% | Energy: 5172603040
MONITORED: % | ON: 0.81% | TX: 0.01% | RX: 0.05% | INT: 0.00% | ONL: 24.36% | TXL: 4.69% | RXL: 4.39% | INTL: 0.77% | Energy: 5354187280
MONITORED: % | ON: 0.80% | TX: 0.01% | RX: 0.05% | INT: 0.00% | ONL: 24.22% | TXL: 4.67% | RXL: 4.34% | INTL: 0.77% | Energy: 5506519360
MONITORED: % | ON: 0.81% | TX: 0.01% | RX: 0.05% | INT: 0.00% | ONL: 24.13% | TXL: 4.68% | RXL: 4.29% | INTL: 0.76% | Energy: 5623590880
MONITORED: % | ON: 0.81% | TX: 0.01% | RX: 0.05% | INT: 0.00% | ONL: 24.00% | TXL: 4.68% | RXL: 4.23% | INTL: 0.75% | Energy: 5799817280
MONITORED: % | ON: 0.79% | TX: 0.01% | RX: 0.05% | INT: 0.00% | ONL: 23.83% | TXL: 4.67% | RXL: 4.15% | INTL: 0.74% | Energy: 5961319440
MONITORED: % | ON: 0.80% | TX: 0.01% | RX: 0.05% | INT: 0.00% | ONL: 23.70% | TXL: 4.65% | RXL: 4.09% | INTL: 0.73% | Energy: 6143611040
MONITORED: % | ON: 0.80% | TX: 0.01% | RX: 0.05% | INT: 0.00% | ONL: 23.67% | TXL: 4.65% | RXL: 4.07% | INTL: 0.72% | Energy: 6351212720
MONITORED: % | ON: 0.80% | TX: 0.01% | RX: 0.05% | INT: 0.00% | ONL: 23.77% | TXL: 4.65% | RXL: 4.11% | INTL: 0.71% | Energy: 6590558960
MONITORED: % | ON: 0.80% | TX: 0.01% | RX: 0.05% | INT: 0.00% | ONL: 23.68% | TXL: 4.63% | RXL: 4.08% | INTL: 0.70% | Energy: 6765411760
MONITORED: % | ON: 0.80% | TX: 0.01% | RX: 0.05% | INT: 0.00% | ONL: 23.53% | TXL: 4.62% | RXL: 4.02% | INTL: 0.69% | Energy: 6930488240
MONITORED: % | ON: 0.80% | TX: 0.01% | RX: 0.05% | INT: 0.00% | ONL: 23.47% | TXL: 4.63% | RXL: 3.97% | INTL: 0.69% | Energy: 7118432800
MONITORED: % | ON: 0.82% | TX: 0.01% | RX: 0.05% | INT: 0.00% | ONL: 23.37% | TXL: 4.61% | RXL: 3.93% | INTL: 0.68% | Energy: 7292050800
MONITORED: % | ON: 0.82% | TX: 0.01% | RX: 0.05% | INT: 0.00% | ONL: 23.26% | TXL: 4.59% | RXL: 3.90% | INTL: 0.68% | Energy: 7466419920
MONITORED: % | ON: 0.82% | TX: 0.01% | RX: 0.05% | INT: 0.00% | ONL: 23.15% | TXL: 4.58% | RXL: 3.85% | INTL: 0.67% | Energy: 7632464080
MONITORED: % | ON: 0.81% | TX: 0.01% | RX: 0.05% | INT: 0.00% | ONL: 23.02% | TXL: 4.57% | RXL: 3.79% | INTL: 0.66% | Energy: 7788335600
MONITORED: % | ON: 0.80% | TX: 0.01% | RX: 0.06% | INT: 0.00% | ONL: 22.96% | TXL: 4.56% | RXL: 3.76% | INTL: 0.66% | Energy: 7870507680
MONITORED: % | ON: 0.80% | TX: 0.01% | RX: 0.06% | INT: 0.00% | ONL: 22.83% | TXL: 4.55% | RXL: 3.71% | INTL: 0.65% | Energy: 8019811440
MONITORED: % | ON: 0.79% | TX: 0.01% | RX: 0.06% | INT: 0.00% | ONL: 22.70% | TXL: 4.53% | RXL: 3.66% | INTL: 0.65% | Energy: 8172660000
MONITORED: % | ON: 0.79% | TX: 0.01% | RX: 0.06% | INT: 0.00% | ONL: 22.65% | TXL: 4.54% | RXL: 3.62% | INTL: 0.64% | Energy: 8354904640
MONITORED: % | ON: 0.78% | TX: 0.01% | RX: 0.06% | INT: 0.00% | ONL: 22.55% | TXL: 4.53% | RXL: 3.58% | INTL: 0.64% | Energy: 8515532400
MONITORED: % | ON: 0.78% | TX: 0.01% | RX: 0.06% | INT: 0.00% | ONL: 22.49% | TXL: 4.53% | RXL: 3.54% | INTL: 0.63% | Energy: 8688221520
MONITORED: % | ON: 0.77% | TX: 0.01% | RX: 0.06% | INT: 0.00% | ONL: 22.43% | TXL: 4.53% | RXL: 3.50% | INTL: 0.63% | Energy: 8857370240
MONITORED: % | ON: 0.77% | TX: 0.01% | RX: 0.06% | INT: 0.00% | ONL: 22.37% | TXL: 4.53% | RXL: 3.47% | INTL: 0.62% | Energy: 9028151120
MONITORED: % | ON: 0.78% | TX: 0.01% | RX: 0.06% | INT: 0.00% | ONL: 22.32% | TXL: 4.54% | RXL: 3.44% | INTL: 0.61% | Energy: 9210147840
MONITORED: % | ON: 0.77% | TX: 0.01% | RX: 0.06% | INT: 0.00% | ONL: 22.23% | TXL: 4.52% | RXL: 3.40% | INTL: 0.61% | Energy: 9365692000
MONITORED: % | ON: 0.77% | TX: 0.01% | RX: 0.06% | INT: 0.00% | ONL: 22.21% | TXL: 4.53% | RXL: 3.38% | INTL: 0.60% | Energy: 9544902960
MONITORED: % | ON: 0.82% | TX: 0.01% | RX: 0.06% | INT: 0.00% | ONL: 22.36% | TXL: 4.58% | RXL: 3.42% | INTL: 0.62% | Energy: 9848858800
MONITORED: % | ON: 0.84% | TX: 0.01% | RX: 0.06% | INT: 0.00% | ONL: 22.35% | TXL: 4.60% | RXL: 3.41% | INTL: 0.62% | Energy: 10049651360
MONITORED: % | ON: 0.86% | TX: 0.01% | RX: 0.07% | INT: 0.00% | ONL: 22.29% | TXL: 4.60% | RXL: 3.39% | INTL: 0.61% | Energy: 10213214480
