MONITORED: % | ON: 74.38% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 74.38% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 6560000
MONITORED: % | ON: 39.61% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 45.41% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 7040000
MONITORED: % | ON: 1.32% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 24.93% | TXL: 1.99% | RXL: 5.25% | INTL: 0.35% | Energy: 124516800
MONITORED: % | ON: 1.22% | TX: 0.06% | RX: 0.07% | INT: 0.00% | ONL: 25.34% | TXL: 3.02% | RXL: 5.79% | INTL: 0.39% | Energy: 407656640
MONITORED: % | ON: 1.42% | TX: 0.05% | RX: 0.08% | INT: 0.00% | ONL: 24.86% | TXL: 3.50% | RXL: 5.62% | INTL: 0.42% | Energy: 662294880
MONITORED: % | ON: 1.21% | TX: 0.04% | RX: 0.07% | INT: 0.00% | ONL: 22.94% | TXL: 2.93% | RXL: 5.25% | INTL: 0.40% | Energy: 829514960
MONITORED: % | ON: 1.11% | TX: 0.04% | RX: 0.07% | INT: 0.00% | ONL: 22.51% | TXL: 2.87% | RXL: 5.08% | INTL: 0.41% | Energy: 1019771440
MONITORED: % | ON: 1.25% | TX: 0.05% | RX: 0.07% | INT: 0.00% | ONL: 22.70% | TXL: 2.97% | RXL: 5.14% | INTL: 0.41% | Energy: 1262322080
MONITORED: % | ON: 1.33% | TX: 0.04% | RX: 0.08% | INT: 0.00% | ONL: 22.58% | TXL: 3.14% | RXL: 4.94% | INTL: 0.41% | Energy: 1476876000
MONITORED: % | ON: 1.33% | TX: 0.04% | RX: 0.07% | INT: 0.00% | ONL: 22.18% | TXL: 3.23% | RXL: 4.68% | INTL: 0.40% | Energy: 1659445040
MONITORED: % | ON: 1.31% | TX: 0.04% | RX: 0.07% | INT: 0.00% | ONL: 21.51% | TXL: 3.16% | RXL: 4.38% | INTL: 0.38% | Energy: 1810748000
MONITORED: % | ON: 1.21% | TX: 0.03% | RX: 0.07% | INT: 0.00% | ONL: 20.89% | TXL: 3.12% | RXL: 4.06% | INTL: 0.36% | Energy: 1948327440
MONITORED: % | ON: 1.15% | TX: 0.03% | RX: 0.07% | INT: 0.00% | ONL: 20.45% | TXL: 3.08% | RXL: 3.80% | INTL: 0.35% | Energy: 2089801760
MONITORED: % | ON: 1.12% | TX: 0.03% | RX: 0.07% | INT: 0.00% | ONL: 20.02% | TXL: 3.03% | RXL: 3.59% | INTL: 0.34% | Energy: 2224961200
MONITORED: % | ON: 1.08% | TX: 0.03% | RX: 0.07% | INT: 0.00% | ONL: 19.87% | TXL: 3.04% | RXL: 3.49% | INTL: 0.33% | Energy: 2301066320
MONITORED: % | ON: 1.04% | TX: 0.02% | RX: 0.07% | INT: 0.00% | ONL: 19.60% | TXL: 3.04% | RXL: 3.35% | INTL: 0.32% | Energy: 2439606080
MONITORED: % | ON: 1.00% | TX: 0.02% | RX: 0.07% | INT: 0.00% | ONL: 19.29% | TXL: 3.01% | RXL: 3.20% | INTL: 0.31% | Energy: 2568127920
MONITORED: % | ON: 0.98% | TX: 0.02% | RX: 0.07% | INT: 0.00% | ONL: 19.13% | TXL: 2.97% | RXL: 3.15% | INTL: 0.30% | Energy: 2710883360
MONITORED: % | ON: 0.96% | TX: 0.02% | RX: 0.07% | INT: 0.00% | ONL: 19.05% | TXL: 2.93% | RXL: 3.17% | INTL: 0.31% | Energy: 2863517520
MONITORED: % | ON: 0.93% | TX: 0.02% | RX: 0.07% | INT: 0.00% | ONL: 18.74% | TXL: 2.85% | RXL: 3.07% | INTL: 0.30% | Energy: 2973332000
MONITORED: % | ON: 0.92% | TX: 0.02% | RX: 0.07% | INT: 0.00% | ONL: 18.50% | TXL: 2.80% | RXL: 2.97% | INTL: 0.29% | Energy: 3092872240
MONITORED: % | ON: 0.90% | TX: 0.02% | RX: 0.07% | INT: 0.00% | ONL: 18.21% | TXL: 2.73% | RXL: 2.88% | INTL: 0.29% | Energy: 3201682160
MONITORED: % | ON: 0.89% | TX: 0.02% | RX: 0.07% | INT: 0.00% | ONL: 17.98% | TXL: 2.68% | RXL: 2.80% | INTL: 0.28% | Energy: 3319474320
MONITORED: % | ON: 0.86% | TX: 0.02% | RX: 0.06% | INT: 0.00% | ONL: 17.78% | TXL: 2.64% | RXL: 2.73% | INTL: 0.28% | Energy: 3429535120
MONITORED: % | ON: 0.84% | TX: 0.02% | RX: 0.06% | INT: 0.00% | ONL: 17.62% | TXL: 2.60% | RXL: 2.66% | INTL: 0.28% | Energy: 3543251200
MONITORED: % | ON: 0.83% | TX: 0.02% | RX: 0.06% | INT: 0.00% | ONL: 17.44% | TXL: 2.56% | RXL: 2.61% | INTL: 0.28% | Energy: 3656176960
MONITORED: % | ON: 0.81% | TX: 0.02% | RX: 0.06% | INT: 0.00% | ONL: 17.22% | TXL: 2.50% | RXL: 2.55% | INTL: 0.27% | Energy: 3751373600
MONITORED: % | ON: 0.80% | TX: 0.02% | RX: 0.06% | INT: 0.00% | ONL: 17.07% | TXL: 2.46% | RXL: 2.50% | INTL: 0.28% | Energy: 3845652000
MONITORED: % | ON: 0.79% | TX: 0.02% | RX: 0.06% | INT: 0.00% | ONL: 16.99% | TXL: 2.45% | RXL: 2.48% | INTL: 0.28% | Energy: 3916599920
MONITORED: % | ON: 0.77% | TX: 0.01% | RX: 0.06% | INT: 0.00% | ONL: 16.86% | TXL: 2.42% | RXL: 2.43% | INTL: 0.27% | Energy: 4025164000
