MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 7500000
MONITORED: % | ON: 42.86% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 48.34% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 7980000
MONITORED: % | ON: 1.53% | TX: 0.04% | RX: 0.05% | INT: 0.00% | ONL: 24.80% | TXL: 2.72% | RXL: 5.90% | INTL: 0.25% | Energy: 127709840
MONITORED: % | ON: 1.08% | TX: 0.08% | RX: 0.06% | INT: 0.00% | ONL: 25.51% | TXL: 3.45% | RXL: 5.82% | INTL: 0.29% | Energy: 411563840
MONITORED: % | ON: 0.86% | TX: 0.07% | RX: 0.05% | INT: 0.00% | ONL: 25.39% | TXL: 3.73% | RXL: 5.58% | INTL: 0.39% | Energy: 678810640
MONITORED: % | ON: 0.75% | TX: 0.06% | RX: 0.04% | INT: 0.00% | ONL: 23.95% | TXL: 3.38% | RXL: 5.23% | INTL: 0.38% | Energy: 891451440
MONITORED: % | ON: 0.63% | TX: 0.05% | RX: 0.03% | INT: 0.00% | ONL: 21.73% | TXL: 2.82% | RXL: 4.56% | INTL: 0.34% | Energy: 1024972800
MONITORED: % | ON: 0.56% | TX: 0.04% | RX: 0.03% | INT: 0.00% | ONL: 20.94% | TXL: 2.67% | RXL: 4.21% | INTL: 0.32% | Energy: 1187288320
MONITORED: % | ON: 0.52% | TX: 0.04% | RX: 0.03% | INT: 0.00% | ONL: 20.35% | TXL: 2.56% | RXL: 3.97% | INTL: 0.30% | Energy: 1336766320
MONITORED: % | ON: 0.47% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 19.69% | TXL: 2.43% | RXL: 3.75% | INTL: 0.29% | Energy: 1462645360
MONITORED: % | ON: 0.47% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 19.65% | TXL: 2.34% | RXL: 3.82% | INTL: 0.31% | Energy: 1627408560
MONITORED: % | ON: 0.45% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 19.87% | TXL: 2.45% | RXL: 3.86% | INTL: 0.30% | Energy: 1815717040
MONITORED: % | ON: 0.43% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 19.64% | TXL: 2.48% | RXL: 3.71% | INTL: 0.30% | Energy: 1966187680
MONITORED: % | ON: 0.40% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 19.32% | TXL: 2.44% | RXL: 3.57% | INTL: 0.29% | Energy: 2094692880
MONITORED: % | ON: 0.39% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 19.09% | TXL: 2.40% | RXL: 3.49% | INTL: 0.29% | Energy: 2151121600
MONITORED: % | ON: 0.36% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 18.82% | TXL: 2.40% | RXL: 3.37% | INTL: 0.30% | Energy: 2271982400
MONITORED: % | ON: 0.34% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 18.59% | TXL: 2.40% | RXL: 3.26% | INTL: 0.30% | Energy: 2381487120
MONITORED: % | ON: 0.33% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 18.36% | TXL: 2.37% | RXL: 3.18% | INTL: 0.30% | Energy: 2498070800
MONITORED: % | ON: 0.32% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 18.21% | TXL: 2.35% | RXL: 3.13% | INTL: 0.29% | Energy: 2610629680
MONITORED: % | ON: 0.31% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 18.02% | TXL: 2.34% | RXL: 3.04% | INTL: 0.29% | Energy: 2725948000
MONITORED: % | ON: 0.30% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 17.89% | TXL: 2.33% | RXL: 2.99% | INTL: 0.29% | Energy: 2837122560
MONITORED: % | ON: 0.29% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 17.74% | TXL: 2.33% | RXL: 2.93% | INTL: 0.30% | Energy: 2956123040
MONITORED: % | ON: 0.27% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 17.66% | TXL: 2.33% | RXL: 2.88% | INTL: 0.30% | Energy: 3083525600
MONITORED: % | ON: 0.26% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 17.53% | TXL: 2.33% | RXL: 2.83% | INTL: 0.30% | Energy: 3206782960
MONITORED: % | ON: 0.25% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 17.35% | TXL: 2.30% | RXL: 2.76% | INTL: 0.30% | Energy: 3312260240
MONITORED: % | ON: 0.24% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 17.24% | TXL: 2.29% | RXL: 2.71% | INTL: 0.30% | Energy: 3438601600
MONITORED: % | ON: 0.23% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 17.14% | TXL: 2.29% | RXL: 2.66% | INTL: 0.30% | Energy: 3557377920
MONITORED: % | ON: 0.23% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 17.01% | TXL: 2.28% | RXL: 2.61% | INTL: 0.30% | Energy: 3670215520
MONITORED: % | ON: 0.22% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.96% | TXL: 2.27% | RXL: 2.59% | INTL: 0.30% | Energy: 3732888560
MONITORED: % | ON: 0.21% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.85% | TXL: 2.26% | RXL: 2.54% | INTL: 0.30% | Energy: 3847479120
MONITORED: % | ON: 0.21% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.78% | TXL: 2.26% | RXL: 2.50% | INTL: 0.30% | Energy: 3967883040
MONITORED: % | ON: 0.20% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.69% | TXL: 2.26% | RXL: 2.47% | INTL: 0.30% | Energy: 4085158000
MONITORED: % | ON: 0.19% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.61% | TXL: 2.26% | RXL: 2.43% | INTL: 0.30% | Energy: 4203430640
MONITORED: % | ON: 0.19% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.54% | TXL: 2.25% | RXL: 2.40% | INTL: 0.30% | Energy: 4324190560
MONITORED: % | ON: 0.18% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.50% | TXL: 2.25% | RXL: 2.37% | INTL: 0.30% | Energy: 4454215280
MONITORED: % | ON: 0.18% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.45% | TXL: 2.25% | RXL: 2.34% | INTL: 0.30% | Energy: 4574372320
MONITORED: % | ON: 0.17% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.38% | TXL: 2.24% | RXL: 2.31% | INTL: 0.30% | Energy: 4691817920
MONITORED: % | ON: 0.17% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.29% | TXL: 2.23% | RXL: 2.28% | INTL: 0.30% | Energy: 4800246320
