packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 delay: 3501360
packet id 005 delay: 2390800
packet id 006 delay: 6608352
packet id 007 delay: 708632
packet id 008 delay: 3294504
packet id 009 delay: 2893080
packet id 010 delay: 500392
packet id 011 loss!!!
packet id 012 loss!!!
packet id 013 delay: 6407128
packet id 014 delay: 5813776
packet id 015 delay: 11847888
packet id 016 delay: 12812920
packet id 017 delay: 859480
packet id 018 delay: 4139120
packet id 019 delay: 702000
packet id 020 delay: 172280
packet id 021 loss!!!
packet id 022 delay: 221960
packet id 023 delay: 3788072
packet id 024 delay: 192560
packet id 025 loss!!!
packet id 026 delay: 287720
packet id 027 loss!!!
packet id 028 delay: 106240
packet id 029 delay: 7020344
packet id 030 delay: 271784
packet id 031 delay: 425120
packet id 032 delay: 1638096
packet id 033 delay: 340280
packet id 034 delay: 3984440
packet id 035 delay: 473040
packet id 036 delay: 4559848
packet id 037 delay: 372400
packet id 038 delay: 261200
packet id 039 delay: 287400
packet id 040 delay: 460440
packet id 041 delay: 266360
packet id 042 delay: 284680
packet id 043 delay: 269200
packet id 044 delay: 318360
packet id 045 delay: 200200
packet id 046 delay: 583360
packet id 047 delay: 338400
packet id 048 delay: 372960
packet id 049 delay: 282720
packet id 050 delay: 298680
packet id 051 delay: 3163160
packet id 052 delay: 160280
packet id 053 delay: 300040
packet id 054 delay: 452440
packet id 055 delay: 285720
packet id 056 delay: 201240
packet id 057 loss!!!
packet id 058 delay: 282304
packet id 059 loss!!!
packet id 060 delay: 528280
packet id 061 delay: 235080
packet id 062 delay: 544440
packet id 063 delay: 665664
packet id 064 delay: 191200
packet id 065 delay: 223360
packet id 066 delay: 539320
packet id 067 delay: 287680
packet id 068 delay: 281720
packet id 069 delay: 274280
packet id 070 delay: 246000
packet id 071 delay: 291680
packet id 072 delay: 362440
packet id 073 delay: 90200
packet id 074 delay: 230640
packet id 075 delay: 266600
packet id 076 delay: 214600
packet id 077 delay: 249680
packet id 078 delay: 581120
packet id 079 delay: 242200
packet id 080 delay: 246200
packet id 081 delay: 1705000
packet id 082 delay: 359880
packet id 083 delay: 579512
packet id 084 delay: 289400
packet id 085 loss!!!
packet id 086 delay: 296600
packet id 087 delay: 4372464
packet id 088 loss!!!
packet id 089 loss!!!
packet id 090 delay: 3259320
packet id 091 delay: 287720
packet id 092 delay: 243200
packet id 093 delay: 1169680
packet id 094 delay: 467960
packet id 095 delay: 284280
packet id 096 delay: 893280
packet id 097 delay: 1694560
packet id 098 delay: 353080
packet id 099 delay: 259200
packet id 100 delay: 530080
packet id 101 delay: 265000
packet id 102 delay: 272600
packet id 103 delay: 239400
packet id 104 delay: 292720
packet id 105 delay: 256000
packet id 106 delay: 187720
packet id 107 delay: 2559520
packet id 108 delay: 3764720
packet id 109 delay: 353680
packet id 110 delay: 638040
packet id 111 delay: 240600
packet id 112 delay: 2237440
packet id 113 delay: 302960
packet id 114 delay: 270360
packet id 115 delay: 311320
packet id 116 delay: 305040
packet id 117 delay: 5238360
packet id 118 delay: 564120
packet id 119 delay: 185880
packet id 120 delay: 222280
packet id 121 delay: 3968840
packet id 122 delay: 271720
packet id 123 delay: 155200
