MONITORED: % | ON: 14.24% | TX: 0.17% | RX: 0.18% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 20830000
MONITORED: % | ON: 20.81% | TX: 1.47% | RX: 0.71% | INT: 0.02% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 371027680
MONITORED: % | ON: 21.58% | TX: 1.60% | RX: 0.76% | INT: 0.02% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 760229200
MONITORED: % | ON: 21.75% | TX: 1.65% | RX: 0.76% | INT: 0.01% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 1146802400
MONITORED: % | ON: 21.80% | TX: 1.66% | RX: 0.77% | INT: 0.02% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 1539032800
MONITORED: % | ON: 21.96% | TX: 1.69% | RX: 0.77% | INT: 0.02% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 1930773040
MONITORED: % | ON: 22.07% | TX: 1.70% | RX: 0.77% | INT: 0.02% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 2250182400
MONITORED: % | ON: 22.05% | TX: 1.70% | RX: 0.77% | INT: 0.02% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 2632953680
MONITORED: % | ON: 22.02% | TX: 1.70% | RX: 0.77% | INT: 0.02% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 3030032080
MONITORED: % | ON: 22.10% | TX: 1.72% | RX: 0.78% | INT: 0.02% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 3421640000
MONITORED: % | ON: 22.14% | TX: 1.72% | RX: 0.78% | INT: 0.02% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 3817230480
MONITORED: % | ON: 22.20% | TX: 1.73% | RX: 0.78% | INT: 0.02% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 4213430400
MONITORED: % | ON: 22.20% | TX: 1.73% | RX: 0.78% | INT: 0.02% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 4525347040
MONITORED: % | ON: 22.23% | TX: 1.74% | RX: 0.78% | INT: 0.02% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 4927409200
MONITORED: % | ON: 22.26% | TX: 1.74% | RX: 0.78% | INT: 0.02% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 5321584560
MONITORED: % | ON: 22.25% | TX: 1.74% | RX: 0.78% | INT: 0.02% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 5707748720
MONITORED: % | ON: 22.24% | TX: 1.74% | RX: 0.78% | INT: 0.02% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 6102746720
MONITORED: % | ON: 22.23% | TX: 1.74% | RX: 0.78% | INT: 0.02% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 6487463920
MONITORED: % | ON: 22.25% | TX: 1.74% | RX: 0.78% | INT: 0.02% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 6804951360
MONITORED: % | ON: 22.24% | TX: 1.74% | RX: 0.78% | INT: 0.02% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 7191826320
