MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 4980000
MONITORED: % | ON: 49.90% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 54.71% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 5220000
MONITORED: % | ON: 28.49% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 35.35% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 5580000
MONITORED: % | ON: 2.88% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 46.72% | TXL: 1.30% | RXL: 15.91% | INTL: 3.79% | Energy: 105445200
MONITORED: % | ON: 1.32% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 37.62% | TXL: 1.36% | RXL: 13.17% | INTL: 3.13% | Energy: 343592240
MONITORED: % | ON: 0.98% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 32.94% | TXL: 1.63% | RXL: 11.16% | INTL: 2.47% | Energy: 522167600
MONITORED: % | ON: 1.14% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 31.63% | TXL: 1.84% | RXL: 10.61% | INTL: 2.39% | Energy: 720486080
MONITORED: % | ON: 1.31% | TX: 0.04% | RX: 0.05% | INT: 0.00% | ONL: 31.16% | TXL: 2.03% | RXL: 10.30% | INTL: 2.18% | Energy: 928366560
MONITORED: % | ON: 1.17% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 30.85% | TXL: 2.01% | RXL: 10.14% | INTL: 2.11% | Energy: 1138967920
MONITORED: % | ON: 1.10% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 30.71% | TXL: 1.98% | RXL: 10.09% | INTL: 2.14% | Energy: 1348809840
MONITORED: % | ON: 1.04% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 30.28% | TXL: 1.83% | RXL: 10.02% | INTL: 2.11% | Energy: 1549117680
MONITORED: % | ON: 1.00% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 30.36% | TXL: 1.75% | RXL: 10.14% | INTL: 2.09% | Energy: 1764557840
MONITORED: % | ON: 0.95% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 30.25% | TXL: 1.79% | RXL: 10.08% | INTL: 2.09% | Energy: 1974946480
MONITORED: % | ON: 0.91% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 29.62% | TXL: 1.73% | RXL: 9.88% | INTL: 2.08% | Energy: 2147761920
MONITORED: % | ON: 0.87% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 29.09% | TXL: 1.69% | RXL: 9.67% | INTL: 2.12% | Energy: 2312702480
MONITORED: % | ON: 0.84% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 28.66% | TXL: 1.72% | RXL: 9.48% | INTL: 2.10% | Energy: 2480704240
MONITORED: % | ON: 0.83% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 28.53% | TXL: 1.78% | RXL: 9.38% | INTL: 2.05% | Energy: 2685994400
MONITORED: % | ON: 0.83% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 28.72% | TXL: 1.75% | RXL: 9.50% | INTL: 2.06% | Energy: 2910187440
MONITORED: % | ON: 0.85% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 29.09% | TXL: 1.72% | RXL: 9.69% | INTL: 2.05% | Energy: 3120024160
MONITORED: % | ON: 0.84% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 28.95% | TXL: 1.71% | RXL: 9.63% | INTL: 2.03% | Energy: 3206342720
MONITORED: % | ON: 0.82% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 28.55% | TXL: 1.68% | RXL: 9.49% | INTL: 1.99% | Energy: 3350663120
MONITORED: % | ON: 0.80% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 28.20% | TXL: 1.67% | RXL: 9.34% | INTL: 1.99% | Energy: 3494345840
MONITORED: % | ON: 0.79% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 28.19% | TXL: 1.64% | RXL: 9.35% | INTL: 2.00% | Energy: 3663304560
MONITORED: % | ON: 0.79% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 28.16% | TXL: 1.65% | RXL: 9.32% | INTL: 2.02% | Energy: 3861265040
MONITORED: % | ON: 0.77% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 27.93% | TXL: 1.61% | RXL: 9.23% | INTL: 1.98% | Energy: 4030362480
MONITORED: % | ON: 0.76% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 27.54% | TXL: 1.57% | RXL: 9.09% | INTL: 1.94% | Energy: 4170601040
MONITORED: % | ON: 0.76% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 27.44% | TXL: 1.57% | RXL: 9.05% | INTL: 1.93% | Energy: 4358264640
MONITORED: % | ON: 0.76% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 27.37% | TXL: 1.59% | RXL: 9.02% | INTL: 1.89% | Energy: 4544166240
MONITORED: % | ON: 0.75% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 27.18% | TXL: 1.58% | RXL: 8.93% | INTL: 1.88% | Energy: 4709074880
MONITORED: % | ON: 0.75% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 27.36% | TXL: 1.65% | RXL: 8.98% | INTL: 1.88% | Energy: 4941279040
MONITORED: % | ON: 0.75% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 27.30% | TXL: 1.71% | RXL: 8.92% | INTL: 1.85% | Energy: 5135325200
MONITORED: % | ON: 0.75% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 27.68% | TXL: 1.81% | RXL: 9.01% | INTL: 1.85% | Energy: 5409071440
MONITORED: % | ON: 0.75% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 27.88% | TXL: 1.85% | RXL: 9.04% | INTL: 1.85% | Energy: 5663070720
MONITORED: % | ON: 0.73% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 27.63% | TXL: 1.91% | RXL: 8.88% | INTL: 1.83% | Energy: 5827467040
MONITORED: % | ON: 0.72% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 27.50% | TXL: 1.91% | RXL: 8.81% | INTL: 1.82% | Energy: 5888025440
MONITORED: % | ON: 0.71% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 27.33% | TXL: 1.93% | RXL: 8.73% | INTL: 1.80% | Energy: 6032901760
MONITORED: % | ON: 0.69% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 27.01% | TXL: 1.95% | RXL: 8.58% | INTL: 1.76% | Energy: 6170133840
MONITORED: % | ON: 0.68% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 26.91% | TXL: 2.03% | RXL: 8.45% | INTL: 1.73% | Energy: 6356563680
MONITORED: % | ON: 0.67% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 26.61% | TXL: 2.01% | RXL: 8.33% | INTL: 1.71% | Energy: 6488200400
MONITORED: % | ON: 0.67% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 26.52% | TXL: 2.04% | RXL: 8.27% | INTL: 1.70% | Energy: 6667249680
MONITORED: % | ON: 0.67% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 26.34% | TXL: 2.02% | RXL: 8.20% | INTL: 1.68% | Energy: 6818055040
MONITORED: % | ON: 0.66% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 26.12% | TXL: 2.05% | RXL: 8.08% | INTL: 1.66% | Energy: 6961905200
MONITORED: % | ON: 0.64% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 25.90% | TXL: 2.06% | RXL: 7.97% | INTL: 1.65% | Energy: 7096317760
MONITORED: % | ON: 0.63% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 25.72% | TXL: 2.07% | RXL: 7.88% | INTL: 1.63% | Energy: 7241242160
MONITORED: % | ON: 0.62% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 25.62% | TXL: 2.11% | RXL: 7.80% | INTL: 1.61% | Energy: 7409820960
MONITORED: % | ON: 0.61% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 25.52% | TXL: 2.14% | RXL: 7.73% | INTL: 1.60% | Energy: 7580240640
MONITORED: % | ON: 0.60% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 25.37% | TXL: 2.12% | RXL: 7.67% | INTL: 1.59% | Energy: 7727577920
MONITORED: % | ON: 0.59% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 25.18% | TXL: 2.11% | RXL: 7.61% | INTL: 1.57% | Energy: 7853737200
MONITORED: % | ON: 0.58% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 24.99% | TXL: 2.10% | RXL: 7.53% | INTL: 1.57% | Energy: 7986243760
MONITORED: % | ON: 0.58% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 24.89% | TXL: 2.09% | RXL: 7.49% | INTL: 1.56% | Energy: 8022696160
MONITORED: % | ON: 0.57% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 24.63% | TXL: 2.07% | RXL: 7.39% | INTL: 1.54% | Energy: 8112534960
