MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 10540000
MONITORED: % | ON: 59.21% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 61.91% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 10780000
MONITORED: % | ON: 3.94% | TX: 0.04% | RX: 0.04% | INT: 0.00% | ONL: 36.68% | TXL: 1.79% | RXL: 10.43% | INTL: 0.52% | Energy: 87131280
MONITORED: % | ON: 1.52% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 28.55% | TXL: 1.74% | RXL: 8.72% | INTL: 0.40% | Energy: 268057360
MONITORED: % | ON: 1.07% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 26.39% | TXL: 1.74% | RXL: 7.64% | INTL: 0.46% | Energy: 425946240
MONITORED: % | ON: 0.95% | TX: 0.02% | RX: 0.01% | INT: 0.00% | ONL: 25.43% | TXL: 1.76% | RXL: 7.49% | INTL: 0.44% | Energy: 582939680
MONITORED: % | ON: 0.90% | TX: 0.02% | RX: 0.01% | INT: 0.00% | ONL: 25.08% | TXL: 1.97% | RXL: 7.26% | INTL: 0.44% | Energy: 747538080
MONITORED: % | ON: 0.84% | TX: 0.02% | RX: 0.01% | INT: 0.00% | ONL: 25.04% | TXL: 2.00% | RXL: 7.24% | INTL: 0.43% | Energy: 926873920
MONITORED: % | ON: 0.82% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 25.26% | TXL: 2.01% | RXL: 7.35% | INTL: 0.49% | Energy: 1113985280
MONITORED: % | ON: 0.82% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 25.76% | TXL: 2.03% | RXL: 7.69% | INTL: 0.48% | Energy: 1326197520
MONITORED: % | ON: 1.04% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 26.16% | TXL: 2.10% | RXL: 7.85% | INTL: 0.47% | Energy: 1545990960
MONITORED: % | ON: 1.01% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 26.15% | TXL: 2.18% | RXL: 7.87% | INTL: 0.47% | Energy: 1738435680
MONITORED: % | ON: 0.96% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 25.81% | TXL: 2.15% | RXL: 7.80% | INTL: 0.47% | Energy: 1905104080
MONITORED: % | ON: 0.92% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 25.64% | TXL: 2.19% | RXL: 7.66% | INTL: 0.50% | Energy: 2077248960
MONITORED: % | ON: 0.89% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 25.15% | TXL: 2.16% | RXL: 7.49% | INTL: 0.50% | Energy: 2215837280
MONITORED: % | ON: 0.87% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 25.19% | TXL: 2.20% | RXL: 7.40% | INTL: 0.49% | Energy: 2411369680
MONITORED: % | ON: 0.87% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 25.77% | TXL: 2.20% | RXL: 7.60% | INTL: 0.50% | Energy: 2652920880
MONITORED: % | ON: 0.89% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 26.41% | TXL: 2.23% | RXL: 7.85% | INTL: 0.50% | Energy: 2878759840
MONITORED: % | ON: 0.87% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 26.34% | TXL: 2.24% | RXL: 7.80% | INTL: 0.50% | Energy: 2963612560
MONITORED: % | ON: 0.85% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 25.90% | TXL: 2.18% | RXL: 7.67% | INTL: 0.49% | Energy: 3087168880
MONITORED: % | ON: 0.83% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 25.49% | TXL: 2.11% | RXL: 7.52% | INTL: 0.50% | Energy: 3206530480
MONITORED: % | ON: 0.81% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 25.40% | TXL: 2.17% | RXL: 7.42% | INTL: 0.50% | Energy: 3355352320
MONITORED: % | ON: 0.81% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 25.43% | TXL: 2.19% | RXL: 7.43% | INTL: 0.51% | Energy: 3546580720
MONITORED: % | ON: 0.80% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 25.31% | TXL: 2.16% | RXL: 7.38% | INTL: 0.51% | Energy: 3714117760
MONITORED: % | ON: 0.79% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 25.12% | TXL: 2.17% | RXL: 7.29% | INTL: 0.50% | Energy: 3869893200
MONITORED: % | ON: 0.79% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 25.20% | TXL: 2.19% | RXL: 7.34% | INTL: 0.51% | Energy: 4071973120
MONITORED: % | ON: 0.78% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 25.31% | TXL: 2.24% | RXL: 7.35% | INTL: 0.51% | Energy: 4275472080
MONITORED: % | ON: 0.77% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 25.00% | TXL: 2.21% | RXL: 7.24% | INTL: 0.51% | Energy: 4405952720
MONITORED: % | ON: 0.77% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 25.14% | TXL: 2.24% | RXL: 7.29% | INTL: 0.51% | Energy: 4615933120
MONITORED: % | ON: 0.77% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 25.04% | TXL: 2.19% | RXL: 7.28% | INTL: 0.51% | Energy: 4781082560
MONITORED: % | ON: 0.78% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 25.22% | TXL: 2.17% | RXL: 7.37% | INTL: 0.51% | Energy: 4992681200
