packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 loss!!!
packet id 007 delay: 770872
packet id 008 loss!!!
packet id 009 delay: 38880
packet id 010 delay: 109392
packet id 011 delay: 310584
packet id 012 delay: 171952
packet id 013 delay: 84072
packet id 014 delay: 28592
packet id 015 delay: 112072
packet id 016 delay: 2730504
packet id 017 delay: 107592
packet id 018 delay: 28592
packet id 019 delay: 400872
packet id 020 delay: 317272
packet id 021 delay: 84672
packet id 022 delay: 77392
packet id 023 delay: 1492968
packet id 024 delay: 961592
packet id 025 delay: 2864488
packet id 026 delay: 114112
packet id 027 delay: 196192
packet id 028 delay: 33592
packet id 029 delay: 58592
packet id 030 delay: 571592
packet id 031 delay: 169832
packet id 032 delay: 192432
packet id 033 delay: 55592
packet id 034 delay: 386800
packet id 035 delay: 391152
packet id 036 delay: 71592
packet id 037 delay: 260792
packet id 038 delay: 841744
packet id 039 delay: 221872
packet id 040 delay: 143752
packet id 041 delay: 67112
packet id 042 delay: 540592
packet id 043 delay: 473312
packet id 044 delay: 200352
packet id 045 delay: 1616992
packet id 046 delay: 1022104
packet id 047 delay: 33592
packet id 048 delay: 28592
packet id 049 delay: 299192
packet id 050 delay: 480344
packet id 051 delay: 88984
packet id 052 delay: 109432
packet id 053 delay: 168912
packet id 054 delay: 267392
packet id 055 delay: 28592
packet id 056 delay: 103592
packet id 057 delay: 280592
packet id 058 delay: 125672
packet id 059 delay: 59592
packet id 060 delay: 41592
packet id 061 delay: 82352
packet id 062 delay: 434232
packet id 063 delay: 36752
packet id 064 delay: 89112
packet id 065 delay: 28592
packet id 066 delay: 46592
packet id 067 delay: 489632
packet id 068 delay: 335952
packet id 069 delay: 204992
packet id 070 delay: 69592
packet id 071 delay: 69592
packet id 072 delay: 124752
packet id 073 delay: 74592
packet id 074 delay: 86592
packet id 075 delay: 397472
packet id 076 delay: 2113992
packet id 077 delay: 63592
packet id 078 delay: 48592
packet id 079 delay: 364712
packet id 080 delay: 668152
packet id 081 delay: 64832
packet id 082 delay: 125592
packet id 083 delay: 28592
packet id 084 delay: 112592
packet id 085 delay: 111592
packet id 086 delay: 73592
packet id 087 delay: 312672
packet id 088 delay: 84312
packet id 089 delay: 32336
packet id 090 delay: 46592
packet id 091 delay: 101592
packet id 092 delay: 68592
packet id 093 delay: 28592
packet id 094 delay: 283752
packet id 095 delay: 28592
packet id 096 delay: 118288
packet id 097 delay: 702592
packet id 098 delay: 55592
packet id 099 delay: 69592
packet id 100 delay: 41592
packet id 101 delay: 105592
packet id 102 delay: 43592
packet id 103 delay: 28592
packet id 104 delay: 35752
packet id 105 loss!!!
packet id 106 delay: 148672
packet id 107 delay: 113592
packet id 108 delay: 95592
packet id 109 delay: 2702072
packet id 110 delay: 2003704
packet id 111 delay: 78512
packet id 112 delay: 28592
packet id 113 delay: 403552
packet id 114 delay: 35952
packet id 115 delay: 456344
packet id 116 delay: 89272
packet id 117 delay: 342792
packet id 118 delay: 127592
packet id 119 delay: 41592
packet id 120 delay: 74592
packet id 121 delay: 90592
packet id 122 delay: 28592
