MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 10740000
MONITORED: % | ON: 58.88% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 62.83% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 11100000
MONITORED: % | ON: 3.86% | TX: 0.03% | RX: 0.07% | INT: 0.00% | ONL: 58.75% | TXL: 1.33% | RXL: 21.66% | INTL: 3.36% | Energy: 176476480
MONITORED: % | ON: 2.12% | TX: 0.02% | RX: 0.05% | INT: 0.00% | ONL: 46.01% | TXL: 0.78% | RXL: 16.97% | INTL: 3.01% | Energy: 455455760
MONITORED: % | ON: 1.68% | TX: 0.02% | RX: 0.05% | INT: 0.00% | ONL: 39.62% | TXL: 0.80% | RXL: 14.49% | INTL: 2.55% | Energy: 642972000
MONITORED: % | ON: 1.47% | TX: 0.01% | RX: 0.06% | INT: 0.00% | ONL: 37.12% | TXL: 0.75% | RXL: 13.49% | INTL: 2.26% | Energy: 859740320
MONITORED: % | ON: 1.30% | TX: 0.01% | RX: 0.05% | INT: 0.00% | ONL: 35.94% | TXL: 0.87% | RXL: 12.78% | INTL: 2.08% | Energy: 1072105680
MONITORED: % | ON: 1.22% | TX: 0.02% | RX: 0.05% | INT: 0.00% | ONL: 35.57% | TXL: 1.01% | RXL: 12.54% | INTL: 2.14% | Energy: 1309330720
MONITORED: % | ON: 1.14% | TX: 0.02% | RX: 0.05% | INT: 0.00% | ONL: 34.16% | TXL: 1.02% | RXL: 11.88% | INTL: 2.07% | Energy: 1496555120
MONITORED: % | ON: 1.07% | TX: 0.02% | RX: 0.05% | INT: 0.00% | ONL: 32.86% | TXL: 0.97% | RXL: 11.34% | INTL: 2.02% | Energy: 1675633440
MONITORED: % | ON: 1.01% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 31.50% | TXL: 0.99% | RXL: 10.72% | INTL: 1.95% | Energy: 1829522240
MONITORED: % | ON: 0.97% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 30.56% | TXL: 0.96% | RXL: 10.32% | INTL: 1.88% | Energy: 1993957600
MONITORED: % | ON: 0.91% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 29.25% | TXL: 0.96% | RXL: 9.79% | INTL: 1.78% | Energy: 2116617520
MONITORED: % | ON: 0.86% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 28.27% | TXL: 0.92% | RXL: 9.37% | INTL: 1.72% | Energy: 2243466240
MONITORED: % | ON: 0.82% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 27.38% | TXL: 0.92% | RXL: 8.98% | INTL: 1.67% | Energy: 2362773600
MONITORED: % | ON: 0.78% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 26.53% | TXL: 0.88% | RXL: 8.63% | INTL: 1.61% | Energy: 2481593440
MONITORED: % | ON: 0.78% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 26.84% | TXL: 0.96% | RXL: 8.66% | INTL: 1.59% | Energy: 2707698720
