MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 6860000
MONITORED: % | ON: 57.84% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 61.89% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 7100000
MONITORED: % | ON: 35.43% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 41.63% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 7460000
MONITORED: % | ON: 2.49% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 54.10% | TXL: 1.30% | RXL: 20.50% | INTL: 7.08% | Energy: 194544720
MONITORED: % | ON: 1.39% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 45.74% | TXL: 1.45% | RXL: 16.54% | INTL: 7.26% | Energy: 469369280
MONITORED: % | ON: 1.10% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 41.72% | TXL: 1.20% | RXL: 14.82% | INTL: 6.45% | Energy: 700602400
MONITORED: % | ON: 1.40% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 39.32% | TXL: 1.31% | RXL: 13.90% | INTL: 5.99% | Energy: 934336720
MONITORED: % | ON: 1.34% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 37.75% | TXL: 1.48% | RXL: 13.15% | INTL: 5.56% | Energy: 1150545520
MONITORED: % | ON: 1.46% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 37.00% | TXL: 1.51% | RXL: 12.89% | INTL: 5.50% | Energy: 1403108640
MONITORED: % | ON: 1.32% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 36.45% | TXL: 1.57% | RXL: 12.62% | INTL: 5.40% | Energy: 1633878880
MONITORED: % | ON: 1.22% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 36.28% | TXL: 1.54% | RXL: 12.64% | INTL: 5.46% | Energy: 1883243760
MONITORED: % | ON: 1.14% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 36.18% | TXL: 1.55% | RXL: 12.56% | INTL: 5.52% | Energy: 2135233120
MONITORED: % | ON: 1.07% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 35.78% | TXL: 1.50% | RXL: 12.41% | INTL: 5.56% | Energy: 2360455440
MONITORED: % | ON: 1.04% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 35.25% | TXL: 1.53% | RXL: 12.18% | INTL: 5.49% | Energy: 2574799760
MONITORED: % | ON: 0.99% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 34.95% | TXL: 1.57% | RXL: 11.98% | INTL: 5.49% | Energy: 2805694960
MONITORED: % | ON: 0.94% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 34.10% | TXL: 1.57% | RXL: 11.63% | INTL: 5.33% | Energy: 2976758720
MONITORED: % | ON: 0.91% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 33.80% | TXL: 1.58% | RXL: 11.53% | INTL: 5.19% | Energy: 3193588240
MONITORED: % | ON: 0.90% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 34.56% | TXL: 1.70% | RXL: 11.75% | INTL: 5.37% | Energy: 3520756480
MONITORED: % | ON: 0.89% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 34.59% | TXL: 1.74% | RXL: 11.77% | INTL: 5.35% | Energy: 3688720960
