MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: 70.48% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 73.32% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 12180000
MONITORED: % | ON: 1.83% | TX: 0.05% | RX: 0.08% | INT: 0.00% | ONL: 34.66% | TXL: 2.29% | RXL: 11.45% | INTL: 3.11% | Energy: 286770080
MONITORED: % | ON: 1.33% | TX: 0.05% | RX: 0.08% | INT: 0.00% | ONL: 34.94% | TXL: 2.76% | RXL: 11.28% | INTL: 2.83% | Energy: 986018560
MONITORED: % | ON: 1.17% | TX: 0.04% | RX: 0.08% | INT: 0.00% | ONL: 32.53% | TXL: 2.24% | RXL: 10.52% | INTL: 2.58% | Energy: 1511917440
MONITORED: % | ON: 0.94% | TX: 0.03% | RX: 0.07% | INT: 0.00% | ONL: 27.76% | TXL: 1.77% | RXL: 8.49% | INTL: 2.05% | Energy: 1708083680
MONITORED: % | ON: 0.76% | TX: 0.02% | RX: 0.05% | INT: 0.00% | ONL: 24.38% | TXL: 1.47% | RXL: 7.00% | INTL: 1.70% | Energy: 1890214640
MONITORED: % | ON: 0.68% | TX: 0.02% | RX: 0.05% | INT: 0.00% | ONL: 22.66% | TXL: 1.28% | RXL: 6.27% | INTL: 1.51% | Energy: 2095993040
MONITORED: % | ON: 0.60% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 21.10% | TXL: 1.13% | RXL: 5.59% | INTL: 1.34% | Energy: 2275065200
MONITORED: % | ON: 0.61% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 21.85% | TXL: 1.19% | RXL: 5.84% | INTL: 1.46% | Energy: 2698004240
MONITORED: % | ON: 0.64% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 22.49% | TXL: 1.31% | RXL: 6.09% | INTL: 1.47% | Energy: 3107434080
MONITORED: % | ON: 0.60% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 21.98% | TXL: 1.42% | RXL: 5.76% | INTL: 1.37% | Energy: 3350803680
MONITORED: % | ON: 0.56% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 21.45% | TXL: 1.48% | RXL: 5.45% | INTL: 1.28% | Energy: 3583898720
MONITORED: % | ON: 0.52% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 20.94% | TXL: 1.54% | RXL: 5.13% | INTL: 1.20% | Energy: 3833179040
MONITORED: % | ON: 0.48% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 20.37% | TXL: 1.58% | RXL: 4.81% | INTL: 1.13% | Energy: 4052902560
MONITORED: % | ON: 0.45% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 19.93% | TXL: 1.61% | RXL: 4.56% | INTL: 1.07% | Energy: 4284576720
MONITORED: % | ON: 0.43% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 19.75% | TXL: 1.63% | RXL: 4.45% | INTL: 1.04% | Energy: 4424941520
MONITORED: % | ON: 0.41% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 19.36% | TXL: 1.65% | RXL: 4.24% | INTL: 0.99% | Energy: 4647610880
MONITORED: % | ON: 0.38% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 19.04% | TXL: 1.68% | RXL: 4.04% | INTL: 0.94% | Energy: 4884389200
MONITORED: % | ON: 0.36% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 18.75% | TXL: 1.71% | RXL: 3.87% | INTL: 0.91% | Energy: 5108001520
MONITORED: % | ON: 0.34% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 18.51% | TXL: 1.74% | RXL: 3.72% | INTL: 0.88% | Energy: 5336331920
MONITORED: % | ON: 0.33% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 18.32% | TXL: 1.74% | RXL: 3.62% | INTL: 0.85% | Energy: 5583990400
MONITORED: % | ON: 0.31% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 18.12% | TXL: 1.76% | RXL: 3.52% | INTL: 0.82% | Energy: 5821511840
MONITORED: % | ON: 0.30% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 17.95% | TXL: 1.78% | RXL: 3.42% | INTL: 0.80% | Energy: 6060001680
MONITORED: % | ON: 0.29% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 17.79% | TXL: 1.79% | RXL: 3.33% | INTL: 0.79% | Energy: 6301789520
MONITORED: % | ON: 0.27% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 17.63% | TXL: 1.80% | RXL: 3.25% | INTL: 0.77% | Energy: 6536467360
MONITORED: % | ON: 0.26% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 17.49% | TXL: 1.81% | RXL: 3.19% | INTL: 0.75% | Energy: 6769991760
MONITORED: % | ON: 0.25% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 17.36% | TXL: 1.82% | RXL: 3.12% | INTL: 0.73% | Energy: 7002432080
MONITORED: % | ON: 0.24% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 17.27% | TXL: 1.84% | RXL: 3.07% | INTL: 0.72% | Energy: 7253876080
MONITORED: % | ON: 0.24% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 17.21% | TXL: 1.84% | RXL: 3.04% | INTL: 0.71% | Energy: 7411158480
MONITORED: % | ON: 0.23% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 17.11% | TXL: 1.85% | RXL: 2.98% | INTL: 0.70% | Energy: 7605468560
MONITORED: % | ON: 0.22% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 17.01% | TXL: 1.85% | RXL: 2.93% | INTL: 0.69% | Energy: 7832572000
MONITORED: % | ON: 0.22% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.92% | TXL: 1.85% | RXL: 2.88% | INTL: 0.68% | Energy: 8066074720
MONITORED: % | ON: 0.21% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.84% | TXL: 1.87% | RXL: 2.84% | INTL: 0.66% | Energy: 8302791600
MONITORED: % | ON: 0.20% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.75% | TXL: 1.87% | RXL: 2.79% | INTL: 0.66% | Energy: 8538375280
MONITORED: % | ON: 0.20% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.68% | TXL: 1.88% | RXL: 2.75% | INTL: 0.65% | Energy: 8775242160
MONITORED: % | ON: 0.19% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.62% | TXL: 1.89% | RXL: 2.72% | INTL: 0.64% | Energy: 9023644160
MONITORED: % | ON: 0.19% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.55% | TXL: 1.89% | RXL: 2.69% | INTL: 0.63% | Energy: 9248705360
MONITORED: % | ON: 0.18% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.49% | TXL: 1.90% | RXL: 2.65% | INTL: 0.62% | Energy: 9488573200
MONITORED: % | ON: 0.18% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.43% | TXL: 1.91% | RXL: 2.62% | INTL: 0.62% | Energy: 9730824400
MONITORED: % | ON: 0.17% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.36% | TXL: 1.91% | RXL: 2.59% | INTL: 0.61% | Energy: 9953633760
MONITORED: % | ON: 0.17% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 16.32% | TXL: 1.92% | RXL: 2.57% | INTL: 0.60% | Energy: 10197426720
MONITORED: % | ON: 0.17% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 16.29% | TXL: 1.93% | RXL: 2.54% | INTL: 0.60% | Energy: 10450880960
MONITORED: % | ON: 0.17% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 16.27% | TXL: 1.93% | RXL: 2.53% | INTL: 0.60% | Energy: 10580400720
MONITORED: % | ON: 0.16% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 16.22% | TXL: 1.93% | RXL: 2.51% | INTL: 0.59% | Energy: 10803246720
MONITORED: % | ON: 0.16% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 16.17% | TXL: 1.94% | RXL: 2.48% | INTL: 0.59% | Energy: 11036282480
MONITORED: % | ON: 0.15% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 16.12% | TXL: 1.94% | RXL: 2.46% | INTL: 0.58% | Energy: 11271308480
MONITORED: % | ON: 0.15% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 16.08% | TXL: 1.94% | RXL: 2.44% | INTL: 0.58% | Energy: 11502361040
MONITORED: % | ON: 0.15% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 16.02% | TXL: 1.94% | RXL: 2.41% | INTL: 0.57% | Energy: 11722717920
MONITORED: % | ON: 0.14% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 15.99% | TXL: 1.94% | RXL: 2.40% | INTL: 0.57% | Energy: 11965188400
MONITORED: % | ON: 0.14% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 15.97% | TXL: 1.95% | RXL: 2.38% | INTL: 0.56% | Energy: 12215541920
MONITORED: % | ON: 0.14% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 15.94% | TXL: 1.96% | RXL: 2.36% | INTL: 0.56% | Energy: 12458483840
MONITORED: % | ON: 0.14% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 15.92% | TXL: 1.96% | RXL: 2.35% | INTL: 0.56% | Energy: 12693548320
MONITORED: % | ON: 0.13% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 15.89% | TXL: 1.97% | RXL: 2.33% | INTL: 0.55% | Energy: 12934947760
MONITORED: % | ON: 0.13% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 15.86% | TXL: 1.97% | RXL: 2.31% | INTL: 0.55% | Energy: 13165992880
MONITORED: % | ON: 0.13% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 15.85% | TXL: 1.97% | RXL: 2.30% | INTL: 0.55% | Energy: 13415783680
MONITORED: % | ON: 0.13% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 15.82% | TXL: 1.97% | RXL: 2.29% | INTL: 0.54% | Energy: 13601218240
MONITORED: % | ON: 0.13% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 15.81% | TXL: 1.97% | RXL: 2.28% | INTL: 0.54% | Energy: 13779776480
MONITORED: % | ON: 0.12% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 15.79% | TXL: 1.98% | RXL: 2.27% | INTL: 0.54% | Energy: 14025594720
MONITORED: % | ON: 0.12% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 15.76% | TXL: 1.97% | RXL: 2.25% | INTL: 0.53% | Energy: 14244543840
