packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 loss!!!
packet id 007 delay: 28592
packet id 008 delay: 112392
packet id 009 delay: 342192
packet id 010 delay: 453952
packet id 011 loss!!!
packet id 012 delay: 108592
packet id 013 delay: 31592
packet id 014 delay: 45592
packet id 015 delay: 28592
packet id 016 delay: 114592
packet id 017 delay: 298312
packet id 018 delay: 90592
packet id 019 delay: 394272
packet id 020 delay: 83112
packet id 021 delay: 31592
packet id 022 delay: 111216
packet id 023 delay: 65592
packet id 024 delay: 64160
packet id 025 delay: 61336
packet id 026 delay: 112592
packet id 027 delay: 28592
packet id 028 delay: 185592
packet id 029 delay: 107592
packet id 030 delay: 1066480
packet id 031 delay: 29592
packet id 032 delay: 27912
packet id 033 delay: 2076592
packet id 034 delay: 28592
packet id 035 delay: 168752
packet id 036 delay: 125592
packet id 037 delay: 99592
packet id 038 delay: 77592
packet id 039 delay: 69672
packet id 040 delay: 28592
packet id 041 delay: 1502152
packet id 042 delay: 28592
packet id 043 delay: 445472
packet id 044 delay: 88792
packet id 045 loss!!!
packet id 046 delay: 55592
packet id 047 delay: 3299784
packet id 048 delay: 52272
packet id 049 delay: 325816
packet id 050 delay: 50592
packet id 051 delay: 364312
packet id 052 delay: 833384
packet id 053 delay: 177784
packet id 054 delay: 91544
packet id 055 delay: 63176
packet id 056 delay: 24920
packet id 057 delay: 21704
packet id 058 delay: 572656
packet id 059 delay: 123440
packet id 060 delay: 32768
packet id 061 delay: 48336
packet id 062 delay: 24080
packet id 063 delay: 67176
packet id 064 delay: 189072
packet id 065 delay: 58920
packet id 066 delay: 82176
packet id 067 delay: 31920
packet id 068 delay: 242176
packet id 069 delay: 21704
packet id 070 delay: 72176
packet id 071 delay: 79704
packet id 072 delay: 113360
packet id 073 delay: 83176
packet id 074 delay: 41104
packet id 075 delay: 25176
packet id 076 delay: 21704
packet id 077 delay: 37920
packet id 078 delay: 56704
packet id 079 delay: 25176
packet id 080 delay: 71920
packet id 081 delay: 37944
packet id 082 delay: 35920
packet id 083 delay: 54176
packet id 084 delay: 123176
packet id 085 delay: 57176
packet id 086 delay: 101920
packet id 087 delay: 72176
packet id 088 delay: 109920
packet id 089 delay: 50920
packet id 090 delay: 32920
packet id 091 delay: 88920
packet id 092 delay: 90920
packet id 093 delay: 119920
packet id 094 delay: 76176
packet id 095 delay: 117176
packet id 096 delay: 85448
packet id 097 delay: 113920
packet id 098 delay: 67176
packet id 099 delay: 107440
packet id 100 delay: 24920
packet id 101 delay: 112704
packet id 102 delay: 25176
