packet id 001 loss!!!
packet id 002 delay: 8701072
packet id 003 delay: 12758760
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 delay: 394760
packet id 007 delay: 134560
packet id 008 loss!!!
packet id 009 loss!!!
packet id 010 delay: 824320
packet id 011 delay: 204960
packet id 012 delay: 543320
packet id 013 delay: 274680
packet id 014 delay: 304960
packet id 015 delay: 287600
packet id 016 delay: 285800
packet id 017 delay: 202240
packet id 018 delay: 402960
packet id 019 delay: 98880
packet id 020 delay: 272680
packet id 021 delay: 505960
packet id 022 delay: 192680
packet id 023 delay: 226680
packet id 024 delay: 186680
packet id 025 delay: 258680
packet id 026 delay: 220680
packet id 027 delay: 194680
packet id 028 delay: 239680
packet id 029 delay: 322680
packet id 030 delay: 183680
packet id 031 delay: 150320
packet id 032 delay: 202680
packet id 033 delay: 173680
packet id 034 delay: 208680
packet id 035 delay: 202680
packet id 036 delay: 173680
packet id 037 delay: 174680
packet id 038 delay: 215680
packet id 039 delay: 205680
packet id 040 delay: 218400
packet id 041 delay: 568680
packet id 042 delay: 167680
packet id 043 delay: 213680
packet id 044 delay: 179680
packet id 045 delay: 201680
packet id 046 delay: 1013360
packet id 047 delay: 190720
packet id 048 delay: 244680
packet id 049 delay: 777800
packet id 050 delay: 200680
packet id 051 delay: 235680
packet id 052 delay: 207720
packet id 053 delay: 512640
packet id 054 delay: 239680
packet id 055 delay: 150320
packet id 056 delay: 264640
packet id 057 delay: 125880
packet id 058 delay: 241680
packet id 059 delay: 406680
packet id 060 delay: 165680
packet id 061 delay: 501680
packet id 062 delay: 174680
packet id 063 delay: 227680
packet id 064 delay: 158000
packet id 065 delay: 239400
packet id 066 delay: 179920
packet id 067 loss!!!
packet id 068 delay: 285640
packet id 069 delay: 250680
packet id 070 delay: 1034960
packet id 071 delay: 241440
packet id 072 delay: 226680
packet id 073 delay: 158000
packet id 074 delay: 196680
packet id 075 delay: 199680
packet id 076 delay: 194248
packet id 077 delay: 248680
packet id 078 delay: 273000
packet id 079 delay: 175680
packet id 080 delay: 271040
packet id 081 delay: 185680
packet id 082 delay: 277720
packet id 083 delay: 246680
packet id 084 delay: 260320
packet id 085 delay: 142640
packet id 086 delay: 212680
packet id 087 delay: 203680
packet id 088 delay: 524360
packet id 089 delay: 194680
packet id 090 delay: 150320
packet id 091 delay: 176680
packet id 092 delay: 179680
packet id 093 delay: 216680
packet id 094 delay: 236680
packet id 095 delay: 334640
packet id 096 delay: 199680
packet id 097 delay: 245680
packet id 098 delay: 219680
packet id 099 delay: 158000
packet id 100 delay: 209680
packet id 101 delay: 150320
packet id 102 delay: 498888
packet id 103 delay: 134960
packet id 104 delay: 617400
packet id 105 delay: 194680
packet id 106 delay: 174680
packet id 107 delay: 180680
packet id 108 delay: 245680
packet id 109 delay: 223680
packet id 110 delay: 150320
packet id 111 delay: 228680
packet id 112 delay: 216720
packet id 113 delay: 522080
packet id 114 delay: 175680
packet id 115 delay: 189680
packet id 116 delay: 191680
packet id 117 delay: 229680
packet id 118 delay: 262680
packet id 119 delay: 224680
packet id 120 delay: 150320
packet id 121 delay: 142640
packet id 122 delay: 253680
packet id 123 delay: 88560
packet id 124 delay: 194720
packet id 125 delay: 258680
packet id 126 delay: 134960
packet id 127 delay: 278720
packet id 128 delay: 210680
packet id 129 delay: 245680
packet id 130 delay: 205680
packet id 131 delay: 215680
packet id 132 delay: 255400
packet id 133 delay: 516480
packet id 134 delay: 142640
packet id 135 delay: 249680
packet id 136 delay: 2200600
packet id 137 delay: 880040
packet id 138 delay: 244680
packet id 139 delay: 179680
packet id 140 delay: 3697320
packet id 141 loss!!!
packet id 142 delay: 288160
packet id 143 delay: 237720
packet id 144 delay: 387680
packet id 145 delay: 196680
packet id 146 delay: 158000
packet id 147 delay: 1466000
packet id 148 delay: 221680
packet id 149 delay: 200680
packet id 150 delay: 209680
packet id 151 delay: 220680
packet id 152 delay: 201400
packet id 153 delay: 249400
packet id 154 delay: 515320
packet id 155 delay: 208680
packet id 156 delay: 255680
packet id 157 delay: 142640
packet id 158 delay: 1061920
packet id 159 delay: 242680
packet id 160 delay: 181680
packet id 161 delay: 224680
packet id 162 delay: 270040
packet id 163 delay: 211680
packet id 164 delay: 171680
packet id 165 delay: 150320
packet id 166 delay: 158000
packet id 167 delay: 1070200
packet id 168 delay: 290160
packet id 169 delay: 158000
packet id 170 delay: 489640
packet id 171 delay: 402800
packet id 172 delay: 175680
packet id 173 delay: 179680
packet id 174 delay: 206680
packet id 175 delay: 254680
packet id 176 delay: 142640
packet id 177 delay: 303520
packet id 178 delay: 190360
packet id 179 delay: 437360
packet id 180 delay: 158000
packet id 181 delay: 1281640
