MONITORED: % | ON: 4.50% | TX: 0.04% | RX: 0.05% | INT: 0.00% | ONL: 26.54% | TXL: 1.72% | RXL: 6.94% | INTL: 0.77% | Energy: 75609680
MONITORED: % | ON: 1.10% | TX: 0.05% | RX: 0.05% | INT: 0.00% | ONL: 23.92% | TXL: 1.87% | RXL: 6.53% | INTL: 1.25% | Energy: 822588480
MONITORED: % | ON: 0.60% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 17.51% | TXL: 1.06% | RXL: 3.78% | INTL: 0.71% | Energy: 1224376160
MONITORED: % | ON: 0.40% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 15.11% | TXL: 0.80% | RXL: 2.67% | INTL: 0.53% | Energy: 1581952560
MONITORED: % | ON: 0.33% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 14.13% | TXL: 0.67% | RXL: 2.24% | INTL: 0.46% | Energy: 1898970640
MONITORED: % | ON: 2.06% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 11.59% | TXL: 0.60% | RXL: 1.82% | INTL: 0.37% | Energy: 2210071280
MONITORED: % | ON: 3.38% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 9.65% | TXL: 0.55% | RXL: 1.51% | INTL: 0.31% | Energy: 2560685680
MONITORED: % | ON: 4.14% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 8.52% | TXL: 0.51% | RXL: 1.32% | INTL: 0.27% | Energy: 2833798000
MONITORED: % | ON: 4.85% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 7.47% | TXL: 0.48% | RXL: 1.15% | INTL: 0.23% | Energy: 3173766400
MONITORED: % | ON: 5.40% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 6.66% | TXL: 0.46% | RXL: 1.02% | INTL: 0.21% | Energy: 3520447600
MONITORED: % | ON: 5.84% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 6.01% | TXL: 0.44% | RXL: 0.92% | INTL: 0.19% | Energy: 3870006800
MONITORED: % | ON: 6.19% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 5.51% | TXL: 0.42% | RXL: 0.83% | INTL: 0.17% | Energy: 4210449120
MONITORED: % | ON: 6.48% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 5.08% | TXL: 0.41% | RXL: 0.76% | INTL: 0.15% | Energy: 4555009920
MONITORED: % | ON: 6.68% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 4.80% | TXL: 0.41% | RXL: 0.72% | INTL: 0.14% | Energy: 4840293040
MONITORED: % | ON: 6.89% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 4.48% | TXL: 0.40% | RXL: 0.66% | INTL: 0.13% | Energy: 5186130240
MONITORED: % | ON: 7.08% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 4.20% | TXL: 0.38% | RXL: 0.62% | INTL: 0.12% | Energy: 5521953840
MONITORED: % | ON: 7.24% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 3.96% | TXL: 0.38% | RXL: 0.58% | INTL: 0.12% | Energy: 5865254960
MONITORED: % | ON: 7.38% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 3.74% | TXL: 0.37% | RXL: 0.55% | INTL: 0.11% | Energy: 6212542960
MONITORED: % | ON: 7.51% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 3.55% | TXL: 0.36% | RXL: 0.52% | INTL: 0.10% | Energy: 6554427360
MONITORED: % | ON: 7.60% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 3.41% | TXL: 0.35% | RXL: 0.49% | INTL: 0.10% | Energy: 6828747280
MONITORED: % | ON: 7.70% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 3.26% | TXL: 0.35% | RXL: 0.47% | INTL: 0.09% | Energy: 7175437280
MONITORED: % | ON: 7.79% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 3.13% | TXL: 0.34% | RXL: 0.45% | INTL: 0.09% | Energy: 7520418480
MONITORED: % | ON: 7.88% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 3.01% | TXL: 0.34% | RXL: 0.43% | INTL: 0.08% | Energy: 7873085120
MONITORED: % | ON: 7.95% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.90% | TXL: 0.34% | RXL: 0.41% | INTL: 0.08% | Energy: 8217349520
MONITORED: % | ON: 8.02% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.80% | TXL: 0.34% | RXL: 0.39% | INTL: 0.08% | Energy: 8553537120
MONITORED: % | ON: 8.07% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.73% | TXL: 0.34% | RXL: 0.38% | INTL: 0.08% | Energy: 8829083840
MONITORED: % | ON: 8.13% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.64% | TXL: 0.33% | RXL: 0.37% | INTL: 0.07% | Energy: 9180139040
MONITORED: % | ON: 8.19% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.55% | TXL: 0.33% | RXL: 0.35% | INTL: 0.07% | Energy: 9524793600
MONITORED: % | ON: 8.23% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.48% | TXL: 0.33% | RXL: 0.34% | INTL: 0.07% | Energy: 9862378880
MONITORED: % | ON: 8.28% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.41% | TXL: 0.33% | RXL: 0.33% | INTL: 0.06% | Energy: 10216848880
MONITORED: % | ON: 8.33% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.34% | TXL: 0.32% | RXL: 0.32% | INTL: 0.06% | Energy: 10559934000
MONITORED: % | ON: 8.36% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.29% | TXL: 0.32% | RXL: 0.31% | INTL: 0.06% | Energy: 10850067600
MONITORED: % | ON: 8.40% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.24% | TXL: 0.32% | RXL: 0.30% | INTL: 0.06% | Energy: 11180714560
MONITORED: % | ON: 8.44% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.18% | TXL: 0.32% | RXL: 0.29% | INTL: 0.06% | Energy: 11522922960
MONITORED: % | ON: 8.47% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.13% | TXL: 0.31% | RXL: 0.28% | INTL: 0.06% | Energy: 11862531360
MONITORED: % | ON: 8.50% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.08% | TXL: 0.31% | RXL: 0.28% | INTL: 0.05% | Energy: 12214715760
MONITORED: % | ON: 8.53% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.03% | TXL: 0.31% | RXL: 0.27% | INTL: 0.05% | Energy: 12550118560
MONITORED: % | ON: 8.56% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.99% | TXL: 0.31% | RXL: 0.26% | INTL: 0.05% | Energy: 12880130240
MONITORED: % | ON: 8.58% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.96% | TXL: 0.31% | RXL: 0.26% | INTL: 0.05% | Energy: 13166865440
MONITORED: % | ON: 8.61% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.92% | TXL: 0.31% | RXL: 0.25% | INTL: 0.05% | Energy: 13511146960
MONITORED: % | ON: 8.63% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.89% | TXL: 0.31% | RXL: 0.25% | INTL: 0.05% | Energy: 13856577360
MONITORED: % | ON: 8.66% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.85% | TXL: 0.30% | RXL: 0.24% | INTL: 0.05% | Energy: 14204253360
MONITORED: % | ON: 8.68% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.82% | TXL: 0.30% | RXL: 0.23% | INTL: 0.05% | Energy: 14554556880
MONITORED: % | ON: 8.70% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.79% | TXL: 0.30% | RXL: 0.23% | INTL: 0.04% | Energy: 14897004400
MONITORED: % | ON: 8.71% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.77% | TXL: 0.30% | RXL: 0.23% | INTL: 0.04% | Energy: 15170762400
MONITORED: % | ON: 8.73% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.74% | TXL: 0.30% | RXL: 0.22% | INTL: 0.04% | Energy: 15519862160
