NODE2	<AVG delay: 774059 us>	< Energy: 13237814800>	<PRR: 89.800 %>	<Collision ratio: 199.200 %>
NODE3	<AVG delay: 1164012 us>	< Energy: 13565326960>	<PRR: 90.200 %>	<Collision ratio: 345.300 %>
NODE4	<AVG delay: 3999547 us>	< Energy: 14447906080>	<PRR: 80.400 %>	<Collision ratio: 721.200 %>
NODE5	<AVG delay: 358475 us>	< Energy: 18035454560>	<PRR: 97.200 %>	<Collision ratio: 94.600 %>
NODE6	<AVG delay: 4552722 us>	< Energy: 14210622640>	<PRR: 56.200 %>	<Collision ratio: 655.900 %>
NODE7	<AVG delay: 19169424 us>	< Energy: 13242670880>	<PRR: 7.400 %>	<Collision ratio: 487.200 %>
NODE8	<AVG delay: 1622507 us>	< Energy: 23964320000>	<PRR: 68.300 %>	<Collision ratio: 305.700 %>
NODE9	<AVG delay: 1474218 us>	< Energy: 14167273120>	<PRR: 68.700 %>	<Collision ratio: 443.000 %>
NODE10	<AVG delay: 1020656 us>	< Energy: 22411736880>	<PRR: 91.400 %>	<Collision ratio: 147.300 %>
NODE11	<AVG delay: 228517 us>	< Energy: 11431678720>	<PRR: 95.300 %>	<Collision ratio: 60.200 %>
NODE12	<AVG delay: 1239237 us>	< Energy: 13357503520>	<PRR: 88.300 %>	<Collision ratio: 372.200 %>
NODE13	<AVG delay: 103999 us>	< Energy: 14087775520>	<PRR: 95.300 %>	<Collision ratio: 18.800 %>
NODE14	<AVG delay: 10880212 us>	< Energy: 29175248080>	<PRR: 9.700 %>	<Collision ratio: 780.000 %>
NODE15	<AVG delay: 636234 us>	< Energy: 12884991120>	<PRR: 94.900 %>	<Collision ratio: 184.100 %>
NODE16	<AVG delay: 2028297 us>	< Energy: 14370336320>	<PRR: 92.500 %>	<Collision ratio: 500.000 %>
NODE17	<AVG delay: 11562126 us>	< Energy: 28864541760>	<PRR: 8.900 %>	<Collision ratio: 795.000 %>
NODE18	<AVG delay: 176711 us>	< Energy: 11526876400>	<PRR: 93.300 %>	<Collision ratio: 53.700 %>
NODE19	<AVG delay: 498791 us>	< Energy: 22522462960>	<PRR: 96.400 %>	<Collision ratio: 72.800 %>
NODE20	<AVG delay: 4623051 us>	< Energy: 14014088480>	<PRR: 70.300 %>	<Collision ratio: 422.200 %>
NODE21	<AVG delay: 4557947 us>	< Energy: 28734030800>	<PRR: 10.500 %>	<Collision ratio: 717.000 %>
NODE22	<AVG delay: 23349886 us>	< Energy: 23750911120>	<PRR: 6.600 %>	<Collision ratio: 529.000 %>
NODE23	<AVG delay: 661470 us>	< Energy: 22859620000>	<PRR: 96.800 %>	<Collision ratio: 104.300 %>
NODE24	<AVG delay: 5924468 us>	< Energy: 31463543280>	<PRR: 12.800 %>	<Collision ratio: 1027.600 %>
NODE25	<AVG delay: 407629 us>	< Energy: 20537468240>	<PRR: 95.700 %>	<Collision ratio: 72.800 %>
NODE26	<AVG delay: 1062116 us>	< Energy: 13355256000>	<PRR: 66.500 %>	<Collision ratio: 235.500 %>
NODE27	<AVG delay: 4341624 us>	< Energy: 14388557280>	<PRR: 82.800 %>	<Collision ratio: 773.600 %>
NODE28	<AVG delay: 597537 us>	< Energy: 12709940640>	<PRR: 92.500 %>	<Collision ratio: 162.500 %>
NODE29	<AVG delay: 5706707 us>	< Energy: 27834661840>	<PRR: 90.200 %>	<Collision ratio: 788.500 %>
NODE30	<AVG delay: 3955476 us>	< Energy: 14275500640>	<PRR: 81.600 %>	<Collision ratio: 596.100 %>
NODE31	<AVG delay: 189198 us>	< Energy: 11606050960>	<PRR: 93.300 %>	<Collision ratio: 51.000 %>
NODE32	<AVG delay: 1482511 us>	< Energy: 14261644000>	<PRR: 68.300 %>	<Collision ratio: 442.800 %>
NODE33	<AVG delay: 2014215 us>	< Energy: 25598799040>	<PRR: 92.100 %>	<Collision ratio: 417.800 %>
NODE34	<AVG delay: 4406305 us>	< Energy: 13720314720>	<PRR: 60.500 %>	<Collision ratio: 529.800 %>
NODE35	<AVG delay: 5059820 us>	< Energy: 26904625440>	<PRR: 88.300 %>	<Collision ratio: 547.400 %>
NODE36	<AVG delay: 211290 us>	< Energy: 15590701680>	<PRR: 96.800 %>	<Collision ratio: 40.000 %>
NODE37	<AVG delay: 95064 us>	< Energy: 15220544880>	<PRR: 97.200 %>	<Collision ratio: 23.600 %>
NODE38	<AVG delay: 166063 us>	< Energy: 15347843040>	<PRR: 97.600 %>	<Collision ratio: 36.400 %>
NODE39	<AVG delay: 543831 us>	< Energy: 12720164240>	<PRR: 90.200 %>	<Collision ratio: 161.000 %>
NODE40	<AVG delay: 238113 us>	< Energy: 12182436240>	<PRR: 92.100 %>	<Collision ratio: 85.800 %>
NODE41	<AVG delay: 3816093 us>	< Energy: 14728829920>	<PRR: 72.200 %>	<Collision ratio: 886.400 %>
NODE42	<AVG delay: 3571318 us>	< Energy: 27322342000>	<PRR: 62.200 %>	<Collision ratio: 507.400 %>
NODE43	<AVG delay: 202481 us>	< Energy: 11884353600>	<PRR: 94.500 %>	<Collision ratio: 50.700 %>
NODE44	<AVG delay: 1092476 us>	< Energy: 13270635920>	<PRR: 89.400 %>	<Collision ratio: 374.000 %>
NODE45	<AVG delay: 7651099 us>	< Energy: 27051019680>	<PRR: 69.900 %>	<Collision ratio: 780.400 %>
NODE46	<AVG delay: 290914 us>	< Energy: 16834951840>	<PRR: 100.000 %>	<Collision ratio: 53.500 %>
NODE47	<AVG delay: 2291221 us>	< Energy: 26663202080>	<PRR: 91.700 %>	<Collision ratio: 299.200 %>
NODE48	<AVG delay: 336577 us>	< Energy: 11991540880>	<PRR: 94.100 %>	<Collision ratio: 93.600 %>
NODE49	<AVG delay: 14564451 us>	< Energy: 29048869840>	<PRR: 10.900 %>	<Collision ratio: 817.300 %>
NODE50	<AVG delay: 14209895 us>	< Energy: 30350789680>	<PRR: 7.800 %>	<Collision ratio: 617.000 %>
