NODE2	<AVG delay: 96243 us>	< Energy: 16565592960>	<PRR: 98.500 %>	<Collision ratio: 6.400 %>
NODE3	<AVG delay: 564322 us>	< Energy: 19498480800>	<PRR: 95.700 %>	<Collision ratio: 131.700 %>
NODE4	<AVG delay: 1224276 us>	< Energy: 29495092240>	<PRR: 94.700 %>	<Collision ratio: 202.200 %>
NODE5	<AVG delay: 3319177 us>	< Energy: 29125093520>	<PRR: 90.700 %>	<Collision ratio: 450.200 %>
NODE6	<AVG delay: 7494924 us>	< Energy: 29163171840>	<PRR: 81.200 %>	<Collision ratio: 1168.800 %>
NODE7	<AVG delay: 9546389 us>	< Energy: 29689271200>	<PRR: 78.900 %>	<Collision ratio: 1031.500 %>
NODE8	<AVG delay: 14207626 us>	< Energy: 31991367440>	<PRR: 67.600 %>	<Collision ratio: 1011.900 %>
NODE9	<AVG delay: 15303028 us>	< Energy: 28719248080>	<PRR: 69.500 %>	<Collision ratio: 779.800 %>
NODE10	<AVG delay: 19754771 us>	< Energy: 30135769520>	<PRR: 58.600 %>	<Collision ratio: 738.200 %>
NODE11	<AVG delay: 19146935 us>	< Energy: 26322459360>	<PRR: 60.700 %>	<Collision ratio: 496.600 %>
NODE12	<AVG delay: 22491920 us>	< Energy: 26598025280>	<PRR: 53.500 %>	<Collision ratio: 340.200 %>
NODE13	<AVG delay: 20582959 us>	< Energy: 20901941280>	<PRR: 57.600 %>	<Collision ratio: 234.900 %>
NODE14	<AVG delay: 23878184 us>	< Energy: 19999911760>	<PRR: 48.400 %>	<Collision ratio: 160.100 %>
NODE15	<AVG delay: 21091404 us>	< Energy: 14227135520>	<PRR: 51.900 %>	<Collision ratio: 59.100 %>
NODE16	<AVG delay: 23838468 us>	< Energy: 13619303520>	<PRR: 45.100 %>	<Collision ratio: 31.700 %>
