packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 delay: 157800
packet id 006 delay: 41520
packet id 007 delay: 2846272
packet id 008 delay: 43520
packet id 009 delay: 1719680
packet id 010 delay: 66520
packet id 011 delay: 496880
packet id 012 delay: 78520
packet id 013 delay: 1313320
packet id 014 delay: 44520
packet id 015 delay: 196000
packet id 016 delay: 3813992
packet id 017 delay: 74000
packet id 018 delay: 239480
packet id 019 delay: 100560
packet id 020 loss!!!
packet id 021 delay: 1466528
packet id 022 delay: 117536
packet id 023 delay: 95520
packet id 024 delay: 5789152
packet id 025 delay: 172360
packet id 026 delay: 157000
packet id 027 delay: 428040
packet id 028 delay: 109520
packet id 029 delay: 244840
packet id 030 delay: 857800
packet id 031 delay: 1001640
packet id 032 delay: 114520
packet id 033 delay: 2951312
packet id 034 delay: 595272
packet id 035 delay: 79520
packet id 036 delay: 343832
packet id 037 delay: 929560
packet id 038 delay: 137560
packet id 039 delay: 2400760
packet id 040 delay: 41520
packet id 041 delay: 125072
packet id 042 delay: 247968
packet id 043 loss!!!
packet id 044 delay: 41520
packet id 045 delay: 2587032
packet id 046 delay: 550392
packet id 047 delay: 957584
packet id 048 delay: 136920
packet id 049 delay: 140520
packet id 050 delay: 47520
packet id 051 delay: 92520
packet id 052 delay: 121520
packet id 053 delay: 2319512
packet id 054 delay: 65520
packet id 055 delay: 105520
packet id 056 delay: 83520
packet id 057 delay: 87520
packet id 058 delay: 126400
packet id 059 delay: 41520
packet id 060 delay: 47520
packet id 061 delay: 74320
packet id 062 delay: 41520
packet id 063 delay: 2735016
packet id 064 delay: 290720
packet id 065 delay: 105560
packet id 066 delay: 74520
packet id 067 delay: 973280
packet id 068 delay: 2290248
packet id 069 delay: 271920
packet id 070 delay: 2033304
packet id 071 delay: 669672
packet id 072 delay: 41520
packet id 073 delay: 1122080
packet id 074 loss!!!
packet id 075 delay: 108440
packet id 076 delay: 2455800
packet id 077 delay: 410480
packet id 078 loss!!!
packet id 079 loss!!!
packet id 080 delay: 4551848
packet id 081 delay: 138680
