packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 delay: 550696
packet id 004 delay: 29336
packet id 005 delay: 615152
packet id 006 delay: 1213728
packet id 007 delay: 1954312
packet id 008 delay: 59592
packet id 009 delay: 1303656
packet id 010 delay: 41336
packet id 011 delay: 106472
packet id 012 delay: 762832
packet id 013 delay: 27712
packet id 014 delay: 30592
packet id 015 delay: 425592
packet id 016 delay: 28592
packet id 017 delay: 198392
packet id 018 loss!!!
packet id 019 delay: 54592
packet id 020 delay: 89592
packet id 021 delay: 42448
packet id 022 delay: 127920
packet id 023 delay: 28592
packet id 024 delay: 56152
packet id 025 delay: 122872
packet id 026 delay: 242624
packet id 027 delay: 1038088
packet id 028 delay: 3526584
packet id 029 delay: 706384
packet id 030 delay: 228232
packet id 031 delay: 93624
packet id 032 delay: 28592
packet id 033 delay: 40592
packet id 034 delay: 1853536
packet id 035 delay: 78592
packet id 036 delay: 768632
packet id 037 delay: 948256
packet id 038 delay: 186592
packet id 039 delay: 4619248
packet id 040 delay: 125832
packet id 041 delay: 39784
packet id 042 delay: 250376
packet id 043 delay: 33432
packet id 044 delay: 414440
packet id 045 delay: 415512
packet id 046 delay: 29336
packet id 047 delay: 249832
packet id 048 delay: 217112
packet id 049 delay: 74592
packet id 050 delay: 106256
packet id 051 delay: 28272
packet id 052 delay: 31336
packet id 053 delay: 230952
packet id 054 delay: 42336
packet id 055 delay: 166792
packet id 056 delay: 44016
packet id 057 delay: 57056
packet id 058 delay: 100592
packet id 059 delay: 279864
packet id 060 delay: 56336
packet id 061 delay: 31752
packet id 062 delay: 94336
packet id 063 delay: 167272
packet id 064 delay: 41592
packet id 065 delay: 64336
packet id 066 delay: 3476656
packet id 067 delay: 360552
packet id 068 delay: 731936
packet id 069 delay: 107632
packet id 070 delay: 173800
packet id 071 delay: 55336
packet id 072 delay: 105696
packet id 073 delay: 1302368
packet id 074 delay: 278992
packet id 075 delay: 56336
packet id 076 loss!!!
packet id 077 delay: 3641160
packet id 078 delay: 450176
packet id 079 delay: 49632
packet id 080 delay: 122472
packet id 081 delay: 1985120
packet id 082 delay: 64752
packet id 083 delay: 935624
packet id 084 delay: 47032
packet id 085 delay: 478576
packet id 086 delay: 1338256
packet id 087 delay: 185696
packet id 088 delay: 1815056
packet id 089 delay: 1086000
packet id 090 delay: 38592
packet id 091 delay: 49296
packet id 092 delay: 445832
packet id 093 delay: 115592
packet id 094 delay: 3691672
packet id 095 delay: 254176
packet id 096 delay: 243472
packet id 097 delay: 197312
packet id 098 delay: 2910464
packet id 099 delay: 387984
packet id 100 delay: 28336
packet id 101 delay: 28216
packet id 102 delay: 86592
packet id 103 loss!!!
packet id 104 delay: 157536
packet id 105 delay: 47592
packet id 106 delay: 28336
packet id 107 delay: 31592
packet id 108 delay: 71336
packet id 109 delay: 35592
packet id 110 delay: 28336
packet id 111 delay: 110272
packet id 112 delay: 122592
packet id 113 delay: 47592
packet id 114 delay: 52096
packet id 115 delay: 124376
packet id 116 delay: 248712
packet id 117 delay: 231752
packet id 118 delay: 115008
packet id 119 delay: 577184
packet id 120 delay: 77928
packet id 121 delay: 332896
packet id 122 delay: 858384
packet id 123 loss!!!
packet id 124 delay: 695152
packet id 125 delay: 178584
packet id 126 delay: 28272
packet id 127 delay: 183216
packet id 128 delay: 62336
packet id 129 delay: 1170272
packet id 130 delay: 107472
packet id 131 delay: 425696
packet id 132 delay: 241232
packet id 133 delay: 28336
packet id 134 loss!!!
packet id 135 delay: 28336
packet id 136 delay: 121592
packet id 137 delay: 28336
packet id 138 delay: 28336
packet id 139 delay: 333256
packet id 140 delay: 502112
packet id 141 delay: 666720
packet id 142 delay: 124496
