NODE2	<AVG delay: 3316107 us>	< Energy: 111795499440>	<PRR: 63.800 %>	<Collision ratio: 52.500 %>
NODE3	<AVG delay: 3071351 us>	< Energy: 107247561840>	<PRR: 68.400 %>	<Collision ratio: 12.100 %>
NODE4	<AVG delay: 31758228 us>	< Energy: 112108139920>	<PRR: 7.800 %>	<Collision ratio: 175.600 %>
NODE5	<AVG delay: 2037361 us>	< Energy: 115170279200>	<PRR: 84.200 %>	<Collision ratio: 147.500 %>
NODE6	<AVG delay: 30741398 us>	< Energy: 109637316800>	<PRR: 6.800 %>	<Collision ratio: 43.300 %>
NODE7	<AVG delay: 30783865 us>	< Energy: 107332732080>	<PRR: 7.300 %>	<Collision ratio: 26.100 %>
NODE8	<AVG delay: 19480478 us>	< Energy: 109458923760>	<PRR: 15.700 %>	<Collision ratio: 50.400 %>
NODE9	<AVG delay: 19514945 us>	< Energy: 109292041920>	<PRR: 16.600 %>	<Collision ratio: 22.500 %>
NODE10	<AVG delay: 2849753 us>	< Energy: 109310325120>	<PRR: 69.200 %>	<Collision ratio: 20.500 %>
NODE11	<AVG delay: 4227978 us>	< Energy: 113742320640>	<PRR: 63.500 %>	<Collision ratio: 42.900 %>
NODE12	<AVG delay: 31697851 us>	< Energy: 107268170000>	<PRR: 5.900 %>	<Collision ratio: 11.000 %>
NODE13	<AVG delay: 518830 us>	< Energy: 111378448560>	<PRR: 94.400 %>	<Collision ratio: 105.300 %>
NODE14	<AVG delay: 29219110 us>	< Energy: 117653582720>	<PRR: 10.400 %>	<Collision ratio: 363.500 %>
NODE15	<AVG delay: 13349983 us>	< Energy: 124850311360>	<PRR: 38.900 %>	<Collision ratio: 492.400 %>
NODE16	<AVG delay: 3434621 us>	< Energy: 109333824400>	<PRR: 63.100 %>	<Collision ratio: 22.300 %>
NODE17	<AVG delay: 30573952 us>	< Energy: 112025519680>	<PRR: 9.300 %>	<Collision ratio: 220.200 %>
NODE18	<AVG delay: 3931035 us>	< Energy: 116599633280>	<PRR: 72.200 %>	<Collision ratio: 125.200 %>
NODE19	<AVG delay: 4539073 us>	< Energy: 109278744880>	<PRR: 58.600 %>	<Collision ratio: 27.600 %>
NODE20	<AVG delay: 29346053 us>	< Energy: 107448122720>	<PRR: 7.500 %>	<Collision ratio: 23.800 %>
NODE21	<AVG delay: 32274874 us>	< Energy: 109292393120>	<PRR: 5.100 %>	<Collision ratio: 32.200 %>
NODE22	<AVG delay: 31676671 us>	< Energy: 107444212480>	<PRR: 6.700 %>	<Collision ratio: 92.100 %>
NODE23	<AVG delay: 3035977 us>	< Energy: 113855033040>	<PRR: 73.400 %>	<Collision ratio: 144.000 %>
NODE24	<AVG delay: 20054883 us>	< Energy: 125631849040>	<PRR: 19.300 %>	<Collision ratio: 386.400 %>
NODE25	<AVG delay: 10807778 us>	< Energy: 107644800720>	<PRR: 42.000 %>	<Collision ratio: 128.800 %>
NODE26	<AVG delay: 19608098 us>	< Energy: 107298231440>	<PRR: 15.800 %>	<Collision ratio: 40.800 %>
NODE27	<AVG delay: 31189647 us>	< Energy: 116689407360>	<PRR: 7.000 %>	<Collision ratio: 107.400 %>
NODE28	<AVG delay: 4629896 us>	< Energy: 107248611600>	<PRR: 58.900 %>	<Collision ratio: 11.000 %>
NODE29	<AVG delay: 3519899 us>	< Energy: 107244406480>	<PRR: 58.400 %>	<Collision ratio: 11.800 %>
NODE30	<AVG delay: 29536664 us>	< Energy: 109966701040>	<PRR: 8.100 %>	<Collision ratio: 86.000 %>
NODE31	<AVG delay: 4367532 us>	< Energy: 111239195680>	<PRR: 61.600 %>	<Collision ratio: 30.100 %>
NODE32	<AVG delay: 19207776 us>	< Energy: 117684622880>	<PRR: 19.600 %>	<Collision ratio: 78.500 %>
NODE33	<AVG delay: 18612449 us>	< Energy: 121151546640>	<PRR: 22.000 %>	<Collision ratio: 151.700 %>
NODE34	<AVG delay: 32422676 us>	< Energy: 107460216240>	<PRR: 6.300 %>	<Collision ratio: 28.300 %>
NODE35	<AVG delay: 32226906 us>	< Energy: 107699982640>	<PRR: 6.400 %>	<Collision ratio: 101.200 %>
NODE36	<AVG delay: 1928910 us>	< Energy: 107277507920>	<PRR: 78.600 %>	<Collision ratio: 106.700 %>
NODE37	<AVG delay: 1018742 us>	< Energy: 113700894800>	<PRR: 96.900 %>	<Collision ratio: 127.200 %>
NODE38	<AVG delay: 1624799 us>	< Energy: 117352622240>	<PRR: 85.200 %>	<Collision ratio: 80.700 %>
NODE39	<AVG delay: 2727632 us>	< Energy: 111608961520>	<PRR: 73.800 %>	<Collision ratio: 52.600 %>
NODE40	<AVG delay: 10201847 us>	< Energy: 125067001520>	<PRR: 50.500 %>	<Collision ratio: 287.200 %>
NODE41	<AVG delay: 22702073 us>	< Energy: 124837956400>	<PRR: 16.400 %>	<Collision ratio: 447.700 %>
NODE42	<AVG delay: 19835738 us>	< Energy: 107315654000>	<PRR: 15.200 %>	<Collision ratio: 71.200 %>
NODE43	<AVG delay: 7533761 us>	< Energy: 124120401760>	<PRR: 66.600 %>	<Collision ratio: 721.300 %>
NODE44	<AVG delay: 17237290 us>	< Energy: 128360953200>	<PRR: 26.900 %>	<Collision ratio: 592.200 %>
NODE45	<AVG delay: 26375088 us>	< Energy: 127681764240>	<PRR: 11.600 %>	<Collision ratio: 492.100 %>
NODE46	<AVG delay: 2936162 us>	< Energy: 127816794640>	<PRR: 86.600 %>	<Collision ratio: 331.900 %>
NODE47	<AVG delay: 19328230 us>	< Energy: 111537648400>	<PRR: 16.500 %>	<Collision ratio: 54.500 %>
NODE48	<AVG delay: 2454907 us>	< Energy: 113304792560>	<PRR: 82.600 %>	<Collision ratio: 135.400 %>
NODE49	<AVG delay: 29993579 us>	< Energy: 122505338720>	<PRR: 8.400 %>	<Collision ratio: 604.800 %>
NODE50	<AVG delay: 32066236 us>	< Energy: 111397235680>	<PRR: 6.400 %>	<Collision ratio: 47.100 %>
