MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: 70.13% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 73.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 11980000
MONITORED: % | ON: 2.61% | TX: 0.04% | RX: 0.11% | INT: 0.00% | ONL: 42.46% | TXL: 2.04% | RXL: 14.19% | INTL: 4.43% | Energy: 174655760
MONITORED: % | ON: 1.19% | TX: 0.03% | RX: 0.08% | INT: 0.00% | ONL: 38.98% | TXL: 2.70% | RXL: 12.31% | INTL: 4.60% | Energy: 550952160
MONITORED: % | ON: 0.92% | TX: 0.02% | RX: 0.07% | INT: 0.00% | ONL: 35.50% | TXL: 2.38% | RXL: 11.14% | INTL: 3.86% | Energy: 836962720
MONITORED: % | ON: 0.81% | TX: 0.02% | RX: 0.05% | INT: 0.00% | ONL: 34.82% | TXL: 2.78% | RXL: 10.59% | INTL: 3.72% | Energy: 1144655760
MONITORED: % | ON: 0.76% | TX: 0.03% | RX: 0.05% | INT: 0.00% | ONL: 33.95% | TXL: 2.92% | RXL: 10.17% | INTL: 3.53% | Energy: 1437385200
MONITORED: % | ON: 0.70% | TX: 0.02% | RX: 0.05% | INT: 0.00% | ONL: 32.18% | TXL: 2.77% | RXL: 9.53% | INTL: 3.27% | Energy: 1642891440
MONITORED: % | ON: 0.71% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 33.30% | TXL: 2.74% | RXL: 9.89% | INTL: 3.53% | Energy: 2026151760
MONITORED: % | ON: 0.68% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 33.08% | TXL: 2.73% | RXL: 9.77% | INTL: 3.65% | Energy: 2320635920
MONITORED: % | ON: 0.66% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 32.77% | TXL: 2.71% | RXL: 9.67% | INTL: 3.62% | Energy: 2586678880
MONITORED: % | ON: 0.63% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 32.41% | TXL: 2.79% | RXL: 9.43% | INTL: 3.54% | Energy: 2844938800
MONITORED: % | ON: 0.62% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 32.20% | TXL: 2.80% | RXL: 9.34% | INTL: 3.48% | Energy: 3109720560
MONITORED: % | ON: 0.59% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 31.37% | TXL: 2.88% | RXL: 8.94% | INTL: 3.32% | Energy: 3283999360
MONITORED: % | ON: 0.57% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 30.96% | TXL: 2.90% | RXL: 8.77% | INTL: 3.23% | Energy: 3375338000
MONITORED: % | ON: 0.54% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 30.16% | TXL: 2.90% | RXL: 8.40% | INTL: 3.10% | Energy: 3520940800
MONITORED: % | ON: 0.51% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 29.46% | TXL: 2.91% | RXL: 8.08% | INTL: 2.96% | Energy: 3682461760
MONITORED: % | ON: 0.48% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 28.98% | TXL: 2.93% | RXL: 7.84% | INTL: 2.86% | Energy: 3850188160
MONITORED: % | ON: 0.46% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 28.43% | TXL: 2.94% | RXL: 7.57% | INTL: 2.74% | Energy: 4012718640
MONITORED: % | ON: 0.44% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 27.83% | TXL: 2.96% | RXL: 7.30% | INTL: 2.65% | Energy: 4158736000
