MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 7500000
MONITORED: % | ON: 42.86% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 48.34% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 7980000
MONITORED: % | ON: 1.69% | TX: 0.04% | RX: 0.06% | INT: 0.00% | ONL: 24.59% | TXL: 3.21% | RXL: 4.92% | INTL: 0.34% | Energy: 105466800
MONITORED: % | ON: 0.97% | TX: 0.06% | RX: 0.06% | INT: 0.00% | ONL: 22.12% | TXL: 2.33% | RXL: 5.20% | INTL: 0.41% | Energy: 321627600
MONITORED: % | ON: 0.81% | TX: 0.06% | RX: 0.06% | INT: 0.00% | ONL: 21.51% | TXL: 2.12% | RXL: 5.20% | INTL: 0.41% | Energy: 520135680
MONITORED: % | ON: 0.79% | TX: 0.06% | RX: 0.06% | INT: 0.00% | ONL: 21.43% | TXL: 2.48% | RXL: 4.88% | INTL: 0.42% | Energy: 725399280
MONITORED: % | ON: 1.03% | TX: 0.05% | RX: 0.08% | INT: 0.00% | ONL: 21.49% | TXL: 2.70% | RXL: 4.70% | INTL: 0.38% | Energy: 948723280
MONITORED: % | ON: 0.99% | TX: 0.04% | RX: 0.07% | INT: 0.00% | ONL: 20.74% | TXL: 2.60% | RXL: 4.44% | INTL: 0.35% | Energy: 1103853520
MONITORED: % | ON: 1.00% | TX: 0.04% | RX: 0.07% | INT: 0.00% | ONL: 21.24% | TXL: 2.77% | RXL: 4.58% | INTL: 0.34% | Energy: 1353588320
MONITORED: % | ON: 1.10% | TX: 0.04% | RX: 0.07% | INT: 0.00% | ONL: 21.13% | TXL: 2.97% | RXL: 4.38% | INTL: 0.34% | Energy: 1566094480
MONITORED: % | ON: 1.03% | TX: 0.04% | RX: 0.07% | INT: 0.00% | ONL: 20.56% | TXL: 2.88% | RXL: 4.16% | INTL: 0.32% | Energy: 1712123600
MONITORED: % | ON: 0.99% | TX: 0.03% | RX: 0.06% | INT: 0.00% | ONL: 20.14% | TXL: 2.83% | RXL: 3.97% | INTL: 0.31% | Energy: 1862075920
MONITORED: % | ON: 0.99% | TX: 0.04% | RX: 0.07% | INT: 0.00% | ONL: 20.30% | TXL: 2.95% | RXL: 3.97% | INTL: 0.30% | Energy: 2068566880
MONITORED: % | ON: 0.98% | TX: 0.03% | RX: 0.07% | INT: 0.00% | ONL: 19.93% | TXL: 2.90% | RXL: 3.82% | INTL: 0.29% | Energy: 2199216080
MONITORED: % | ON: 0.96% | TX: 0.03% | RX: 0.07% | INT: 0.00% | ONL: 19.79% | TXL: 2.91% | RXL: 3.73% | INTL: 0.29% | Energy: 2272244960
MONITORED: % | ON: 0.91% | TX: 0.03% | RX: 0.07% | INT: 0.00% | ONL: 19.43% | TXL: 2.87% | RXL: 3.55% | INTL: 0.28% | Energy: 2384467920
MONITORED: % | ON: 0.87% | TX: 0.03% | RX: 0.07% | INT: 0.00% | ONL: 19.09% | TXL: 2.82% | RXL: 3.40% | INTL: 0.27% | Energy: 2503978000
MONITORED: % | ON: 0.88% | TX: 0.03% | RX: 0.07% | INT: 0.00% | ONL: 18.76% | TXL: 2.78% | RXL: 3.25% | INTL: 0.27% | Energy: 2617459920
MONITORED: % | ON: 0.90% | TX: 0.03% | RX: 0.07% | INT: 0.00% | ONL: 18.56% | TXL: 2.78% | RXL: 3.14% | INTL: 0.26% | Energy: 2755205600
MONITORED: % | ON: 0.86% | TX: 0.02% | RX: 0.07% | INT: 0.00% | ONL: 18.30% | TXL: 2.74% | RXL: 3.02% | INTL: 0.26% | Energy: 2870690960
