packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 delay: 33592
packet id 004 delay: 4374520
packet id 005 delay: 28592
packet id 006 delay: 294592
packet id 007 delay: 34592
packet id 008 delay: 1358752
packet id 009 delay: 125016
packet id 010 delay: 5904136
packet id 011 delay: 2407040
packet id 012 delay: 2213968
packet id 013 delay: 512920
packet id 014 delay: 2140104
packet id 015 delay: 1836472
packet id 016 delay: 123112
packet id 017 delay: 1125984
packet id 018 delay: 28592
packet id 019 delay: 68136
packet id 020 delay: 258304
packet id 021 delay: 42336
packet id 022 delay: 909488
packet id 023 delay: 52592
packet id 024 delay: 1623952
packet id 025 delay: 91072
packet id 026 delay: 103152
packet id 027 delay: 440384
packet id 028 delay: 1145064
packet id 029 delay: 71592
packet id 030 delay: 784584
packet id 031 delay: 28592
packet id 032 delay: 119952
packet id 033 delay: 71592
packet id 034 delay: 82592
packet id 035 delay: 95056
packet id 036 delay: 470704
packet id 037 delay: 28592
packet id 038 delay: 69712
packet id 039 delay: 101592
packet id 040 loss!!!
packet id 041 delay: 28336
packet id 042 delay: 34696
packet id 043 delay: 38592
packet id 044 delay: 37112
packet id 045 delay: 120592
packet id 046 delay: 126432
packet id 047 delay: 116592
packet id 048 delay: 390632
packet id 049 delay: 28592
packet id 050 delay: 102592
packet id 051 delay: 28336
packet id 052 delay: 97392
packet id 053 delay: 364944
packet id 054 delay: 96592
packet id 055 delay: 48336
packet id 056 delay: 649056
packet id 057 delay: 38016
packet id 058 delay: 28592
packet id 059 delay: 1450024
packet id 060 delay: 61592
packet id 061 delay: 69592
packet id 062 delay: 33992
packet id 063 delay: 31592
packet id 064 delay: 41336
packet id 065 delay: 51856
packet id 066 delay: 63336
packet id 067 delay: 76592
packet id 068 delay: 83592
packet id 069 delay: 29336
packet id 070 delay: 42336
packet id 071 delay: 771112
packet id 072 delay: 114336
packet id 073 delay: 28336
packet id 074 delay: 123352
packet id 075 delay: 332112
packet id 076 delay: 38632
packet id 077 delay: 114912
packet id 078 delay: 39016
packet id 079 delay: 86656
packet id 080 delay: 120216
packet id 081 delay: 1316976
packet id 082 delay: 282760
packet id 083 delay: 237872
packet id 084 delay: 251512
packet id 085 delay: 90696
packet id 086 delay: 82296
packet id 087 delay: 102656
packet id 088 delay: 28336
packet id 089 delay: 159752
packet id 090 delay: 30336
packet id 091 delay: 85592
packet id 092 delay: 28592
packet id 093 delay: 120352
packet id 094 delay: 891200
packet id 095 delay: 41336
packet id 096 delay: 69696
packet id 097 delay: 41312
packet id 098 delay: 306192
packet id 099 delay: 186512
packet id 100 delay: 50152
packet id 101 delay: 28592
packet id 102 delay: 108168
packet id 103 delay: 331832
packet id 104 delay: 595112
packet id 105 delay: 45176
packet id 106 delay: 90448
packet id 107 delay: 120448
packet id 108 delay: 90760
packet id 109 delay: 41240
packet id 110 delay: 527336
packet id 111 delay: 66440
packet id 112 delay: 30920
packet id 113 delay: 122496
packet id 114 delay: 32176
packet id 115 delay: 79448
packet id 116 delay: 46056
packet id 117 delay: 49128
packet id 118 delay: 103400
packet id 119 delay: 37320
packet id 120 delay: 74568
packet id 121 delay: 101920
packet id 122 delay: 115600
packet id 123 delay: 27176
packet id 124 delay: 47920
packet id 125 delay: 71920
packet id 126 delay: 116520
packet id 127 delay: 64704
packet id 128 delay: 24920
packet id 129 delay: 21448
packet id 130 delay: 68616
