NODE2	<AVG delay: 141908 us>	< Energy: 20622817360>	<PRR: 95.000 %>	<Collision ratio: 10.900 %>
NODE3	<AVG delay: 536925 us>	< Energy: 21870498960>	<PRR: 90.800 %>	<Collision ratio: 87.800 %>
NODE4	<AVG delay: 1089482 us>	< Energy: 12081184160>	<PRR: 84.700 %>	<Collision ratio: 222.400 %>
NODE5	<AVG delay: 1172834 us>	< Energy: 13390137200>	<PRR: 84.700 %>	<Collision ratio: 223.000 %>
NODE6	<AVG delay: 1690740 us>	< Energy: 10645390160>	<PRR: 85.500 %>	<Collision ratio: 134.300 %>
NODE7	<AVG delay: 100946 us>	< Energy: 9666965760>	<PRR: 94.000 %>	<Collision ratio: 17.700 %>
NODE8	<AVG delay: 444902 us>	< Energy: 22087478880>	<PRR: 91.100 %>	<Collision ratio: 74.300 %>
NODE9	<AVG delay: 1119971 us>	< Energy: 23827992720>	<PRR: 93.100 %>	<Collision ratio: 178.900 %>
NODE10	<AVG delay: 3205162 us>	< Energy: 26607233440>	<PRR: 78.500 %>	<Collision ratio: 397.600 %>
NODE11	<AVG delay: 3149472 us>	< Energy: 25094166240>	<PRR: 80.500 %>	<Collision ratio: 438.100 %>
NODE12	<AVG delay: 3215075 us>	< Energy: 24169425600>	<PRR: 7.200 %>	<Collision ratio: 596.700 %>
NODE13	<AVG delay: 365700 us>	< Energy: 20927099360>	<PRR: 86.400 %>	<Collision ratio: 58.400 %>
NODE14	<AVG delay: 492361 us>	< Energy: 10690061280>	<PRR: 90.100 %>	<Collision ratio: 127.700 %>
NODE15	<AVG delay: 1837146 us>	< Energy: 31883558480>	<PRR: 82.100 %>	<Collision ratio: 213.500 %>
NODE16	<AVG delay: 3032593 us>	< Energy: 12758180880>	<PRR: 43.100 %>	<Collision ratio: 320.900 %>
NODE17	<AVG delay: 6182481 us>	< Energy: 28620522320>	<PRR: 37.900 %>	<Collision ratio: 618.400 %>
NODE18	<AVG delay: 3358946 us>	< Energy: 12462115680>	<PRR: 48.200 %>	<Collision ratio: 331.200 %>
NODE19	<AVG delay: 1647285 us>	< Energy: 11257583280>	<PRR: 40.400 %>	<Collision ratio: 114.900 %>
NODE20	<AVG delay: 1237381 us>	< Energy: 12660404000>	<PRR: 67.000 %>	<Collision ratio: 214.300 %>
NODE21	<AVG delay: 1840159 us>	< Energy: 12915416640>	<PRR: 72.200 %>	<Collision ratio: 304.500 %>
NODE22	<AVG delay: 3387556 us>	< Energy: 13496037600>	<PRR: 56.000 %>	<Collision ratio: 300.500 %>
NODE23	<AVG delay: 5462288 us>	< Energy: 25327283360>	<PRR: 18.900 %>	<Collision ratio: 410.400 %>
NODE24	<AVG delay: 4927376 us>	< Energy: 12449432560>	<PRR: 40.500 %>	<Collision ratio: 260.200 %>
NODE25	<AVG delay: 2679248 us>	< Energy: 21974813120>	<PRR: 23.900 %>	<Collision ratio: 91.600 %>
NODE26	<AVG delay: 2649565 us>	< Energy: 12016598240>	<PRR: 31.200 %>	<Collision ratio: 221.400 %>
NODE27	<AVG delay: 5271955 us>	< Energy: 12191745760>	<PRR: 19.500 %>	<Collision ratio: 283.700 %>
NODE28	<AVG delay: 4027596 us>	< Energy: 27394926960>	<PRR: 64.900 %>	<Collision ratio: 276.100 %>
NODE29	<AVG delay: 7961687 us>	< Energy: 12400400000>	<PRR: 20.300 %>	<Collision ratio: 266.300 %>
NODE30	<AVG delay: 7945582 us>	< Energy: 12760120800>	<PRR: 31.200 %>	<Collision ratio: 238.500 %>
NODE31	<AVG delay: 3262112 us>	< Energy: 19850980320>	<PRR: 23.400 %>	<Collision ratio: 78.100 %>
NODE32	<AVG delay: 4195123 us>	< Energy: 11508408720>	<PRR: 19.100 %>	<Collision ratio: 180.000 %>
NODE33	<AVG delay: 3771714 us>	< Energy: 23722539920>	<PRR: 18.900 %>	<Collision ratio: 156.100 %>
NODE34	<AVG delay: 6910495 us>	< Energy: 11921394240>	<PRR: 18.000 %>	<Collision ratio: 236.400 %>
NODE35	<AVG delay: 8359478 us>	< Energy: 11624117680>	<PRR: 15.900 %>	<Collision ratio: 241.900 %>
NODE36	<AVG delay: 3781993 us>	< Energy: 11613681440>	<PRR: 39.800 %>	<Collision ratio: 163.000 %>
