MONITORED: % | ON: 84.49% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 85.98% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 13740000
MONITORED: % | ON: 1.09% | TX: 0.05% | RX: 0.06% | INT: 0.00% | ONL: 27.21% | TXL: 2.61% | RXL: 8.08% | INTL: 1.42% | Energy: 924558320
MONITORED: % | ON: 0.72% | TX: 0.02% | RX: 0.05% | INT: 0.00% | ONL: 21.14% | TXL: 1.54% | RXL: 5.69% | INTL: 0.88% | Energy: 1472293120
MONITORED: % | ON: 0.54% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 18.20% | TXL: 1.26% | RXL: 4.29% | INTL: 0.69% | Energy: 1910916000
MONITORED: % | ON: 0.47% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 17.65% | TXL: 1.41% | RXL: 3.82% | INTL: 0.59% | Energy: 2434894080
MONITORED: % | ON: 0.40% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 16.85% | TXL: 1.41% | RXL: 3.34% | INTL: 0.50% | Energy: 2868513760
MONITORED: % | ON: 0.34% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 16.21% | TXL: 1.42% | RXL: 2.95% | INTL: 0.45% | Energy: 3309315600
MONITORED: % | ON: 0.30% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 15.78% | TXL: 1.43% | RXL: 2.68% | INTL: 0.41% | Energy: 3673365840
MONITORED: % | ON: 0.26% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 15.31% | TXL: 1.42% | RXL: 2.42% | INTL: 0.37% | Energy: 4122250480
MONITORED: % | ON: 0.23% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 14.99% | TXL: 1.41% | RXL: 2.24% | INTL: 0.34% | Energy: 4586750320
MONITORED: % | ON: 0.21% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 14.73% | TXL: 1.41% | RXL: 2.09% | INTL: 0.32% | Energy: 5039412480
MONITORED: % | ON: 0.19% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 14.51% | TXL: 1.41% | RXL: 1.96% | INTL: 0.30% | Energy: 5495337120
MONITORED: % | ON: 0.17% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 14.34% | TXL: 1.40% | RXL: 1.87% | INTL: 0.29% | Energy: 5951088320
MONITORED: % | ON: 0.16% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 14.22% | TXL: 1.41% | RXL: 1.79% | INTL: 0.28% | Energy: 6316613840
