packet id 001 loss!!!
packet id 002 delay: 14529840
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 delay: 1847312
packet id 007 loss!!!
packet id 008 delay: 316800
packet id 009 delay: 2572360
packet id 010 delay: 2368152
packet id 011 delay: 179960
packet id 012 loss!!!
packet id 013 delay: 314184
packet id 014 delay: 6160088
packet id 015 delay: 442640
packet id 016 delay: 249040
packet id 017 loss!!!
packet id 018 delay: 3255536
packet id 019 delay: 176200
packet id 020 delay: 239960
packet id 021 delay: 2907128
packet id 022 delay: 216080
packet id 023 delay: 208200
packet id 024 delay: 1971432
packet id 025 delay: 2881848
packet id 026 delay: 231960
packet id 027 delay: 277352
packet id 028 delay: 504320
packet id 029 delay: 119600
packet id 030 delay: 192280
packet id 031 delay: 224960
packet id 032 delay: 235640
packet id 033 delay: 5733320
packet id 034 delay: 174240
packet id 035 delay: 197240
packet id 036 loss!!!
packet id 037 delay: 5864272
packet id 038 delay: 6640096
packet id 039 delay: 351200
packet id 040 delay: 1199240
packet id 041 delay: 187560
packet id 042 delay: 318520
packet id 043 delay: 373720
packet id 044 delay: 262680
packet id 045 delay: 234640
packet id 046 delay: 206680
packet id 047 delay: 344600
packet id 048 delay: 178200
packet id 049 delay: 104200
packet id 050 delay: 865920
packet id 051 delay: 3795552
packet id 052 delay: 1341816
packet id 053 delay: 8304392
packet id 054 delay: 2819064
packet id 055 delay: 1124560
packet id 056 delay: 190840
packet id 057 delay: 664040
packet id 058 delay: 217280
packet id 059 delay: 194680
packet id 060 delay: 157280
packet id 061 delay: 736040
packet id 062 delay: 631360
packet id 063 delay: 176200
packet id 064 delay: 234640
packet id 065 delay: 427000
packet id 066 delay: 241320
packet id 067 delay: 904080
packet id 068 delay: 178200
packet id 069 delay: 413000
packet id 070 delay: 165680
packet id 071 delay: 265360
packet id 072 delay: 218280
packet id 073 delay: 247320
packet id 074 delay: 206360
packet id 075 delay: 626760
packet id 076 delay: 205960
packet id 077 delay: 722360
packet id 078 delay: 207920
packet id 079 loss!!!
packet id 080 delay: 244360
packet id 081 delay: 288872
packet id 082 delay: 232960
packet id 083 delay: 231680
packet id 084 delay: 220320
packet id 085 delay: 328720
packet id 086 delay: 131240
packet id 087 delay: 440640
packet id 088 delay: 218280
packet id 089 delay: 287400
packet id 090 delay: 96560
packet id 091 delay: 200240
packet id 092 delay: 235640
packet id 093 delay: 1222744
packet id 094 delay: 391720
packet id 095 delay: 1771992
packet id 096 delay: 225960
packet id 097 delay: 219240
packet id 098 delay: 214640
packet id 099 delay: 441240
packet id 100 delay: 172200
packet id 101 delay: 475240
packet id 102 delay: 216280
packet id 103 delay: 181320
packet id 104 delay: 414240
packet id 105 delay: 547600
packet id 106 delay: 211040
packet id 107 delay: 189600
packet id 108 delay: 229960
packet id 109 delay: 111920
packet id 110 delay: 601880
packet id 111 delay: 154280
packet id 112 delay: 127560
packet id 113 delay: 856080
packet id 114 delay: 1790544
packet id 115 delay: 121560
packet id 116 delay: 360600
packet id 117 delay: 172560
packet id 118 delay: 142240
packet id 119 delay: 400640
packet id 120 delay: 264600
packet id 121 delay: 2171384
packet id 122 delay: 186000
packet id 123 delay: 602880
packet id 124 delay: 171200
packet id 125 delay: 263360
packet id 126 loss!!!
packet id 127 delay: 278032
packet id 128 delay: 153200
packet id 129 delay: 532800
packet id 130 delay: 556240
packet id 131 delay: 212600
packet id 132 delay: 591360
packet id 133 delay: 585320
packet id 134 delay: 282720
packet id 135 delay: 224400
packet id 136 delay: 292840
packet id 137 delay: 177880
packet id 138 delay: 185880
packet id 139 delay: 254544
packet id 140 delay: 205200
packet id 141 delay: 228960
packet id 142 delay: 254000
packet id 143 delay: 271120
packet id 144 delay: 250040
packet id 145 delay: 252040
packet id 146 delay: 1226192
packet id 147 delay: 124560
packet id 148 delay: 211600
packet id 149 delay: 543840
packet id 150 delay: 732880
packet id 151 delay: 1384720
packet id 152 delay: 158280
packet id 153 delay: 2023472
packet id 154 delay: 250000
packet id 155 delay: 1454160
packet id 156 delay: 215080
packet id 157 loss!!!
packet id 158 delay: 511176
packet id 159 delay: 185880
packet id 160 delay: 193920
packet id 161 delay: 247000
packet id 162 delay: 190600
packet id 163 delay: 258680
packet id 164 delay: 1142616
packet id 165 delay: 949760
packet id 166 loss!!!
packet id 167 delay: 207920
packet id 168 delay: 551600
packet id 169 delay: 230960
packet id 170 delay: 284720
packet id 171 delay: 196240
packet id 172 delay: 458760
packet id 173 delay: 113200
packet id 174 delay: 227960
packet id 175 delay: 561120
packet id 176 delay: 113200
packet id 177 delay: 232640
packet id 178 delay: 240000
packet id 179 delay: 576400
packet id 180 delay: 607320
packet id 181 delay: 173360
packet id 182 delay: 466432
packet id 183 delay: 1249640
packet id 184 delay: 1194280
packet id 185 delay: 165680
packet id 186 loss!!!
packet id 187 delay: 1286080
packet id 188 delay: 456320
packet id 189 delay: 244960
packet id 190 delay: 184880
packet id 191 delay: 132240
packet id 192 delay: 217560
packet id 193 delay: 279200
packet id 194 delay: 1086720
packet id 195 delay: 235680
packet id 196 delay: 669720
packet id 197 delay: 1024048
packet id 198 delay: 768120
packet id 199 delay: 296400
packet id 200 delay: 254000
packet id 201 delay: 273240
packet id 202 loss!!!
packet id 203 delay: 177320
packet id 204 delay: 3623632
packet id 205 delay: 206840
packet id 206 delay: 234640
packet id 207 delay: 178880
packet id 208 delay: 268360
packet id 209 delay: 590880
packet id 210 delay: 173200
packet id 211 delay: 110200
packet id 212 delay: 201600
packet id 213 delay: 266360
packet id 214 delay: 220280
packet id 215 delay: 251000
packet id 216 delay: 326800
packet id 217 delay: 1844616
packet id 218 delay: 173360
packet id 219 delay: 200240
packet id 220 delay: 291848
packet id 221 delay: 2448880
packet id 222 delay: 1054296
packet id 223 delay: 241160
packet id 224 delay: 225960
packet id 225 delay: 281720
packet id 226 delay: 2826568
packet id 227 delay: 235320
packet id 228 delay: 219720
packet id 229 delay: 222320
packet id 230 delay: 362176
packet id 231 delay: 274040
packet id 232 delay: 1603960
packet id 233 delay: 191600
packet id 234 delay: 1003200
packet id 235 delay: 238640
packet id 236 delay: 423240
packet id 237 delay: 196240
packet id 238 delay: 194240
packet id 239 delay: 1108728
packet id 240 delay: 222280
packet id 241 delay: 189080
packet id 242 delay: 426520
packet id 243 delay: 269360
packet id 244 delay: 179200
packet id 245 delay: 865496
packet id 246 loss!!!
packet id 247 delay: 218280
packet id 248 delay: 221280
packet id 249 delay: 241200
packet id 250 delay: 257400
packet id 251 delay: 143920
packet id 252 delay: 1276320
packet id 253 delay: 249000
packet id 254 delay: 168200
packet id 255 delay: 189160
packet id 256 delay: 1050416
packet id 257 delay: 234640
packet id 258 delay: 170200
packet id 259 delay: 122560
packet id 260 loss!!!
packet id 261 delay: 235320
packet id 262 delay: 180240
packet id 263 delay: 1698176
packet id 264 delay: 385560
packet id 265 delay: 250040
packet id 266 delay: 231640
packet id 267 delay: 683960
packet id 268 delay: 230920
packet id 269 delay: 284096
packet id 270 delay: 254000
packet id 271 delay: 2536424
packet id 272 delay: 775440
packet id 273 delay: 200920
packet id 274 delay: 262720
packet id 275 delay: 413280
packet id 276 delay: 205960
packet id 277 delay: 460560
packet id 278 delay: 277040
packet id 279 delay: 319000
packet id 280 delay: 163960
packet id 281 delay: 274040
packet id 282 delay: 2161904
packet id 283 delay: 206960
packet id 284 delay: 320720
packet id 285 delay: 4069152
packet id 286 delay: 555440
packet id 287 delay: 192808
packet id 288 delay: 1091880
packet id 289 delay: 198240
packet id 290 delay: 396400
packet id 291 delay: 961320
packet id 292 delay: 149200
packet id 293 loss!!!
packet id 294 delay: 279040
packet id 295 delay: 127280
packet id 296 delay: 282720
packet id 297 delay: 1584264
packet id 298 delay: 384360
packet id 299 delay: 189240
packet id 300 delay: 157256
packet id 301 delay: 472880
packet id 302 delay: 253240
packet id 303 delay: 177240
packet id 304 delay: 177240
packet id 305 delay: 881320
packet id 306 delay: 188560
packet id 307 delay: 3145744
packet id 308 delay: 268400
packet id 309 delay: 222280
packet id 310 delay: 337320
packet id 311 delay: 207920
packet id 312 delay: 190320
packet id 313 delay: 706880
packet id 314 loss!!!
packet id 315 delay: 199920
packet id 316 loss!!!
packet id 317 delay: 229960
packet id 318 delay: 211280
packet id 319 delay: 635880
packet id 320 loss!!!
packet id 321 delay: 1435928
packet id 322 delay: 185560
packet id 323 delay: 176200
packet id 324 delay: 2613160
packet id 325 delay: 81200
packet id 326 delay: 1596456
packet id 327 delay: 675200
packet id 328 delay: 3132608
packet id 329 delay: 150200
packet id 330 delay: 3412904
packet id 331 delay: 235680
packet id 332 delay: 487432
packet id 333 delay: 246600
packet id 334 delay: 199360
packet id 335 delay: 204960
packet id 336 delay: 236640
packet id 337 delay: 436480
packet id 338 delay: 239160
packet id 339 delay: 277208
packet id 340 delay: 261680
packet id 341 delay: 134240
packet id 342 delay: 290280
packet id 343 delay: 1589400
packet id 344 delay: 242320
packet id 345 delay: 342160
packet id 346 delay: 231960
packet id 347 delay: 1309688
packet id 348 delay: 294080
packet id 349 delay: 4212136
packet id 350 delay: 365760
packet id 351 delay: 183400
packet id 352 delay: 275040
packet id 353 delay: 180960
packet id 354 delay: 208520
packet id 355 delay: 610304
packet id 356 delay: 928864
packet id 357 delay: 1379624
packet id 358 delay: 226040
packet id 359 delay: 4504768
packet id 360 delay: 2122000
packet id 361 delay: 1425104
packet id 362 delay: 201360
packet id 363 delay: 215600
packet id 364 delay: 251000
packet id 365 delay: 582600
packet id 366 delay: 537040
packet id 367 delay: 261680
packet id 368 delay: 212960
packet id 369 delay: 184880
packet id 370 delay: 290400
packet id 371 delay: 1548928
packet id 372 delay: 254040
packet id 373 delay: 518200
packet id 374 delay: 188560
packet id 375 delay: 649000
packet id 376 delay: 598080
packet id 377 loss!!!
packet id 378 delay: 369488
packet id 379 delay: 257720
packet id 380 delay: 527176
packet id 381 delay: 289400
packet id 382 delay: 896264
packet id 383 delay: 209440
packet id 384 loss!!!
packet id 385 delay: 224960
packet id 386 delay: 108200
packet id 387 delay: 301040
packet id 388 loss!!!
packet id 389 delay: 291400
packet id 390 delay: 172640
packet id 391 delay: 208920
packet id 392 delay: 244360
packet id 393 delay: 632600
packet id 394 delay: 2158232
packet id 395 delay: 1203536
packet id 396 delay: 2086112
packet id 397 delay: 766360
packet id 398 delay: 229960
packet id 399 delay: 170640
packet id 400 delay: 177560
packet id 401 delay: 313480
packet id 402 delay: 387400
packet id 403 delay: 200240
packet id 404 delay: 179976
packet id 405 delay: 1202320
packet id 406 delay: 508360
packet id 407 delay: 208112
packet id 408 delay: 451168
packet id 409 delay: 329000
packet id 410 delay: 447560
packet id 411 delay: 177880
packet id 412 delay: 128560
packet id 413 loss!!!
packet id 414 delay: 264600
packet id 415 delay: 350360
packet id 416 delay: 270400
packet id 417 delay: 4221800
packet id 418 delay: 2827256
packet id 419 delay: 226280
packet id 420 delay: 300696
packet id 421 delay: 3573792
packet id 422 loss!!!
packet id 423 delay: 567800
packet id 424 delay: 236640
packet id 425 delay: 589672
packet id 426 delay: 2168440
packet id 427 delay: 273040
packet id 428 delay: 2334760
packet id 429 delay: 388432
packet id 430 delay: 669080
packet id 431 delay: 209360
packet id 432 delay: 206920
packet id 433 delay: 116880
packet id 434 loss!!!
packet id 435 delay: 3957488
packet id 436 delay: 2158600
packet id 437 delay: 246040
packet id 438 delay: 151600
packet id 439 delay: 1571432
packet id 440 loss!!!
packet id 441 delay: 742480
packet id 442 delay: 3974464
packet id 443 delay: 266360
packet id 444 delay: 237640
packet id 445 delay: 650320
packet id 446 delay: 267600
packet id 447 delay: 2436560
packet id 448 delay: 1062544
packet id 449 delay: 889096
packet id 450 delay: 599640
packet id 451 delay: 191000
packet id 452 delay: 252000
packet id 453 delay: 1346840
packet id 454 delay: 251680
packet id 455 delay: 264360
packet id 456 delay: 215600
packet id 457 delay: 837240
packet id 458 loss!!!
packet id 459 delay: 635040
packet id 460 delay: 641640
packet id 461 delay: 195680
packet id 462 delay: 350032
packet id 463 delay: 1169616
packet id 464 delay: 3873600
packet id 465 loss!!!
packet id 466 delay: 1047640
packet id 467 loss!!!
packet id 468 loss!!!
packet id 469 delay: 212640
packet id 470 delay: 4819632
packet id 471 delay: 7006304
packet id 472 delay: 3231240
packet id 473 delay: 199560
packet id 474 delay: 255680
packet id 475 delay: 227480
packet id 476 delay: 623360
packet id 477 delay: 211960
packet id 478 delay: 374440
packet id 479 delay: 201920
packet id 480 delay: 516000
packet id 481 delay: 5128904
packet id 482 delay: 292400
packet id 483 delay: 187560
packet id 484 delay: 195600
packet id 485 delay: 168560
packet id 486 delay: 1347600
packet id 487 delay: 216280
packet id 488 delay: 531280
packet id 489 delay: 228960
packet id 490 delay: 1067600
packet id 491 delay: 300920
packet id 492 delay: 2449232
packet id 493 delay: 288400
packet id 494 delay: 255680
packet id 495 delay: 348920
packet id 496 delay: 177880
packet id 497 delay: 251000
packet id 498 delay: 192560
packet id 499 delay: 486080
packet id 500 delay: 227960
packet id 501 delay: 81200
packet id 502 delay: 210240
packet id 503 delay: 214400
packet id 504 delay: 1041544
packet id 505 loss!!!
packet id 506 delay: 5524632
packet id 507 delay: 1036616
packet id 508 delay: 189240
packet id 509 delay: 662000
packet id 510 loss!!!
packet id 511 delay: 3375904
packet id 512 delay: 179320
packet id 513 loss!!!
packet id 514 delay: 712472
packet id 515 delay: 235640
packet id 516 delay: 209040
packet id 517 delay: 279720
packet id 518 delay: 221280
packet id 519 delay: 150320
packet id 520 delay: 366240
packet id 521 delay: 1000792
packet id 522 delay: 3086024
packet id 523 delay: 241320
packet id 524 loss!!!
packet id 525 delay: 114880
packet id 526 delay: 332360
packet id 527 delay: 251000
packet id 528 delay: 183200
packet id 529 delay: 137920
packet id 530 delay: 624856
packet id 531 delay: 213040
packet id 532 delay: 3248872
packet id 533 delay: 274240
packet id 534 delay: 222280
packet id 535 delay: 216960
packet id 536 delay: 9753224
packet id 537 delay: 6547520
packet id 538 loss!!!
packet id 539 delay: 355360
packet id 540 delay: 332680
packet id 541 delay: 223040
packet id 542 delay: 530096
packet id 543 delay: 456792
packet id 544 loss!!!
packet id 545 loss!!!
packet id 546 delay: 259640
packet id 547 delay: 609984
packet id 548 delay: 227960
packet id 549 delay: 188000
packet id 550 delay: 201360
packet id 551 delay: 382720
packet id 552 delay: 1586192
packet id 553 delay: 212640
packet id 554 delay: 358832
packet id 555 delay: 213120
packet id 556 delay: 1297096
packet id 557 delay: 433112
packet id 558 delay: 324720
packet id 559 delay: 378680
packet id 560 delay: 173360
packet id 561 delay: 1276304
packet id 562 delay: 550960
packet id 563 delay: 629840
packet id 564 delay: 337400
packet id 565 delay: 4234480
packet id 566 delay: 3231240
packet id 567 delay: 393312
packet id 568 delay: 1362400
packet id 569 delay: 340280
packet id 570 delay: 195328
packet id 571 delay: 181720
packet id 572 delay: 3009640
packet id 573 delay: 503600
packet id 574 delay: 216280
packet id 575 delay: 88880
packet id 576 delay: 209920
packet id 577 delay: 230960
packet id 578 delay: 1589960
packet id 579 loss!!!
packet id 580 delay: 557280
packet id 581 delay: 498328
packet id 582 delay: 266360
packet id 583 delay: 297560
packet id 584 delay: 231000
packet id 585 delay: 163880
packet id 586 delay: 179320
packet id 587 delay: 1756336
packet id 588 delay: 970712
packet id 589 delay: 518320
packet id 590 delay: 1198816
packet id 591 delay: 289280
packet id 592 delay: 160280
packet id 593 delay: 1430200
packet id 594 delay: 246320
packet id 595 delay: 273040
packet id 596 delay: 330328
packet id 597 delay: 230960
packet id 598 delay: 909976
packet id 599 delay: 201920
packet id 600 delay: 686400
packet id 601 delay: 1005360
packet id 602 delay: 287400
packet id 603 delay: 1435296
packet id 604 delay: 662880
packet id 605 delay: 574560
packet id 606 loss!!!
packet id 607 delay: 231640
packet id 608 delay: 980160
packet id 609 delay: 198240
packet id 610 delay: 180920
packet id 611 delay: 520480
packet id 612 delay: 195240
packet id 613 delay: 279720
packet id 614 delay: 211600
packet id 615 delay: 274040
packet id 616 delay: 180920
packet id 617 delay: 3634040
packet id 618 delay: 968552
packet id 619 delay: 221280
packet id 620 delay: 701440
packet id 621 delay: 2438152
packet id 622 delay: 4226504
packet id 623 loss!!!
packet id 624 delay: 228960
packet id 625 delay: 440912
packet id 626 delay: 511720
packet id 627 delay: 941856
packet id 628 delay: 592752
packet id 629 delay: 206920
packet id 630 delay: 81200
packet id 631 delay: 411544
packet id 632 delay: 1484512
packet id 633 delay: 4246432
packet id 634 delay: 1773360
packet id 635 delay: 940552
packet id 636 delay: 210600
packet id 637 loss!!!
packet id 638 delay: 215360
packet id 639 loss!!!
packet id 640 delay: 565960
packet id 641 delay: 176200
packet id 642 delay: 1528616
packet id 643 delay: 281400
packet id 644 loss!!!
packet id 645 delay: 88880
packet id 646 delay: 132240
packet id 647 delay: 183976
packet id 648 delay: 351640
packet id 649 delay: 4344744
packet id 650 delay: 155200
packet id 651 delay: 3178104
packet id 652 delay: 2778472
packet id 653 delay: 179320
packet id 654 delay: 246848
packet id 655 loss!!!
packet id 656 delay: 272720
packet id 657 delay: 222280
packet id 658 delay: 3630136
packet id 659 delay: 321088
packet id 660 delay: 188560
packet id 661 delay: 1703600
packet id 662 delay: 134960
packet id 663 delay: 165960
packet id 664 delay: 177880
packet id 665 delay: 1956976
packet id 666 delay: 280720
packet id 667 delay: 5231880
packet id 668 delay: 240640
packet id 669 delay: 186000
packet id 670 delay: 168280
packet id 671 delay: 1159272
packet id 672 delay: 2228160
packet id 673 delay: 244320
packet id 674 delay: 288200
packet id 675 delay: 767480
packet id 676 delay: 157280
packet id 677 delay: 292680
packet id 678 delay: 4190016
packet id 679 delay: 242992
packet id 680 delay: 455712
packet id 681 delay: 513872
packet id 682 delay: 643520
packet id 683 delay: 1002248
packet id 684 delay: 1308392
packet id 685 delay: 424712
packet id 686 delay: 178200
packet id 687 delay: 348560
packet id 688 delay: 193680
packet id 689 delay: 2392832
packet id 690 delay: 294080
packet id 691 delay: 684480
packet id 692 delay: 204360
packet id 693 delay: 153120
packet id 694 loss!!!
packet id 695 delay: 656272
packet id 696 delay: 1098088
packet id 697 delay: 233240
packet id 698 delay: 709680
