packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 delay: 803840
packet id 004 delay: 1689864
packet id 005 loss!!!
packet id 006 delay: 1264656
packet id 007 delay: 1003240
packet id 008 delay: 2299064
packet id 009 delay: 1074504
packet id 010 delay: 786520
packet id 011 delay: 1281144
packet id 012 delay: 975048
packet id 013 delay: 846840
packet id 014 delay: 1402824
packet id 015 loss!!!
packet id 016 delay: 812256
packet id 017 delay: 1351520
packet id 018 delay: 2957408
packet id 019 delay: 1016296
packet id 020 delay: 1012672
packet id 021 loss!!!
packet id 022 delay: 1147864
packet id 023 delay: 941952
packet id 024 delay: 891408
packet id 025 delay: 991560
packet id 026 delay: 949464
packet id 027 delay: 923352
packet id 028 delay: 922240
packet id 029 delay: 1062240
packet id 030 delay: 3051576
packet id 031 delay: 923408
packet id 032 loss!!!
packet id 033 delay: 978448
packet id 034 delay: 1942528
packet id 035 delay: 3896216
packet id 036 delay: 2730472
packet id 037 delay: 1112008
packet id 038 delay: 1258104
packet id 039 delay: 1245992
packet id 040 delay: 872672
packet id 041 delay: 883672
packet id 042 delay: 971408
packet id 043 delay: 737800
packet id 044 delay: 862576
packet id 045 delay: 1043952
packet id 046 delay: 836672
packet id 047 delay: 913184
packet id 048 delay: 965240
packet id 049 delay: 998352
packet id 050 delay: 966672
packet id 051 delay: 1259640
packet id 052 loss!!!
packet id 053 delay: 735160
packet id 054 delay: 1587472
packet id 055 delay: 1036352
packet id 056 delay: 954392
packet id 057 delay: 925408
packet id 058 delay: 938296
packet id 059 loss!!!
packet id 060 delay: 1025184
packet id 061 delay: 1006016
packet id 062 delay: 956144
packet id 063 delay: 938120
packet id 064 delay: 2942184
packet id 065 delay: 1166600
packet id 066 delay: 3013128
packet id 067 delay: 945256
packet id 068 delay: 2558392
packet id 069 delay: 1646192
packet id 070 delay: 883368
packet id 071 delay: 1518576
packet id 072 delay: 1139864
packet id 073 delay: 674216
packet id 074 delay: 1669608
packet id 075 delay: 1002296
packet id 076 delay: 938352
packet id 077 delay: 933936
packet id 078 delay: 1109976
packet id 079 delay: 1060032
packet id 080 delay: 859632
packet id 081 delay: 915464
packet id 082 delay: 1078520
packet id 083 delay: 1020352
packet id 084 delay: 1009496
packet id 085 delay: 672008
packet id 086 delay: 1249600
packet id 087 delay: 3270680
packet id 088 loss!!!
packet id 089 delay: 851992
packet id 090 delay: 1623448
packet id 091 delay: 898464
packet id 092 delay: 1721600
packet id 093 delay: 1039448
packet id 094 delay: 823464
packet id 095 delay: 1068296
packet id 096 delay: 1052504
packet id 097 delay: 815728
packet id 098 delay: 789896
packet id 099 delay: 716424
packet id 100 delay: 894256
packet id 101 delay: 894840
packet id 102 delay: 921408
packet id 103 delay: 1043672
packet id 104 delay: 1035880
packet id 105 delay: 822216
packet id 106 delay: 859728
packet id 107 delay: 909288
packet id 108 delay: 919088
packet id 109 delay: 715216
packet id 110 delay: 926880
packet id 111 delay: 949520
packet id 112 delay: 690328
packet id 113 delay: 966032
packet id 114 delay: 1144184
packet id 115 delay: 930560
packet id 116 delay: 1757520
packet id 117 delay: 1028448
packet id 118 delay: 976560
packet id 119 delay: 1010272
packet id 120 delay: 1269176
packet id 121 delay: 2247616
packet id 122 delay: 917784
packet id 123 delay: 1017448
packet id 124 delay: 776160
packet id 125 delay: 2004952
packet id 126 delay: 1559816
packet id 127 delay: 1695904
packet id 128 delay: 1045032
packet id 129 delay: 943240
packet id 130 loss!!!
packet id 131 delay: 1260376
packet id 132 delay: 954256
packet id 133 delay: 4070304
packet id 134 delay: 992256
packet id 135 delay: 923992
packet id 136 delay: 1042408
packet id 137 delay: 974048
packet id 138 delay: 1054184
packet id 139 delay: 1518600
packet id 140 delay: 957408
packet id 141 delay: 1761088
packet id 142 delay: 843352
packet id 143 delay: 1084184
packet id 144 delay: 843256
packet id 145 delay: 1023240
packet id 146 delay: 857296
packet id 147 delay: 823608
packet id 148 delay: 789368
packet id 149 delay: 1366776
packet id 150 delay: 1708312
packet id 151 delay: 2286088
packet id 152 delay: 971296
packet id 153 delay: 990504
packet id 154 delay: 1137336
packet id 155 delay: 1055272
packet id 156 delay: 846728
packet id 157 delay: 688120
packet id 158 delay: 1059088
packet id 159 delay: 837672
packet id 160 delay: 829368
packet id 161 delay: 764256
packet id 162 delay: 1084088
packet id 163 loss!!!
packet id 164 delay: 1070464
