packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 loss!!!
packet id 007 loss!!!
packet id 008 loss!!!
packet id 009 loss!!!
packet id 010 loss!!!
packet id 011 loss!!!
packet id 012 loss!!!
packet id 013 loss!!!
packet id 014 loss!!!
packet id 015 loss!!!
packet id 016 loss!!!
packet id 017 loss!!!
packet id 018 loss!!!
packet id 019 loss!!!
packet id 020 loss!!!
packet id 021 loss!!!
packet id 022 loss!!!
packet id 023 loss!!!
packet id 024 loss!!!
packet id 025 loss!!!
packet id 026 loss!!!
packet id 027 loss!!!
packet id 028 loss!!!
packet id 029 loss!!!
packet id 030 loss!!!
packet id 031 loss!!!
packet id 032 loss!!!
packet id 033 loss!!!
packet id 034 loss!!!
packet id 035 loss!!!
packet id 036 loss!!!
packet id 037 loss!!!
packet id 038 loss!!!
packet id 039 loss!!!
packet id 040 loss!!!
packet id 041 loss!!!
packet id 042 loss!!!
packet id 043 loss!!!
packet id 044 loss!!!
packet id 045 loss!!!
packet id 046 loss!!!
packet id 047 loss!!!
packet id 048 loss!!!
packet id 049 loss!!!
packet id 050 loss!!!
packet id 051 loss!!!
packet id 052 loss!!!
packet id 053 loss!!!
packet id 054 loss!!!
packet id 055 loss!!!
packet id 056 loss!!!
packet id 057 loss!!!
packet id 058 loss!!!
packet id 059 loss!!!
packet id 060 loss!!!
packet id 061 loss!!!
packet id 062 loss!!!
packet id 063 loss!!!
packet id 064 delay: 321168
packet id 065 delay: 263640
packet id 066 delay: 168200
packet id 067 delay: 164336
packet id 068 delay: 157600
packet id 069 delay: 251640
packet id 070 delay: 262376
packet id 071 delay: 277560
packet id 072 delay: 172016
packet id 073 delay: 160904
packet id 074 delay: 285408
packet id 075 delay: 188072
packet id 076 delay: 294200
packet id 077 delay: 208008
packet id 078 delay: 198600
packet id 079 delay: 244104
packet id 080 delay: 177488
packet id 081 delay: 231720
packet id 082 delay: 165888
packet id 083 delay: 97600
packet id 084 delay: 202432
packet id 085 delay: 250712
packet id 086 delay: 295696
packet id 087 delay: 147432
packet id 088 delay: 133960
packet id 089 delay: 161752
packet id 090 delay: 221168
packet id 091 delay: 139960
packet id 092 delay: 212200
packet id 093 delay: 150544
packet id 094 delay: 73336
packet id 095 delay: 207952
packet id 096 delay: 86808
packet id 097 delay: 163280
packet id 098 delay: 126072
packet id 099 delay: 262280
packet id 100 delay: 199200
packet id 101 delay: 241112
packet id 102 delay: 98808
packet id 103 delay: 237904
packet id 104 delay: 219744
packet id 105 delay: 199544
packet id 106 delay: 249856
packet id 107 delay: 260168
packet id 108 delay: 248336
packet id 109 delay: 274432
packet id 110 delay: 188432
packet id 111 delay: 138752
packet id 112 delay: 84336
packet id 113 delay: 138808
packet id 114 delay: 120600
packet id 115 delay: 158224
packet id 116 delay: 253960
packet id 117 delay: 225680
packet id 118 delay: 231952
packet id 119 delay: 247640
packet id 120 delay: 226376
packet id 121 loss!!!
packet id 122 delay: 160904
packet id 123 delay: 224240
packet id 124 delay: 197200
packet id 125 delay: 211640
packet id 126 delay: 227496
packet id 127 delay: 164904
packet id 128 delay: 225184
packet id 129 delay: 207488
packet id 130 delay: 76600
packet id 131 loss!!!
packet id 132 delay: 607528
packet id 133 delay: 258640
packet id 134 delay: 504280
packet id 135 delay: 90072
packet id 136 delay: 157432
packet id 137 delay: 323688
packet id 138 delay: 310640
packet id 139 delay: 289376
packet id 140 delay: 239640
packet id 141 delay: 185808
packet id 142 delay: 170640
packet id 143 delay: 162808
packet id 144 delay: 299696
packet id 145 delay: 336168
packet id 146 delay: 332800
packet id 147 delay: 185640
packet id 148 delay: 120488
packet id 149 delay: 233272
packet id 150 delay: 233432
packet id 151 delay: 602200
packet id 152 delay: 167640
packet id 153 delay: 429808
packet id 154 delay: 160280
packet id 155 delay: 180696
packet id 156 delay: 171200
packet id 157 delay: 287168
packet id 158 delay: 101072
packet id 159 delay: 77128
packet id 160 delay: 222432
packet id 161 delay: 139512
packet id 162 delay: 239112
packet id 163 delay: 255168
packet id 164 delay: 157544
packet id 165 delay: 245064
packet id 166 delay: 202384
packet id 167 delay: 206896
packet id 168 delay: 291536
packet id 169 delay: 234640
packet id 170 delay: 178272
packet id 171 delay: 129600
packet id 172 delay: 316112
packet id 173 delay: 263160
packet id 174 delay: 273712
packet id 175 delay: 401080
packet id 176 delay: 153200
packet id 177 delay: 211376
packet id 178 delay: 175440
packet id 179 delay: 186904
packet id 180 delay: 205000
packet id 181 delay: 205432
packet id 182 delay: 254352
packet id 183 delay: 309240
packet id 184 delay: 324120
packet id 185 delay: 243536
packet id 186 delay: 269200
packet id 187 delay: 269376
packet id 188 delay: 87808
packet id 189 delay: 231168
packet id 190 delay: 214904
packet id 191 delay: 150808
packet id 192 delay: 308232
packet id 193 delay: 249168
packet id 194 delay: 179432
packet id 195 delay: 66128
packet id 196 delay: 256432
packet id 197 delay: 265112
packet id 198 delay: 120488
packet id 199 delay: 202280
packet id 200 delay: 165752
packet id 201 delay: 82336
packet id 202 delay: 165336
packet id 203 delay: 174960
packet id 204 delay: 140696
packet id 205 delay: 150432
packet id 206 delay: 229432
packet id 207 delay: 316640
packet id 208 delay: 318168
packet id 209 delay: 303168
packet id 210 delay: 229008
packet id 211 delay: 329952
packet id 212 delay: 270200
packet id 213 delay: 161808
packet id 214 delay: 246640
packet id 215 delay: 93544
packet id 216 delay: 177648
packet id 217 delay: 150696
packet id 218 delay: 291168
packet id 219 delay: 201360
packet id 220 delay: 223264
packet id 221 loss!!!
packet id 222 delay: 158072
packet id 223 delay: 181224
packet id 224 delay: 194336
packet id 225 delay: 231040
packet id 226 delay: 335904
packet id 227 delay: 186448
packet id 228 delay: 177432
packet id 229 delay: 177168
packet id 230 delay: 119336
packet id 231 delay: 148224
packet id 232 delay: 194744
packet id 233 delay: 178816
packet id 234 delay: 224480
packet id 235 delay: 219488
packet id 236 delay: 319792
packet id 237 delay: 196072
packet id 238 delay: 229432
packet id 239 delay: 262168
packet id 240 delay: 398440
packet id 241 delay: 672160
packet id 242 delay: 145224
packet id 243 delay: 255224
packet id 244 delay: 130128
packet id 245 delay: 218224
packet id 246 delay: 282696
packet id 247 delay: 267224
packet id 248 delay: 230376
packet id 249 delay: 216232
packet id 250 delay: 206064
packet id 251 delay: 176544
packet id 252 delay: 154168
packet id 253 delay: 230696
packet id 254 loss!!!
packet id 255 delay: 76200
packet id 256 delay: 100336
packet id 257 delay: 115200
packet id 258 delay: 193544
packet id 259 delay: 122808
packet id 260 delay: 305640
packet id 261 delay: 314160
packet id 262 delay: 199904
packet id 263 delay: 140696
packet id 264 delay: 113752
packet id 265 delay: 570960
packet id 266 delay: 114696
packet id 267 delay: 236272
packet id 268 delay: 176696
packet id 269 delay: 171752
packet id 270 delay: 250016
packet id 271 loss!!!
packet id 272 delay: 206112
packet id 273 delay: 173560
packet id 274 delay: 100280
packet id 275 delay: 154168
packet id 276 delay: 160200
packet id 277 delay: 206904
packet id 278 delay: 139384
packet id 279 delay: 100280
packet id 280 delay: 158200
packet id 281 delay: 181600
packet id 282 delay: 197168
packet id 283 delay: 120488
packet id 284 delay: 265144
packet id 285 delay: 86808
packet id 286 delay: 184696
packet id 287 delay: 176048
packet id 288 delay: 96808
packet id 289 delay: 237168
packet id 290 delay: 126592
packet id 291 delay: 224168
packet id 292 delay: 181488
packet id 293 delay: 231640
packet id 294 delay: 167168
packet id 295 delay: 154168
packet id 296 delay: 224640
packet id 297 delay: 397192
packet id 298 delay: 251960
packet id 299 delay: 400520
packet id 300 delay: 132224
packet id 301 delay: 167808
packet id 302 delay: 246432
packet id 303 delay: 156544
packet id 304 delay: 286376
packet id 305 delay: 152544
packet id 306 delay: 197544
packet id 307 delay: 306480
packet id 308 delay: 197168
packet id 309 delay: 133072
packet id 310 delay: 75704
packet id 311 delay: 175224
packet id 312 delay: 270584
packet id 313 delay: 109128
packet id 314 delay: 198224
packet id 315 delay: 140696
packet id 316 delay: 201752
packet id 317 delay: 109336
packet id 318 delay: 83336
packet id 319 delay: 332200
packet id 320 delay: 67600
packet id 321 delay: 205432
packet id 322 delay: 97072
packet id 323 delay: 154168
packet id 324 delay: 208960
packet id 325 delay: 261640
packet id 326 delay: 93704
packet id 327 delay: 366368
packet id 328 delay: 234632
packet id 329 delay: 218640
packet id 330 delay: 105336
packet id 331 delay: 301000
packet id 332 delay: 151808
packet id 333 delay: 154168
packet id 334 delay: 193800
packet id 335 delay: 145488
packet id 336 delay: 224696
packet id 337 delay: 177224
packet id 338 delay: 444400
packet id 339 delay: 170904
packet id 340 delay: 137992
packet id 341 delay: 129336
packet id 342 delay: 185488
packet id 343 delay: 421032
packet id 344 delay: 175376
packet id 345 delay: 470120
packet id 346 delay: 257200
packet id 347 delay: 107016
packet id 348 delay: 504360
packet id 349 delay: 160488
packet id 350 delay: 169456
packet id 351 loss!!!
packet id 352 delay: 167640
packet id 353 delay: 245768
packet id 354 delay: 585360
packet id 355 delay: 1440672
packet id 356 delay: 155600
packet id 357 delay: 245960
packet id 358 delay: 129544
packet id 359 delay: 145696
packet id 360 delay: 168752
packet id 361 delay: 165168
packet id 362 delay: 243224
packet id 363 delay: 154168
packet id 364 loss!!!
packet id 365 delay: 169336
packet id 366 delay: 240112
packet id 367 delay: 229376
packet id 368 delay: 253432
packet id 369 delay: 162360
packet id 370 delay: 285480
packet id 371 delay: 292432
packet id 372 delay: 148600
packet id 373 delay: 219640
packet id 374 delay: 263840
packet id 375 delay: 144752
packet id 376 delay: 93544
packet id 377 delay: 188640
packet id 378 delay: 481680
packet id 379 delay: 152928
packet id 380 delay: 219640
packet id 381 delay: 251168
packet id 382 delay: 236544
packet id 383 delay: 331808
packet id 384 delay: 73336
packet id 385 delay: 301752
packet id 386 delay: 232120
