packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 delay: 1375408
packet id 004 loss!!!
packet id 005 delay: 908320
packet id 006 delay: 181200
packet id 007 delay: 714544
packet id 008 delay: 297680
packet id 009 delay: 3293552
packet id 010 delay: 382680
packet id 011 delay: 543872
packet id 012 delay: 683864
packet id 013 delay: 3435432
packet id 014 delay: 7456440
packet id 015 delay: 6110584
packet id 016 delay: 6456136
packet id 017 delay: 162240
packet id 018 delay: 570320
packet id 019 delay: 502800
packet id 020 delay: 261320
packet id 021 delay: 958120
packet id 022 delay: 2088088
packet id 023 delay: 719160
packet id 024 delay: 331640
packet id 025 delay: 3294040
packet id 026 delay: 740120
packet id 027 delay: 260600
packet id 028 delay: 306680
packet id 029 delay: 1684456
packet id 030 delay: 444520
packet id 031 delay: 281720
packet id 032 delay: 587832
packet id 033 delay: 276920
packet id 034 delay: 580520
packet id 035 delay: 3186008
packet id 036 delay: 268360
packet id 037 delay: 1323048
packet id 038 delay: 313000
packet id 039 delay: 249680
packet id 040 delay: 231200
packet id 041 delay: 218880
packet id 042 delay: 172200
packet id 043 delay: 284720
packet id 044 delay: 236720
packet id 045 delay: 233880
packet id 046 delay: 674240
packet id 047 delay: 222960
packet id 048 delay: 327400
packet id 049 delay: 250280
packet id 050 delay: 2507800
packet id 051 delay: 2633680
packet id 052 delay: 1649720
packet id 053 delay: 2182560
packet id 054 delay: 3373520
packet id 055 delay: 305720
packet id 056 delay: 1006080
packet id 057 delay: 292400
packet id 058 delay: 666200
packet id 059 delay: 246200
packet id 060 delay: 5045456
packet id 061 delay: 3292344
packet id 062 delay: 258280
packet id 063 delay: 198000
packet id 064 delay: 287440
packet id 065 delay: 1128560
packet id 066 delay: 215200
packet id 067 delay: 1934504
packet id 068 delay: 763160
packet id 069 delay: 3273000
packet id 070 delay: 538560
packet id 071 delay: 554280
packet id 072 delay: 515880
packet id 073 delay: 1398440
packet id 074 delay: 879240
packet id 075 delay: 281040
packet id 076 delay: 237200
packet id 077 delay: 722560
packet id 078 delay: 217240
packet id 079 delay: 172200
packet id 080 delay: 231760
packet id 081 delay: 3019840
packet id 082 delay: 268680
packet id 083 delay: 562240
packet id 084 delay: 2845280
packet id 085 delay: 479200
packet id 086 delay: 3959640
packet id 087 delay: 499360
packet id 088 loss!!!
packet id 089 delay: 230880
packet id 090 delay: 285720
packet id 091 delay: 211200
packet id 092 delay: 958280
packet id 093 delay: 174200
packet id 094 delay: 4613200
packet id 095 delay: 2436480
packet id 096 delay: 691080
packet id 097 delay: 204200
packet id 098 delay: 349760
packet id 099 delay: 175200
packet id 100 delay: 688640
packet id 101 delay: 254880
packet id 102 delay: 227200
packet id 103 delay: 783920
packet id 104 delay: 632240
packet id 105 delay: 258320
packet id 106 delay: 602320
packet id 107 delay: 286680
packet id 108 delay: 735640
packet id 109 delay: 1532920
packet id 110 delay: 263200
packet id 111 delay: 499800
packet id 112 delay: 257880
packet id 113 delay: 2514040
packet id 114 delay: 2331528
packet id 115 delay: 1528800
packet id 116 delay: 5086208
packet id 117 delay: 4015440
packet id 118 delay: 270360
packet id 119 delay: 273680
packet id 120 delay: 1030280
packet id 121 delay: 1858040
packet id 122 delay: 147240
packet id 123 delay: 896568
packet id 124 delay: 287720
packet id 125 delay: 296080
packet id 126 delay: 287720
packet id 127 delay: 3311096
packet id 128 delay: 303040
packet id 129 delay: 3168280
packet id 130 delay: 252600
packet id 131 delay: 751592
packet id 132 delay: 280040
packet id 133 delay: 223720
packet id 134 delay: 188200
packet id 135 loss!!!
packet id 136 delay: 264760
packet id 137 delay: 841120
packet id 138 delay: 555280
packet id 139 delay: 412200
packet id 140 delay: 6091480
packet id 141 delay: 982200
packet id 142 delay: 204200
packet id 143 delay: 471400
packet id 144 delay: 987440
packet id 145 delay: 248400
packet id 146 delay: 4254280
packet id 147 delay: 505360
packet id 148 delay: 3928080
packet id 149 delay: 91880
packet id 150 delay: 394880
packet id 151 delay: 221880
packet id 152 delay: 5817760
packet id 153 delay: 199200
packet id 154 delay: 234040
packet id 155 delay: 459040
packet id 156 loss!!!
packet id 157 delay: 287552
packet id 158 delay: 1255392
packet id 159 delay: 593800
packet id 160 delay: 384320
packet id 161 delay: 274280
packet id 162 delay: 1273560
packet id 163 delay: 621920
packet id 164 delay: 1412720
packet id 165 delay: 216200
packet id 166 delay: 298680
packet id 167 delay: 285720
packet id 168 delay: 201200
packet id 169 delay: 1033920
packet id 170 loss!!!
packet id 171 delay: 455840
packet id 172 delay: 1047992
packet id 173 delay: 230200
packet id 174 delay: 263200
packet id 175 delay: 311080
packet id 176 delay: 506520
packet id 177 delay: 536080
packet id 178 delay: 288680
packet id 179 delay: 1962320
packet id 180 delay: 806120
packet id 181 delay: 519440
packet id 182 delay: 1312280
packet id 183 delay: 245200
packet id 184 loss!!!
packet id 185 delay: 288400
packet id 186 loss!!!
packet id 187 delay: 273200
packet id 188 delay: 2962720
packet id 189 delay: 5225960
packet id 190 delay: 207200
packet id 191 delay: 346400
packet id 192 delay: 1337480
packet id 193 delay: 473920
packet id 194 delay: 1137480
packet id 195 delay: 276360
packet id 196 delay: 392680
packet id 197 delay: 299720
packet id 198 delay: 434400
packet id 199 delay: 614488
packet id 200 delay: 183200
packet id 201 delay: 315720
packet id 202 delay: 956000
packet id 203 delay: 236200
packet id 204 delay: 207200
packet id 205 delay: 2604400
packet id 206 delay: 307800
packet id 207 delay: 2008600
packet id 208 delay: 206200
packet id 209 delay: 243360
packet id 210 delay: 2993160
packet id 211 delay: 295400
packet id 212 delay: 1360320
packet id 213 delay: 613400
packet id 214 delay: 262200
packet id 215 delay: 1280560
packet id 216 delay: 5031640
packet id 217 delay: 2096360
packet id 218 delay: 743840
packet id 219 loss!!!
packet id 220 delay: 321720
packet id 221 delay: 2679520
packet id 222 delay: 172200
packet id 223 delay: 1550720
packet id 224 delay: 212200
packet id 225 delay: 2042560
packet id 226 delay: 266680
packet id 227 delay: 277080
packet id 228 delay: 1319200
packet id 229 delay: 556560
packet id 230 delay: 1066480
packet id 231 delay: 219320
packet id 232 delay: 644000
packet id 233 delay: 282720
packet id 234 delay: 881480
packet id 235 delay: 193320
packet id 236 delay: 250200
packet id 237 delay: 5070880
packet id 238 delay: 258680
packet id 239 delay: 177200
packet id 240 delay: 730760
packet id 241 delay: 326568
packet id 242 delay: 760720
packet id 243 delay: 1350880
packet id 244 loss!!!
