packet id 001 loss!!!
packet id 002 delay: 499928
packet id 003 delay: 597648
packet id 004 delay: 713288
packet id 005 delay: 2370104
packet id 006 delay: 1359512
packet id 007 delay: 526192
packet id 008 delay: 1599024
packet id 009 delay: 1412216
packet id 010 delay: 2730408
packet id 011 delay: 2679856
packet id 012 delay: 2542288
packet id 013 delay: 691632
packet id 014 delay: 5023136
packet id 015 delay: 1820960
packet id 016 delay: 734856
packet id 017 delay: 584856
packet id 018 delay: 581816
packet id 019 delay: 7301168
packet id 020 delay: 3337952
packet id 021 delay: 4889216
packet id 022 delay: 6717080
packet id 023 delay: 7744832
packet id 024 delay: 5094880
packet id 025 delay: 580248
packet id 026 delay: 454248
packet id 027 delay: 2388384
packet id 028 delay: 540720
packet id 029 delay: 908368
packet id 030 delay: 1840680
packet id 031 delay: 726648
packet id 032 delay: 604080
packet id 033 delay: 3304648
packet id 034 delay: 1480328
packet id 035 delay: 683816
packet id 036 delay: 1124744
packet id 037 delay: 1443560
packet id 038 delay: 1245024
packet id 039 delay: 568080
packet id 040 delay: 1348008
packet id 041 delay: 3044800
packet id 042 loss!!!
packet id 043 delay: 1503496
packet id 044 delay: 5043816
packet id 045 delay: 10233200
packet id 046 loss!!!
packet id 047 delay: 4617264
packet id 048 delay: 4887896
packet id 049 delay: 7139320
packet id 050 delay: 7846056
packet id 051 delay: 5388280
packet id 052 delay: 648120
packet id 053 delay: 528400
packet id 054 delay: 594384
packet id 055 delay: 643328
packet id 056 delay: 2986912
packet id 057 delay: 3827176
packet id 058 loss!!!
packet id 059 delay: 1449016
packet id 060 delay: 912192
packet id 061 delay: 1720520
packet id 062 delay: 1732136
packet id 063 delay: 542288
packet id 064 delay: 1532584
packet id 065 delay: 7017960
packet id 066 delay: 2989656
packet id 067 delay: 6726160
packet id 068 delay: 9943592
packet id 069 delay: 921384
packet id 070 delay: 1731352
packet id 071 delay: 777424
packet id 072 delay: 608120
packet id 073 delay: 4275368
packet id 074 delay: 4364984
packet id 075 loss!!!
packet id 076 delay: 695440
packet id 077 delay: 1814200
packet id 078 delay: 3042904
packet id 079 delay: 775160
packet id 080 delay: 1164952
packet id 081 delay: 684328
packet id 082 delay: 706704
packet id 083 delay: 2582640
packet id 084 delay: 4101680
packet id 085 delay: 6750256
packet id 086 delay: 7631880
packet id 087 loss!!!
packet id 088 delay: 3274928
packet id 089 delay: 489192
packet id 090 delay: 1780024
packet id 091 delay: 561384
packet id 092 delay: 732176
packet id 093 delay: 1079608
packet id 094 delay: 477080
packet id 095 delay: 730064
packet id 096 delay: 1014424
packet id 097 delay: 647176
packet id 098 delay: 3332272
packet id 099 delay: 10444504
packet id 100 delay: 2959384
packet id 101 delay: 704384
packet id 102 delay: 618440
packet id 103 delay: 7996552
packet id 104 delay: 3246320
packet id 105 delay: 10034488
packet id 106 delay: 10737976
packet id 107 delay: 10273000
packet id 108 delay: 2709776
packet id 109 delay: 610288
packet id 110 delay: 5683288
packet id 111 delay: 4707864
packet id 112 delay: 3972488
packet id 113 delay: 636384
packet id 114 delay: 698536
packet id 115 delay: 1614216
packet id 116 delay: 1943584
packet id 117 delay: 3404272
packet id 118 delay: 11011688
packet id 119 delay: 9319392
packet id 120 delay: 3646592
packet id 121 delay: 4466224
packet id 122 delay: 655440
packet id 123 delay: 667440
packet id 124 delay: 742064
packet id 125 delay: 4487696
packet id 126 delay: 1827800
packet id 127 delay: 7033032
packet id 128 delay: 9524936
packet id 129 delay: 6570112
packet id 130 loss!!!
packet id 131 delay: 593496
packet id 132 delay: 15205368
packet id 133 delay: 6403992
packet id 134 delay: 587120
packet id 135 delay: 1733168
packet id 136 delay: 14047176
packet id 137 delay: 14159992
packet id 138 loss!!!
packet id 139 delay: 8587256
packet id 140 delay: 5365376
packet id 141 delay: 2068984
packet id 142 delay: 2870536
packet id 143 delay: 4167928
packet id 144 delay: 793744
packet id 145 delay: 1008496
packet id 146 delay: 4306824
packet id 147 delay: 774704
packet id 148 delay: 1116160
packet id 149 delay: 699384
packet id 150 delay: 618288
packet id 151 delay: 1469768
packet id 152 delay: 761248
packet id 153 delay: 765800
packet id 154 delay: 598328
packet id 155 delay: 747064
packet id 156 delay: 1179760
packet id 157 delay: 629120
packet id 158 delay: 1371624
packet id 159 delay: 535080
packet id 160 delay: 587440
packet id 161 loss!!!
packet id 162 delay: 7372432
packet id 163 delay: 2175968
packet id 164 delay: 1952320
packet id 165 delay: 1924144
packet id 166 delay: 3925720
packet id 167 delay: 4714368
packet id 168 delay: 11693080
packet id 169 delay: 611232
packet id 170 delay: 652944
packet id 171 delay: 648288
packet id 172 delay: 3041192
packet id 173 delay: 376152
packet id 174 delay: 803384
packet id 175 delay: 808776
packet id 176 delay: 5495872
packet id 177 delay: 4170344
packet id 178 delay: 1693072
