packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 loss!!!
packet id 007 delay: 2100096
packet id 008 delay: 27648
packet id 009 delay: 1879680
packet id 010 delay: 1327864
packet id 011 loss!!!
packet id 012 delay: 110592
packet id 013 delay: 42336
packet id 014 delay: 94952
packet id 015 delay: 208592
packet id 016 delay: 105592
packet id 017 delay: 87336
packet id 018 delay: 84592
packet id 019 delay: 205952
packet id 020 delay: 74336
packet id 021 delay: 852392
packet id 022 delay: 96656
packet id 023 delay: 1052648
packet id 024 delay: 79728
packet id 025 delay: 122592
packet id 026 delay: 77336
packet id 027 delay: 43336
packet id 028 delay: 139232
packet id 029 delay: 66112
packet id 030 delay: 116552
packet id 031 delay: 28592
packet id 032 delay: 69632
packet id 033 delay: 81592
packet id 034 delay: 125592
packet id 035 delay: 87592
packet id 036 delay: 40592
packet id 037 delay: 28592
packet id 038 delay: 97592
packet id 039 delay: 105592
packet id 040 delay: 2956352
packet id 041 delay: 1616984
packet id 042 delay: 41592
packet id 043 delay: 121712
packet id 044 delay: 28592
packet id 045 delay: 28592
packet id 046 delay: 411432
packet id 047 delay: 387032
packet id 048 delay: 950592
packet id 049 loss!!!
packet id 050 delay: 99592
packet id 051 delay: 37752
packet id 052 delay: 81152
packet id 053 delay: 320632
packet id 054 delay: 97016
packet id 055 delay: 34592
packet id 056 delay: 237152
packet id 057 delay: 399392
packet id 058 delay: 2613088
packet id 059 delay: 45336
packet id 060 delay: 1078976
packet id 061 delay: 79472
packet id 062 delay: 67592
packet id 063 delay: 253392
packet id 064 delay: 97272
packet id 065 delay: 3288360
packet id 066 delay: 101272
packet id 067 delay: 642088
packet id 068 delay: 973392
packet id 069 delay: 76592
packet id 070 delay: 104032
packet id 071 delay: 1206840
packet id 072 delay: 48592
packet id 073 delay: 3167832
packet id 074 loss!!!
packet id 075 delay: 56592
packet id 076 delay: 3842136
packet id 077 delay: 37592
packet id 078 delay: 1075152
packet id 079 delay: 442752
packet id 080 delay: 1030008
packet id 081 delay: 317064
packet id 082 delay: 33432
packet id 083 delay: 94592
packet id 084 delay: 53592
packet id 085 delay: 415312
packet id 086 delay: 180936
packet id 087 delay: 68592
packet id 088 delay: 1695840
packet id 089 delay: 35272
packet id 090 delay: 291792
packet id 091 delay: 38272
packet id 092 delay: 281632
packet id 093 loss!!!
packet id 094 delay: 129272
packet id 095 delay: 885232
packet id 096 delay: 3243904
packet id 097 delay: 28592
packet id 098 delay: 4637752
packet id 099 delay: 28592
packet id 100 delay: 4881440
packet id 101 delay: 82592
packet id 102 delay: 44592
packet id 103 delay: 28592
packet id 104 delay: 955832
packet id 105 delay: 731256
packet id 106 delay: 82704
packet id 107 delay: 143704
packet id 108 delay: 647536
packet id 109 delay: 1983048
packet id 110 delay: 523424
packet id 111 delay: 460056
packet id 112 delay: 135176
packet id 113 delay: 238872
packet id 114 delay: 25176
packet id 115 delay: 1799784
packet id 116 loss!!!
packet id 117 delay: 46320
packet id 118 delay: 94448
packet id 119 loss!!!
packet id 120 delay: 66424
packet id 121 delay: 103560
