packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 delay: 30943200
packet id 005 delay: 27885136
packet id 006 delay: 28355768
packet id 007 delay: 22819680
packet id 008 delay: 25815240
packet id 009 delay: 21270464
packet id 010 delay: 22800576
packet id 011 delay: 20859640
packet id 012 delay: 18986160
packet id 013 delay: 34363944
packet id 014 delay: 28332680
packet id 015 delay: 49264480
packet id 016 loss!!!
packet id 017 loss!!!
packet id 018 loss!!!
packet id 019 loss!!!
packet id 020 delay: 20065784
packet id 021 delay: 37000752
packet id 022 delay: 43095512
packet id 023 delay: 36275184
packet id 024 loss!!!
packet id 025 delay: 1816808
packet id 026 delay: 4035736
packet id 027 loss!!!
packet id 028 loss!!!
packet id 029 delay: 3017008
packet id 030 delay: 1384240
packet id 031 delay: 1561592
packet id 032 delay: 11896936
packet id 033 delay: 7524512
packet id 034 delay: 3119632
packet id 035 delay: 2282648
packet id 036 delay: 247352
packet id 037 delay: 235360
packet id 038 delay: 6463144
packet id 039 delay: 5428776
packet id 040 delay: 3186352
packet id 041 delay: 1146296
packet id 042 delay: 984384
packet id 043 delay: 993720
packet id 044 delay: 1830552
packet id 045 delay: 920272
packet id 046 delay: 3128576
packet id 047 delay: 1325528
packet id 048 delay: 8141744
packet id 049 delay: 2870600
packet id 050 delay: 8539008
packet id 051 delay: 2508608
packet id 052 delay: 697768
packet id 053 delay: 666752
packet id 054 delay: 9008048
packet id 055 delay: 7575032
packet id 056 delay: 4731832
packet id 057 delay: 637848
packet id 058 delay: 3075608
packet id 059 delay: 2647592
packet id 060 delay: 441752
packet id 061 delay: 4476480
packet id 062 delay: 4015528
packet id 063 delay: 1467192
packet id 064 delay: 699344
packet id 065 delay: 6065544
packet id 066 delay: 16222448
packet id 067 delay: 12719408
packet id 068 delay: 5733800
packet id 069 delay: 5761800
packet id 070 delay: 3442256
packet id 071 delay: 4358256
packet id 072 delay: 540712
packet id 073 delay: 1613000
packet id 074 delay: 7885432
packet id 075 delay: 8069824
packet id 076 delay: 2957352
packet id 077 delay: 3881656
packet id 078 delay: 700544
packet id 079 delay: 2202984
packet id 080 delay: 7640536
packet id 081 delay: 6157096
packet id 082 loss!!!
packet id 083 delay: 699184
packet id 084 delay: 434480
packet id 085 loss!!!
packet id 086 loss!!!
packet id 087 delay: 108672
packet id 088 delay: 762200
packet id 089 delay: 2275760
packet id 090 delay: 9266424
packet id 091 delay: 2635416
packet id 092 delay: 312552
packet id 093 delay: 100992
packet id 094 delay: 2677664
packet id 095 delay: 3692120
packet id 096 delay: 456992
packet id 097 delay: 6115792
packet id 098 delay: 726880
packet id 099 delay: 9433520
packet id 100 delay: 1528880
packet id 101 delay: 1442520
packet id 102 delay: 817280
packet id 103 delay: 12549032
packet id 104 delay: 1271040
packet id 105 delay: 202800
packet id 106 delay: 3597152
packet id 107 delay: 228472
packet id 108 delay: 220272
packet id 109 delay: 2966312
packet id 110 delay: 4351424
packet id 111 delay: 3142552
packet id 112 delay: 1006848
packet id 113 delay: 748312
packet id 114 delay: 8117256
packet id 115 delay: 1328752
packet id 116 delay: 644392
packet id 117 delay: 70272
packet id 118 delay: 2612280
packet id 119 delay: 388048
packet id 120 delay: 591872
packet id 121 delay: 3356440
packet id 122 delay: 2218296
packet id 123 delay: 2326928
packet id 124 delay: 261760
packet id 125 delay: 116952
packet id 126 delay: 7793944
packet id 127 delay: 8816536
packet id 128 delay: 7028464
packet id 129 delay: 491400
packet id 130 delay: 108416
packet id 131 delay: 102056
packet id 132 delay: 253176
packet id 133 delay: 216496
packet id 134 delay: 684016
packet id 135 delay: 442456
packet id 136 loss!!!
packet id 137 delay: 128376
packet id 138 delay: 128376
packet id 139 delay: 1019976
packet id 140 delay: 685016
packet id 141 delay: 3121560
packet id 142 delay: 1165296
packet id 143 delay: 85448
packet id 144 delay: 504128
packet id 145 delay: 150056
packet id 146 delay: 801920
packet id 147 delay: 310136
packet id 148 delay: 276456
packet id 149 delay: 2775384
packet id 150 loss!!!
packet id 151 delay: 162176
packet id 152 delay: 1162128
packet id 153 delay: 194920
packet id 154 loss!!!
packet id 155 delay: 147136
packet id 156 delay: 250000
packet id 157 delay: 208136
packet id 158 delay: 250736
packet id 159 delay: 1247488
packet id 160 delay: 147440
packet id 161 delay: 199840
packet id 162 delay: 1179512
packet id 163 delay: 330048
packet id 164 delay: 869896
packet id 165 delay: 294280
packet id 166 delay: 805640
packet id 167 delay: 3055976
packet id 168 delay: 463176
packet id 169 delay: 544920
packet id 170 delay: 445136
packet id 171 delay: 101376
packet id 172 loss!!!
packet id 173 delay: 2258392
packet id 174 delay: 129720
packet id 175 delay: 285040
packet id 176 delay: 361696
packet id 177 delay: 386880
packet id 178 delay: 752080
packet id 179 delay: 442616
packet id 180 delay: 366576
packet id 181 delay: 196736
packet id 182 delay: 183816
packet id 183 delay: 525776
packet id 184 delay: 417696
packet id 185 loss!!!
packet id 186 delay: 248240
packet id 187 delay: 3398144
packet id 188 delay: 320176
packet id 189 delay: 160416
packet id 190 delay: 207496
packet id 191 delay: 177096
packet id 192 delay: 388056
packet id 193 delay: 7186912
packet id 194 delay: 466600
packet id 195 delay: 1078024
packet id 196 delay: 1070496
packet id 197 delay: 1064496
packet id 198 delay: 1253328
packet id 199 delay: 171216
packet id 200 delay: 2918280
packet id 201 delay: 6313880
packet id 202 loss!!!
packet id 203 delay: 6181232
packet id 204 delay: 96456
packet id 205 delay: 3381224
packet id 206 delay: 633856
packet id 207 delay: 96696
packet id 208 delay: 210176
packet id 209 delay: 661456
packet id 210 delay: 120056
packet id 211 delay: 2204000
packet id 212 delay: 882568
packet id 213 delay: 543112
packet id 214 delay: 645240
packet id 215 delay: 3162896
packet id 216 delay: 1440872
packet id 217 delay: 263536
packet id 218 delay: 576416
packet id 219 delay: 174056
packet id 220 delay: 4160480
packet id 221 delay: 307496
packet id 222 delay: 3688448
packet id 223 delay: 470056
packet id 224 delay: 3027920
packet id 225 delay: 1330696
packet id 226 delay: 892424
packet id 227 delay: 408456
packet id 228 delay: 865760
packet id 229 delay: 610976
packet id 230 delay: 3369872
