MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 0
MONITORED: % | ON: 68.23% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 71.28% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 10980000
MONITORED: % | ON: 3.31% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 25.92% | TXL: 2.87% | RXL: 4.68% | INTL: 0.67% | Energy: 61824560
MONITORED: % | ON: 1.16% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 27.97% | TXL: 3.33% | RXL: 6.57% | INTL: 1.89% | Energy: 290730000
MONITORED: % | ON: 0.79% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 28.63% | TXL: 3.85% | RXL: 6.70% | INTL: 2.22% | Energy: 533207440
MONITORED: % | ON: 0.67% | TX: 0.04% | RX: 0.04% | INT: 0.00% | ONL: 28.30% | TXL: 3.75% | RXL: 6.76% | INTL: 2.32% | Energy: 743660720
MONITORED: % | ON: 0.61% | TX: 0.04% | RX: 0.04% | INT: 0.00% | ONL: 28.99% | TXL: 3.95% | RXL: 6.88% | INTL: 2.44% | Energy: 978534560
MONITORED: % | ON: 0.57% | TX: 0.04% | RX: 0.04% | INT: 0.00% | ONL: 27.77% | TXL: 3.77% | RXL: 6.57% | INTL: 2.33% | Energy: 1127790960
MONITORED: % | ON: 0.56% | TX: 0.04% | RX: 0.04% | INT: 0.00% | ONL: 26.86% | TXL: 3.41% | RXL: 6.49% | INTL: 2.29% | Energy: 1283961760
MONITORED: % | ON: 0.55% | TX: 0.04% | RX: 0.04% | INT: 0.00% | ONL: 26.63% | TXL: 3.21% | RXL: 6.62% | INTL: 2.33% | Energy: 1444525280
MONITORED: % | ON: 0.53% | TX: 0.04% | RX: 0.04% | INT: 0.00% | ONL: 26.60% | TXL: 3.14% | RXL: 6.65% | INTL: 2.49% | Energy: 1624270720
MONITORED: % | ON: 0.51% | TX: 0.04% | RX: 0.04% | INT: 0.00% | ONL: 26.31% | TXL: 3.20% | RXL: 6.55% | INTL: 2.42% | Energy: 1778634640
MONITORED: % | ON: 0.48% | TX: 0.04% | RX: 0.03% | INT: 0.00% | ONL: 25.87% | TXL: 3.30% | RXL: 6.31% | INTL: 2.33% | Energy: 1927797040
MONITORED: % | ON: 0.44% | TX: 0.04% | RX: 0.03% | INT: 0.00% | ONL: 24.84% | TXL: 3.10% | RXL: 6.01% | INTL: 2.23% | Energy: 2013481360
MONITORED: % | ON: 0.42% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 23.99% | TXL: 2.97% | RXL: 5.77% | INTL: 2.15% | Energy: 2097584960
MONITORED: % | ON: 0.40% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 23.79% | TXL: 3.04% | RXL: 5.63% | INTL: 2.14% | Energy: 2235077680
MONITORED: % | ON: 0.38% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 23.86% | TXL: 3.07% | RXL: 5.62% | INTL: 2.17% | Energy: 2396241680
MONITORED: % | ON: 0.37% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 23.57% | TXL: 3.04% | RXL: 5.54% | INTL: 2.16% | Energy: 2523019200
MONITORED: % | ON: 0.36% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 23.37% | TXL: 3.01% | RXL: 5.46% | INTL: 2.13% | Energy: 2571865600
MONITORED: % | ON: 0.35% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 22.97% | TXL: 2.96% | RXL: 5.33% | INTL: 2.08% | Energy: 2644898080
MONITORED: % | ON: 0.34% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 22.60% | TXL: 2.92% | RXL: 5.21% | INTL: 2.02% | Energy: 2741601760
MONITORED: % | ON: 0.33% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 22.35% | TXL: 2.91% | RXL: 5.09% | INTL: 1.99% | Energy: 2843630960
MONITORED: % | ON: 0.33% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 22.42% | TXL: 2.88% | RXL: 5.17% | INTL: 2.00% | Energy: 2992184000
MONITORED: % | ON: 0.33% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 22.35% | TXL: 2.89% | RXL: 5.16% | INTL: 2.00% | Energy: 3119448320
MONITORED: % | ON: 0.32% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 22.06% | TXL: 2.84% | RXL: 5.07% | INTL: 1.97% | Energy: 3206213840
MONITORED: % | ON: 0.32% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 21.75% | TXL: 2.76% | RXL: 4.99% | INTL: 1.93% | Energy: 3294865440
MONITORED: % | ON: 0.31% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 21.42% | TXL: 2.68% | RXL: 4.89% | INTL: 1.89% | Energy: 3371311760
MONITORED: % | ON: 0.31% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 21.19% | TXL: 2.62% | RXL: 4.84% | INTL: 1.85% | Energy: 3464990400
MONITORED: % | ON: 0.30% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 21.04% | TXL: 2.60% | RXL: 4.78% | INTL: 1.84% | Energy: 3561880640
MONITORED: % | ON: 0.30% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 20.82% | TXL: 2.57% | RXL: 4.72% | INTL: 1.80% | Energy: 3660511440
MONITORED: % | ON: 0.29% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 20.67% | TXL: 2.56% | RXL: 4.65% | INTL: 1.76% | Energy: 3755614320
MONITORED: % | ON: 0.28% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 20.43% | TXL: 2.51% | RXL: 4.57% | INTL: 1.74% | Energy: 3840107760
MONITORED: % | ON: 0.28% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 20.20% | TXL: 2.47% | RXL: 4.50% | INTL: 1.72% | Energy: 3918456320
MONITORED: % | ON: 0.27% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 20.02% | TXL: 2.45% | RXL: 4.44% | INTL: 1.70% | Energy: 4007564000
MONITORED: % | ON: 0.26% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 19.81% | TXL: 2.41% | RXL: 4.37% | INTL: 1.68% | Energy: 4087072400
MONITORED: % | ON: 0.25% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 19.62% | TXL: 2.38% | RXL: 4.31% | INTL: 1.66% | Energy: 4167689200
MONITORED: % | ON: 0.25% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 19.49% | TXL: 2.36% | RXL: 4.27% | INTL: 1.64% | Energy: 4216967200
MONITORED: % | ON: 0.25% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 19.37% | TXL: 2.35% | RXL: 4.23% | INTL: 1.62% | Energy: 4273424080
MONITORED: % | ON: 0.24% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 19.23% | TXL: 2.32% | RXL: 4.18% | INTL: 1.60% | Energy: 4358665120
MONITORED: % | ON: 0.23% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 19.07% | TXL: 2.30% | RXL: 4.13% | INTL: 1.58% | Energy: 4442440720
MONITORED: % | ON: 0.23% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 18.91% | TXL: 2.28% | RXL: 4.08% | INTL: 1.56% | Energy: 4523258480
MONITORED: % | ON: 0.22% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 18.79% | TXL: 2.28% | RXL: 4.02% | INTL: 1.54% | Energy: 4616790720
MONITORED: % | ON: 0.22% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 18.66% | TXL: 2.27% | RXL: 3.97% | INTL: 1.52% | Energy: 4696489600
MONITORED: % | ON: 0.21% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 18.54% | TXL: 2.25% | RXL: 3.93% | INTL: 1.51% | Energy: 4779167360
MONITORED: % | ON: 0.21% | TX: 0.02% | RX: 0.01% | INT: 0.00% | ONL: 18.45% | TXL: 2.25% | RXL: 3.89% | INTL: 1.49% | Energy: 4874836240
MONITORED: % | ON: 0.20% | TX: 0.02% | RX: 0.01% | INT: 0.00% | ONL: 18.35% | TXL: 2.25% | RXL: 3.84% | INTL: 1.48% | Energy: 4963231920
MONITORED: % | ON: 0.20% | TX: 0.02% | RX: 0.01% | INT: 0.00% | ONL: 18.26% | TXL: 2.25% | RXL: 3.80% | INTL: 1.46% | Energy: 5051650480
