NODE2	<AVG delay: 9198842 us>	<Energy 71.600 %>	<PRR: 80.000 %>	<Collision ratio: 1183.600 %>
NODE3	<AVG delay: 8677363 us>	<Energy 100.000 %>	<PRR: 73.300 %>	<Collision ratio: 927.900 %>
NODE4	<AVG delay: 12807212 us>	<Energy 48.600 %>	<PRR: 57.500 %>	<Collision ratio: 183.200 %>
NODE5	<AVG delay: 809746 us>	<Energy 54.300 %>	<PRR: 92.600 %>	<Collision ratio: 161.500 %>
NODE6	<AVG delay: 19661207 us>	<Energy 44.800 %>	<PRR: 44.100 %>	<Collision ratio: 207.400 %>
NODE7	<AVG delay: 10833382 us>	<Energy 39.400 %>	<PRR: 57.500 %>	<Collision ratio: 100.500 %>
NODE8	<AVG delay: 4057389 us>	<Energy 51.600 %>	<PRR: 76.400 %>	<Collision ratio: 239.800 %>
NODE9	<AVG delay: 4537190 us>	<Energy 41.300 %>	<PRR: 71.700 %>	<Collision ratio: 170.400 %>
NODE10	<AVG delay: 2811997 us>	<Energy 46.900 %>	<PRR: 82.300 %>	<Collision ratio: 429.200 %>
NODE11	<AVG delay: 928990 us>	<Energy 57.200 %>	<PRR: 87.800 %>	<Collision ratio: 118.800 %>
NODE12	<AVG delay: 10335072 us>	<Energy 76.900 %>	<PRR: 66.500 %>	<Collision ratio: 228.600 %>
NODE13	<AVG delay: 89140 us>	<Energy 40.900 %>	<PRR: 96.200 %>	<Collision ratio: 6.400 %>
NODE14	<AVG delay: 12824478 us>	<Energy 46.700 %>	<PRR: 62.000 %>	<Collision ratio: 443.400 %>
NODE15	<AVG delay: 2285384 us>	<Energy 42.800 %>	<PRR: 76.600 %>	<Collision ratio: 334.000 %>
NODE16	<AVG delay: 6780752 us>	<Energy 60.800 %>	<PRR: 43.100 %>	<Collision ratio: 1585.900 %>
NODE17	<AVG delay: 15172723 us>	<Energy 42.900 %>	<PRR: 55.900 %>	<Collision ratio: 301.400 %>
NODE18	<AVG delay: 648103 us>	<Energy 43.700 %>	<PRR: 87.800 %>	<Collision ratio: 92.200 %>
NODE19	<AVG delay: 3252764 us>	<Energy 55.000 %>	<PRR: 83.600 %>	<Collision ratio: 368.200 %>
NODE20	<AVG delay: 11128536 us>	<Energy 48.900 %>	<PRR: 55.200 %>	<Collision ratio: 97.500 %>
NODE21	<AVG delay: 11743597 us>	<Energy 67.900 %>	<PRR: 65.300 %>	<Collision ratio: 435.800 %>
NODE22	<AVG delay: 13978600 us>	<Energy 53.900 %>	<PRR: 58.000 %>	<Collision ratio: 287.900 %>
NODE23	<AVG delay: 2674000 us>	<Energy 58.200 %>	<PRR: 91.500 %>	<Collision ratio: 398.500 %>
NODE24	<AVG delay: 15016285 us>	<Energy 83.100 %>	<PRR: 61.600 %>	<Collision ratio: 906.100 %>
NODE25	<AVG delay: 3847310 us>	<Energy 81.500 %>	<PRR: 83.500 %>	<Collision ratio: 469.700 %>
NODE26	<AVG delay: 8959348 us>	<Energy 67.000 %>	<PRR: 63.800 %>	<Collision ratio: 175.700 %>
NODE27	<AVG delay: 11855352 us>	<Energy 43.600 %>	<PRR: 60.900 %>	<Collision ratio: 335.900 %>
NODE28	<AVG delay: 2820925 us>	<Energy 46.000 %>	<PRR: 75.500 %>	<Collision ratio: 270.400 %>
NODE29	<AVG delay: 4340408 us>	<Energy 44.300 %>	<PRR: 72.200 %>	<Collision ratio: 394.900 %>
NODE30	<AVG delay: 20054906 us>	<Energy 44.600 %>	<PRR: 47.400 %>	<Collision ratio: 246.300 %>
NODE31	<AVG delay: 1188110 us>	<Energy 49.000 %>	<PRR: 78.700 %>	<Collision ratio: 118.500 %>
NODE32	<AVG delay: 3924407 us>	<Energy 41.600 %>	<PRR: 71.300 %>	<Collision ratio: 264.700 %>
NODE33	<AVG delay: 8600373 us>	<Energy 83.400 %>	<PRR: 74.700 %>	<Collision ratio: 565.600 %>
NODE34	<AVG delay: 13711207 us>	<Energy 39.200 %>	<PRR: 56.000 %>	<Collision ratio: 146.100 %>
NODE35	<AVG delay: 14573880 us>	<Energy 42.900 %>	<PRR: 63.500 %>	<Collision ratio: 626.600 %>
NODE36	<AVG delay: 935123 us>	<Energy 39.200 %>	<PRR: 77.600 %>	<Collision ratio: 78.900 %>
NODE37	<AVG delay: 140808 us>	<Energy 58.400 %>	<PRR: 96.400 %>	<Collision ratio: 7.400 %>
NODE38	<AVG delay: 509483 us>	<Energy 45.400 %>	<PRR: 91.700 %>	<Collision ratio: 75.600 %>
NODE39	<AVG delay: 1307761 us>	<Energy 39.800 %>	<PRR: 81.800 %>	<Collision ratio: 238.000 %>
NODE40	<AVG delay: 1724884 us>	<Energy 41.800 %>	<PRR: 94.900 %>	<Collision ratio: 255.500 %>
NODE41	<AVG delay: 9104491 us>	<Energy 45.900 %>	<PRR: 56.400 %>	<Collision ratio: 335.200 %>
NODE42	<AVG delay: 10771532 us>	<Energy 55.000 %>	<PRR: 62.300 %>	<Collision ratio: 186.600 %>
NODE43	<AVG delay: 1129088 us>	<Energy 44.100 %>	<PRR: 93.500 %>	<Collision ratio: 159.800 %>
NODE44	<AVG delay: 8723967 us>	<Energy 53.400 %>	<PRR: 71.300 %>	<Collision ratio: 1112.100 %>
NODE45	<AVG delay: 16234080 us>	<Energy 45.900 %>	<PRR: 52.100 %>	<Collision ratio: 356.000 %>
NODE46	<AVG delay: 471411 us>	<Energy 56.000 %>	<PRR: 94.700 %>	<Collision ratio: 119.900 %>
NODE47	<AVG delay: 10904607 us>	<Energy 50.200 %>	<PRR: 69.600 %>	<Collision ratio: 460.200 %>
NODE48	<AVG delay: 2006706 us>	<Energy 93.800 %>	<PRR: 87.500 %>	<Collision ratio: 317.200 %>
NODE49	<AVG delay: 20157482 us>	<Energy 67.200 %>	<PRR: 54.300 %>	<Collision ratio: 728.700 %>
NODE50	<AVG delay: 11699945 us>	<Energy 55.300 %>	<PRR: 62.000 %>	<Collision ratio: 236.400 %>
