NODE2	<AVG delay: 1213723 us>	<Energy 43.100 %>	<PRR: 77.500 %>	<Collision ratio: 21.800 %>
NODE3	<AVG delay: 1193387 us>	<Energy 35.400 %>		<Collision ratio: 5.400 %>
NODE4	<AVG delay: 21712507 us>	<Energy 39.400 %>		<Collision ratio: 89.700 %>
NODE5	<AVG delay: 773619 us>	<Energy 49.800 %>		<Collision ratio: 38.000 %>
NODE6	<AVG delay: 20364672 us>	<Energy 35.600 %>		<Collision ratio: 23.600 %>
NODE7	<AVG delay: 20954619 us>	<Energy 35.500 %>		<Collision ratio: 11.200 %>
NODE8	<AVG delay: 15837143 us>	<Energy 38.900 %>		<Collision ratio: 21.500 %>
NODE9	<AVG delay: 15503563 us>	<Energy 38.900 %>		<Collision ratio: 8.200 %>
NODE10	<AVG delay: 1100090 us>	<Energy 39.000 %>		<Collision ratio: 10.200 %>
NODE11	<AVG delay: 2532925 us>	<Energy 46.300 %>		<Collision ratio: 16.000 %>
NODE12	<AVG delay: 21347045 us>	<Energy 35.400 %>		<Collision ratio: 6.000 %>
NODE13	<AVG delay: 391071 us>	<Energy 49.100 %>		<Collision ratio: 75.500 %>
NODE14	<AVG delay: 20616824 us>	<Energy 50.200 %>		<Collision ratio: 119.800 %>
NODE15	<AVG delay: 11607660 us>	<Energy 93.300 %>		<Collision ratio: 354.600 %>
NODE16	<AVG delay: 1410740 us>	<Energy 38.900 %>		<Collision ratio: 11.300 %>
NODE17	<AVG delay: 21055290 us>	<Energy 36.200 %>		<Collision ratio: 123.900 %>
NODE18	<AVG delay: 2427312 us>	<Energy 51.900 %>		<Collision ratio: 73.300 %>
NODE19	<AVG delay: 2702997 us>	<Energy 39.100 %>		<Collision ratio: 11.100 %>
NODE20	<AVG delay: 20928584 us>	<Energy 38.800 %>		<Collision ratio: 15.400 %>
NODE21	<AVG delay: 20940682 us>	<Energy 39.100 %>		<Collision ratio: 14.500 %>
NODE22	<AVG delay: 21080739 us>	<Energy 42.000 %>		<Collision ratio: 25.200 %>
NODE23	<AVG delay: 1187723 us>	<Energy 46.800 %>		<Collision ratio: 71.800 %>
NODE24	<AVG delay: 16603223 us>	<Energy 88.200 %>		<Collision ratio: 224.000 %>
NODE25	<AVG delay: 8795369 us>	<Energy 36.000 %>		<Collision ratio: 100.000 %>
NODE26	<AVG delay: 15276065 us>	<Energy 35.400 %>		<Collision ratio: 19.000 %>
NODE27	<AVG delay: 21155351 us>	<Energy 61.100 %>		<Collision ratio: 44.400 %>
NODE28	<AVG delay: 2851538 us>	<Energy 35.400 %>		<Collision ratio: 6.900 %>
NODE29	<AVG delay: 1457086 us>	<Energy 35.400 %>		<Collision ratio: 8.400 %>
NODE30	<AVG delay: 20452697 us>	<Energy 46.700 %>		<Collision ratio: 21.500 %>
NODE31	<AVG delay: 2657322 us>	<Energy 42.200 %>		<Collision ratio: 11.300 %>
NODE32	<AVG delay: 14969097 us>	<Energy 53.400 %>		<Collision ratio: 26.800 %>
NODE33	<AVG delay: 15197870 us>	<Energy 60.400 %>		<Collision ratio: 79.100 %>
NODE34	<AVG delay: 21156096 us>	<Energy 35.700 %>		<Collision ratio: 7.600 %>
NODE35	<AVG delay: 21001463 us>	<Energy 42.400 %>		<Collision ratio: 29.900 %>
NODE36	<AVG delay: 839349 us>	<Energy 35.300 %>		<Collision ratio: 44.800 %>
NODE37	<AVG delay: 558956 us>	<Energy 47.800 %>		<Collision ratio: 60.800 %>
NODE38	<AVG delay: 651800 us>	<Energy 53.800 %>		<Collision ratio: 22.800 %>
NODE39	<AVG delay: 990361 us>	<Energy 42.600 %>		<Collision ratio: 25.700 %>
NODE40	<AVG delay: 8578707 us>	<Energy 91.900 %>		<Collision ratio: 236.800 %>
NODE41	<AVG delay: 18987963 us>	<Energy 86.400 %>		<Collision ratio: 163.900 %>
NODE42	<AVG delay: 15929215 us>	<Energy 35.600 %>		<Collision ratio: 25.400 %>
NODE43	<AVG delay: 5951014 us>	<Energy 88.400 %>		<Collision ratio: 496.900 %>
NODE44	<AVG delay: 14651951 us>	<Energy 100.000 %>		<Collision ratio: 309.100 %>
NODE45	<AVG delay: 19598887 us>	<Energy 86.300 %>		<Collision ratio: 130.000 %>
NODE46	<AVG delay: 2044049 us>	<Energy 97.100 %>		<Collision ratio: 175.300 %>
NODE47	<AVG delay: 15795719 us>	<Energy 42.400 %>		<Collision ratio: 21.000 %>
NODE48	<AVG delay: 924308 us>	<Energy 45.800 %>		<Collision ratio: 38.400 %>
NODE49	<AVG delay: 20810341 us>	<Energy 67.800 %>		<Collision ratio: 114.400 %>
NODE50	<AVG delay: 21118029 us>	<Energy 35.900 %>		<Collision ratio: 68.300 %>
