MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 0
MONITORED: % | ON: 73.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 75.59% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 6880000
MONITORED: % | ON: 40.33% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 46.06% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 7240000
MONITORED: % | ON: 3.30% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 54.82% | TXL: 1.39% | RXL: 20.47% | INTL: 5.97% | Energy: 122431920
MONITORED: % | ON: 1.33% | TX: 0.03% | RX: 0.01% | INT: 0.00% | ONL: 44.59% | TXL: 1.45% | RXL: 16.11% | INTL: 5.12% | Energy: 393437760
MONITORED: % | ON: 1.08% | TX: 0.02% | RX: 0.01% | INT: 0.00% | ONL: 38.70% | TXL: 1.39% | RXL: 14.05% | INTL: 4.34% | Energy: 602760880
MONITORED: % | ON: 0.91% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 35.11% | TXL: 1.37% | RXL: 12.55% | INTL: 3.85% | Energy: 775437120
MONITORED: % | ON: 0.81% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 34.04% | TXL: 1.41% | RXL: 11.87% | INTL: 3.65% | Energy: 960933520
MONITORED: % | ON: 0.77% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 32.26% | TXL: 1.36% | RXL: 11.29% | INTL: 3.29% | Energy: 1120763760
MONITORED: % | ON: 0.73% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 31.44% | TXL: 1.36% | RXL: 10.92% | INTL: 3.19% | Energy: 1306972640
MONITORED: % | ON: 0.72% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 31.68% | TXL: 1.34% | RXL: 11.02% | INTL: 3.18% | Energy: 1520544560
MONITORED: % | ON: 0.73% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 31.51% | TXL: 1.36% | RXL: 11.03% | INTL: 3.12% | Energy: 1718157360
MONITORED: % | ON: 0.75% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 30.85% | TXL: 1.38% | RXL: 10.72% | INTL: 3.03% | Energy: 1892128800
MONITORED: % | ON: 0.73% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 30.14% | TXL: 1.31% | RXL: 10.50% | INTL: 2.96% | Energy: 2042560560
MONITORED: % | ON: 0.72% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 30.09% | TXL: 1.32% | RXL: 10.50% | INTL: 2.99% | Energy: 2235986000
